gameId,gameDate,mP_ev,mP_pp,mP_sh,FW_ev,FW_pp,FW_sh,FL_ev,FL_pp,FL_sh,HG_ev,HG_pp,HG_sh,HT_ev,HT_pp,HT_sh,TW_ev,TW_pp,TW_sh,GW_ev,GW_pp,GW_sh,MD_ev,MD_pp,MD_sh,MC_ev,MC_pp,MC_sh,CF_ev,CF_pp,CF_sh,CA_ev,CA_pp,CA_sh,FF_ev,FF_pp,FF_sh,FA_ev,FA_pp,FA_sh,SF_ev,SF_pp,SF_sh,SA_ev,SA_pp,SA_sh,GF_ev,GF_pp,GF_sh,GA_ev,GA_pp,GA_sh,APF_ev,APF_pp,APF_sh,APA_ev,APA_pp,APA_sh,ASF_ev,ASF_pp,ASF_sh,ASA_ev,ASA_pp,ASA_sh,RSF_ev,RSF_pp,RSF_sh,RSA_ev,RSA_pp,RSA_sh,RBF_ev,RBF_pp,RBF_sh,RBA_ev,RBA_pp,RBA_sh,RCF_ev,RCF_pp,RCF_sh,RCA_ev,RCA_pp,RCA_sh
2020020001,2021-01-13,50.68333333333334,5.783333333333333,3.533333333333333,16,4,1,24,2,3,21,1,1,28,2,1,8,0,0,7,2,1,2,4,0,4,0,2,48,6,0,36,1,9,37,4,0,29,1,5,30,4,0,21,1,5,2,1,0,4,0,2,2,0,0,4,0,2,1,0,0,3,0,2,2,1,0,3,0,0,3,0,0,4,0,0,3,0,0,4,0,0
2020020018,2021-01-15,43.66666666666667,7.516666666666667,8.816666666666666,19,4,4,13,4,6,24,1,6,20,5,0,3,0,3,5,0,0,8,2,0,6,4,2,35,10,7,24,5,7,31,9,7,15,4,6,23,5,5,12,4,4,1,1,0,3,1,1,1,1,0,3,1,1,1,1,0,3,1,1,1,2,2,0,0,1,1,0,0,2,1,0,1,0,0,2,1,0
2020020035,2021-01-17,51.166666666666664,8,5.833333333333333,26,3,5,24,4,2,32,1,0,40,2,4,7,0,1,4,2,0,8,0,2,8,0,0,37,7,2,36,0,4,30,5,2,26,0,4,22,4,1,19,0,4,3,0,0,2,0,1,3,0,0,1,0,1,2,0,0,1,0,1,3,0,0,2,0,0,0,1,0,2,0,0,0,1,0,2,0,0
2020020050,2021-01-19,54.83333333333333,3.25,3.1,35,2,2,17,3,3,36,0,1,51,1,2,2,0,0,3,1,0,4,2,0,2,0,2,46,8,1,42,0,5,33,6,1,26,0,4,26,3,1,23,0,3,2,2,1,4,0,0,2,2,1,4,0,0,2,2,0,2,0,0,1,0,0,2,0,0,7,0,0,3,0,0,7,0,0,3,0,0
2020020068,2021-01-22,55.35,2.6166666666666667,7.033333333333333,30,0,5,13,3,2,26,1,3,40,0,0,9,1,0,9,0,2,4,0,0,4,0,4,42,3,3,47,0,7,34,3,1,38,0,6,25,3,1,29,0,5,2,1,0,2,0,1,2,0,0,2,0,1,2,0,0,1,0,0,2,0,0,3,0,3,4,1,0,3,0,1,4,1,0,3,0,1
2020020083,2021-01-24,56,0,4,25,0,3,26,0,3,32,0,1,32,0,0,9,0,0,8,0,2,0,0,0,4,0,0,46,0,2,44,0,10,32,0,2,35,0,6,19,0,0,23,0,3,3,0,0,2,0,0,2,0,0,2,0,0,1,0,0,2,0,0,4,0,1,4,0,0,4,0,0,3,0,0,4,0,0,3,0,0
2020020093,2021-01-26,49.96666666666666,11.116666666666667,3.7333333333333334,13,6,1,35,7,4,28,1,0,21,5,0,3,1,2,11,3,0,10,2,0,2,2,2,44,13,0,39,9,4,35,11,0,33,8,4,24,6,0,26,7,3,2,0,0,1,1,1,2,0,0,1,1,1,2,0,0,1,0,1,0,0,0,4,1,0,1,0,0,1,0,0,1,0,0,1,0,0
2020020109,2021-01-28,51.25,6,2.75,16,0,0,17,7,3,23,0,3,19,1,0,7,1,0,13,1,0,6,0,0,4,0,0,36,5,1,30,3,1,29,3,1,21,3,1,13,3,1,16,3,1,1,0,0,3,0,1,1,0,0,2,0,1,1,0,0,1,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2020020125,2021-01-30,49.2,6.133333333333334,7.116666666666666,24,2,5,16,3,4,19,1,2,25,0,0,3,1,0,9,1,1,6,0,2,10,0,0,56,6,0,38,4,12,44,5,0,31,4,10,34,4,0,23,3,8,5,0,0,2,1,1,5,0,0,2,1,1,4,0,0,2,1,1,5,1,0,3,1,0,2,0,0,3,0,0,2,0,0,3,0,0
2020020144,2021-02-01,41.78333333333333,12,6.216666666666667,18,12,4,9,3,2,23,0,2,15,10,1,4,1,0,2,5,1,12,5,0,6,5,2,38,20,2,26,3,17,25,13,2,18,2,13,16,9,1,13,2,9,1,0,0,0,1,2,1,0,0,0,1,2,1,0,0,0,0,2,2,1,0,1,0,1,2,2,0,1,0,1,2,2,0,1,0,1
2020020181,2021-02-06,58.983333333333334,0,1.0166666666666666,20,0,0,22,0,1,27,1,1,20,0,0,3,0,0,9,0,0,2,0,0,2,2,0,58,2,0,47,1,4,48,0,0,36,1,3,31,0,0,23,0,3,3,0,0,3,0,1,3,0,0,3,0,1,2,0,0,3,0,1,1,0,0,1,0,1,3,0,0,1,0,1,3,0,0,1,0,1
2020020215,2021-02-11,61.46666666666667,2,1.5333333333333334,21,3,1,31,0,1,29,0,0,22,1,0,3,0,1,5,0,2,0,2,0,2,0,0,53,4,1,50,1,1,33,4,1,36,1,1,30,4,1,27,1,1,2,1,0,2,0,1,2,1,0,1,0,1,2,1,0,1,0,1,2,0,1,1,0,0,2,0,0,2,0,0,2,0,0,2,0,0
