gameId,gameDate,mP_ev,mP_pp,mP_sh,FW_ev,FW_pp,FW_sh,FL_ev,FL_pp,FL_sh,HG_ev,HG_pp,HG_sh,HT_ev,HT_pp,HT_sh,TW_ev,TW_pp,TW_sh,GW_ev,GW_pp,GW_sh,MD_ev,MD_pp,MD_sh,MC_ev,MC_pp,MC_sh,CF_ev,CF_pp,CF_sh,CA_ev,CA_pp,CA_sh,FF_ev,FF_pp,FF_sh,FA_ev,FA_pp,FA_sh,SF_ev,SF_pp,SF_sh,SA_ev,SA_pp,SA_sh,GF_ev,GF_pp,GF_sh,GA_ev,GA_pp,GA_sh,APF_ev,APF_pp,APF_sh,APA_ev,APA_pp,APA_sh,ASF_ev,ASF_pp,ASF_sh,ASA_ev,ASA_pp,ASA_sh,RSF_ev,RSF_pp,RSF_sh,RSA_ev,RSA_pp,RSA_sh,RBF_ev,RBF_pp,RBF_sh,RBA_ev,RBA_pp,RBA_sh,RCF_ev,RCF_pp,RCF_sh,RCA_ev,RCA_pp,RCA_sh
2021020018,2021-10-15,54.56666666666666,4.116666666666666,6.316666666666666,32,4,4,18,2,4,37,0,1,21,2,0,6,0,1,7,0,0,6,0,0,6,0,2,50,11,1,54,0,13,37,9,1,39,0,9,25,9,1,34,0,5,3,1,0,2,0,2,3,1,0,2,0,2,3,1,0,2,0,2,6,1,0,3,0,0,4,2,0,3,0,3,4,2,0,3,0,3
2021020036,2021-10-18,48.333333333333336,4,7.666666666666667,25,2,5,14,3,3,26,0,0,24,0,1,4,0,4,9,1,1,36,0,10,21,9,10,40,5,0,30,2,8,34,4,0,23,2,7,26,1,0,18,1,5,6,0,0,1,0,0,6,0,0,1,0,0,4,0,0,1,0,0,1,0,0,2,0,0,4,1,0,3,0,2,4,1,0,3,0,2
2021020050,2021-10-20,55.266666666666666,2.7333333333333334,2,25,1,0,22,1,1,35,0,0,32,0,0,9,0,0,10,0,2,4,0,0,2,0,0,42,5,1,69,2,1,27,2,1,47,2,0,22,2,1,38,2,0,4,2,0,3,0,0,4,2,0,3,0,0,3,1,0,2,0,0,1,0,0,8,0,1,4,0,0,11,0,0,4,0,0,11,0,0
2021020070,2021-10-23,41.71666666666667,6.783333333333333,11.5,25,4,8,20,2,4,21,1,1,19,1,1,2,1,0,2,2,2,6,0,2,14,0,0,40,9,3,49,3,10,29,8,3,40,3,7,21,6,2,24,3,4,0,1,1,2,1,1,0,1,0,2,1,1,0,0,0,2,0,1,1,0,0,1,0,0,4,0,0,3,1,1,4,0,0,3,1,1
2021020101,2021-10-27,49.13333333333333,3.9166666666666665,6.95,23,5,2,18,0,4,26,1,0,21,0,0,5,0,1,13,0,1,2,0,2,8,0,0,40,8,2,58,0,17,34,7,2,40,0,9,27,5,2,29,0,8,5,0,0,2,0,1,5,0,0,2,0,1,4,0,0,2,0,1,4,1,0,2,0,1,4,1,0,1,0,2,4,1,0,1,0,2
2021020106,2021-10-28,44.86666666666667,6.983333333333333,8.15,15,4,4,19,1,8,13,0,0,38,3,0,2,0,1,1,0,1,13,0,2,10,5,0,40,13,0,34,1,10,29,10,0,27,1,10,23,5,0,18,1,9,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,4,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
2021020123,2021-10-30,46.21666666666667,6,7.783333333333333,26,5,3,24,1,5,10,0,0,11,0,0,7,0,1,11,0,0,6,0,2,12,0,0,31,8,1,46,1,11,20,5,1,37,1,8,17,3,0,27,1,8,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,4,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0
2021020137,2021-11-02,54,6,0,28,5,0,19,1,0,23,0,0,24,1,0,5,0,0,6,1,0,6,0,0,0,0,0,52,14,0,51,2,0,38,11,0,39,1,0,28,6,0,28,1,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,2,3,0,4,0,0,2,3,0,4,0,0
2021020153,2021-11-04,52.61666666666667,5.283333333333333,4,22,4,1,26,1,3,18,0,2,38,1,0,8,0,0,3,1,0,6,0,0,4,0,0,58,6,2,56,0,8,43,5,2,46,0,4,35,2,1,34,0,2,1,1,0,3,0,0,1,1,0,3,0,0,0,1,0,2,0,0,3,0,0,4,0,0,4,0,0,6,0,3,4,0,0,6,0,3
2021020168,2021-11-06,52,2,6,24,1,2,19,1,4,15,0,0,19,0,0,5,0,2,4,0,1,2,0,0,6,0,0,58,3,1,43,1,13,39,2,1,34,0,11,30,1,1,22,0,10,2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,4,0,0,5,0,1,8,0,0,2,0,2,8,0,0,2,0,2
2021020192,2021-11-10,47.266666666666666,8,4.733333333333333,27,5,5,23,2,2,22,0,0,14,2,0,8,0,0,9,1,1,8,0,0,6,0,0,57,7,1,40,1,10,43,5,1,30,1,8,31,4,1,25,1,7,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,2,0,1,2,0,0,3,0,0,4,0,0,2,0,2,4,0,0,2,0,2
2021020208,2021-11-12,44.016666666666666,7.45,8.533333333333333,24,2,4,27,9,6,15,0,1,10,1,1,6,1,0,10,3,1,6,2,2,8,2,0,47,7,2,51,3,21,39,4,1,37,3,17,23,4,1,28,3,9,2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,2,0,0,3,0,0,4,0,2,3,0,0,4,0,2
2021020219,2021-11-13,50.016666666666666,6.35,3.6333333333333333,22,3,2,23,5,5,13,0,0,22,1,0,0,0,1,9,0,1,8,0,0,4,2,0,51,13,0,56,0,7,39,11,0,41,0,6,25,9,0,25,0,6,1,1,0,4,0,1,0,1,0,4,0,1,0,1,0,3,0,1,2,0,0,7,0,1,2,0,0,5,0,1,2,0,0,5,0,1
