gameId,gameTypeId,gameDate,mP_ev,mP_pp,mP_sh,FW_ev,FW_pp,FW_sh,FL_ev,FL_pp,FL_sh,HG_ev,HG_pp,HG_sh,HT_ev,HT_pp,HT_sh,TW_ev,TW_pp,TW_sh,GW_ev,GW_pp,GW_sh,MD_ev,MD_pp,MD_sh,MC_ev,MC_pp,MC_sh,CF_neither_ev,CF_neither_pp,CF_neither_sh,CF_rush_ev,CF_rush_pp,CF_rush_sh,CF_rebound_ev,CF_rebound_pp,CF_rebound_sh,CF_both_ev,CF_both_pp,CF_both_sh,CA_neither_ev,CA_neither_pp,CA_neither_sh,CA_rush_ev,CA_rush_pp,CA_rush_sh,CA_rebound_ev,CA_rebound_pp,CA_rebound_sh,CA_both_ev,CA_both_pp,CA_both_sh,FF_neither_ev,FF_neither_pp,FF_neither_sh,FF_rush_ev,FF_rush_pp,FF_rush_sh,FF_rebound_ev,FF_rebound_pp,FF_rebound_sh,FF_both_ev,FF_both_pp,FF_both_sh,FA_neither_ev,FA_neither_pp,FA_neither_sh,FA_rush_ev,FA_rush_pp,FA_rush_sh,FA_rebound_ev,FA_rebound_pp,FA_rebound_sh,FA_both_ev,FA_both_pp,FA_both_sh,SF_neither_ev,SF_neither_pp,SF_neither_sh,SF_rush_ev,SF_rush_pp,SF_rush_sh,SF_rebound_ev,SF_rebound_pp,SF_rebound_sh,SF_both_ev,SF_both_pp,SF_both_sh,SA_neither_ev,SA_neither_pp,SA_neither_sh,SA_rush_ev,SA_rush_pp,SA_rush_sh,SA_rebound_ev,SA_rebound_pp,SA_rebound_sh,SA_both_ev,SA_both_pp,SA_both_sh,GF_neither_ev,GF_neither_pp,GF_neither_sh,GF_rush_ev,GF_rush_pp,GF_rush_sh,GF_rebound_ev,GF_rebound_pp,GF_rebound_sh,GF_both_ev,GF_both_pp,GF_both_sh,GA_neither_ev,GA_neither_pp,GA_neither_sh,GA_rush_ev,GA_rush_pp,GA_rush_sh,GA_rebound_ev,GA_rebound_pp,GA_rebound_sh,GA_both_ev,GA_both_pp,GA_both_sh,APF_neither_ev,APF_neither_pp,APF_neither_sh,APF_rush_ev,APF_rush_pp,APF_rush_sh,APF_rebound_ev,APF_rebound_pp,APF_rebound_sh,APF_both_ev,APF_both_pp,APF_both_sh,APA_neither_ev,APA_neither_pp,APA_neither_sh,APA_rush_ev,APA_rush_pp,APA_rush_sh,APA_rebound_ev,APA_rebound_pp,APA_rebound_sh,APA_both_ev,APA_both_pp,APA_both_sh,ASF_neither_ev,ASF_neither_pp,ASF_neither_sh,ASF_rush_ev,ASF_rush_pp,ASF_rush_sh,ASF_rebound_ev,ASF_rebound_pp,ASF_rebound_sh,ASF_both_ev,ASF_both_pp,ASF_both_sh,ASA_neither_ev,ASA_neither_pp,ASA_neither_sh,ASA_rush_ev,ASA_rush_pp,ASA_rush_sh,ASA_rebound_ev,ASA_rebound_pp,ASA_rebound_sh,ASA_both_ev,ASA_both_pp,ASA_both_sh,RCF_neither_ev,RCF_neither_pp,RCF_neither_sh,RCF_rush_ev,RCF_rush_pp,RCF_rush_sh,RCF_rebound_ev,RCF_rebound_pp,RCF_rebound_sh,RCF_both_ev,RCF_both_pp,RCF_both_sh,RCA_neither_ev,RCA_neither_pp,RCA_neither_sh,RCA_rush_ev,RCA_rush_pp,RCA_rush_sh,RCA_rebound_ev,RCA_rebound_pp,RCA_rebound_sh,RCA_both_ev,RCA_both_pp,RCA_both_sh
2012020144,2,2013-02-07,52.5,6.333333333333333,6.166666666666667,23,5,3,21,4,1,19,0,4,21,2,0,5,0,1,5,1,3,8,0,0,6,0,2,41,10,1,2,1,0,3,1,0,0,0,0,35,2,5,3,0,0,1,0,0,0,0,0,27,7,1,1,1,0,2,1,0,0,0,0,25,2,4,2,0,0,1,0,0,0,0,0,21,5,1,1,1,0,2,1,0,0,0,0,18,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012020156,2,2013-02-09,53.28333333333333,4,4.5,32,3,2,27,3,3,31,1,0,14,2,0,4,0,0,10,0,1,11,10,0,4,6,0,46,9,0,3,0,0,4,0,0,0,0,0,49,0,5,2,0,0,9,0,0,0,0,0,37,9,0,2,0,0,3,0,0,0,0,0,32,0,4,1,0,0,8,0,0,0,0,0,24,6,0,1,0,0,1,0,0,0,0,0,23,0,2,1,0,0,7,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
2012020172,2,2013-02-11,44.4,7.6,8,30,3,3,21,2,5,32,0,0,27,4,0,2,0,2,16,0,1,19,10,2,18,2,2,42,11,3,10,3,0,5,0,0,0,0,0,36,1,11,5,0,1,2,0,0,0,0,0,33,7,3,6,2,0,4,0,0,0,0,0,25,0,8,4,0,0,1,0,0,0,0,0,28,7,2,5,1,0,3,0,0,0,0,0,14,0,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2012020183,2,2013-02-12,47.11666666666667,6.883333333333334,6,20,2,2,25,7,5,23,0,3,17,2,0,2,0,1,8,0,1,13,0,10,9,0,2,32,6,1,2,0,0,0,1,0,0,0,0,37,1,9,6,0,1,0,0,0,0,0,0,21,4,1,1,0,0,0,1,0,0,0,0,29,1,6,5,0,1,0,0,0,0,0,0,17,4,0,1,0,0,0,1,0,0,0,0,17,1,4,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012020198,2,2013-02-15,57.21666666666667,0.7833333333333333,2,27,1,1,21,2,0,18,0,2,19,0,0,7,1,1,1,0,0,2,0,0,2,0,0,39,2,0,3,0,0,1,0,0,1,0,0,30,3,2,2,0,0,4,0,0,0,0,0,33,2,0,1,0,0,1,0,0,1,0,0,23,2,1,1,0,0,4,0,0,0,0,0,23,2,0,1,0,0,1,0,0,1,0,0,14,1,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2012020206,2,2013-02-16,44,8,8,20,5,4,25,8,5,29,2,1,20,0,0,4,0,0,7,0,3,8,0,2,10,0,0,21,9,1,6,0,0,4,1,0,0,0,0,30,2,10,9,0,2,2,0,1,0,0,0,14,7,1,5,0,0,3,1,0,0,0,0,19,2,7,7,0,2,2,0,0,0,0,0,8,4,1,2,0,0,3,1,0,0,0,0,13,2,5,5,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2012020220,2,2013-02-18,45.08333333333333,7.183333333333334,7.733333333333333,19,4,2,20,3,6,23,2,0,13,0,0,3,1,1,5,1,1,6,0,12,18,0,2,28,11,0,3,0,0,0,1,0,0,0,0,36,0,11,2,1,0,1,0,1,0,0,0,22,10,0,3,0,0,0,0,0,0,0,0,21,0,4,2,1,0,1,0,0,0,0,0,14,8,0,3,0,0,0,0,0,0,0,0,15,0,1,2,1,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2012020234,2,2013-02-20,42.266666666666666,9.25,8.483333333333333,16,2,2,31,4,6,15,0,1,11,0,0,0,0,1,1,1,0,12,9,2,6,15,4,29,13,0,0,0,0,5,3,0,0,0,0,35,0,19,3,0,0,2,0,1,0,0,0,23,12,0,0,0,0,3,3,0,0,0,0,27,0,13,2,0,0,2,0,1,0,0,0,19,7,0,0,0,0,3,3,0,0,0,0,20,0,9,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
2012020238,2,2013-02-21,50.2,4,5.8,25,4,3,28,0,3,27,1,4,22,2,0,5,0,1,12,0,0,4,0,5,9,0,2,51,8,1,8,1,0,4,0,0,0,0,0,33,0,7,5,1,0,1,0,0,0,0,0,33,5,1,6,1,0,4,0,0,0,0,0,26,0,5,2,1,0,1,0,0,0,0,0,24,3,0,4,0,0,3,0,0,0,0,0,18,0,5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2012020251,2,2013-02-23,48.233333333333334,5.616666666666666,6.15,19,3,4,28,6,3,36,0,4,29,2,2,6,0,1,5,2,2,15,4,7,13,9,0,41,9,2,3,0,0,7,0,0,0,0,0,41,1,16,1,0,3,4,0,0,0,0,0,29,9,2,3,0,0,6,0,0,0,0,0,31,1,10,1,0,2,4,0,0,0,0,0,20,8,2,3,0,0,6,0,0,0,0,0,25,1,7,1,0,1,2,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
