gameId,gameDate,mP_ev,mP_pp,mP_sh,FW_ev,FW_pp,FW_sh,FL_ev,FL_pp,FL_sh,HG_ev,HG_pp,HG_sh,HT_ev,HT_pp,HT_sh,TW_ev,TW_pp,TW_sh,GW_ev,GW_pp,GW_sh,MD_ev,MD_pp,MD_sh,MC_ev,MC_pp,MC_sh,CF_ev,CF_pp,CF_sh,CA_ev,CA_pp,CA_sh,FF_ev,FF_pp,FF_sh,FA_ev,FA_pp,FA_sh,SF_ev,SF_pp,SF_sh,SA_ev,SA_pp,SA_sh,GF_ev,GF_pp,GF_sh,GA_ev,GA_pp,GA_sh,APF_ev,APF_pp,APF_sh,APA_ev,APA_pp,APA_sh,ASF_ev,ASF_pp,ASF_sh,ASA_ev,ASA_pp,ASA_sh,RSF_ev,RSF_pp,RSF_sh,RSA_ev,RSA_pp,RSA_sh,RBF_ev,RBF_pp,RBF_sh,RBA_ev,RBA_pp,RBA_sh,RCF_ev,RCF_pp,RCF_sh,RCA_ev,RCA_pp,RCA_sh
2018020227,2018-11-08,44.733333333333334,7.2,8.066666666666666,26,7,3,30,5,4,22,0,1,13,2,0,8,0,1,11,2,1,13,4,0,6,21,0,40,16,1,44,3,11,35,12,1,34,3,9,21,7,0,24,3,6,3,2,0,5,1,2,3,2,0,4,0,2,2,2,0,4,0,2,2,1,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0
2018020245,2018-11-10,47.983333333333334,6.016666666666667,6,30,1,5,22,5,5,22,0,0,17,2,1,9,0,0,13,2,1,6,2,0,4,0,2,43,12,2,43,2,19,32,11,2,32,2,18,24,9,1,22,2,17,3,2,0,1,0,0,3,2,0,1,0,0,1,2,0,1,0,0,2,1,0,4,0,0,0,0,0,1,0,1,0,0,0,1,0,1
2018020256,2018-11-11,42.2,9.8,8,28,6,5,18,8,2,16,3,1,21,2,2,8,0,2,5,3,0,8,6,0,8,0,0,44,13,2,38,3,14,39,10,2,33,3,12,29,7,1,27,2,9,3,1,0,1,0,0,3,1,0,1,0,0,2,1,0,0,0,0,5,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2018020275,2018-11-14,50.61666666666666,5.683333333333334,3.7,15,5,1,24,2,4,14,0,1,21,1,0,8,0,0,2,0,0,8,0,0,2,4,2,32,22,0,42,4,8,20,16,0,25,2,7,10,13,0,18,2,5,1,2,0,3,0,3,0,2,0,3,0,3,0,2,0,1,0,3,2,0,0,4,0,0,2,0,0,2,0,1,2,0,0,2,0,1
2018020286,2018-11-16,50.23333333333334,3.6666666666666665,7.666666666666667,19,1,0,26,3,4,21,0,2,31,0,2,4,0,0,15,1,2,15,0,4,19,2,12,37,6,2,53,3,13,28,3,2,41,3,9,20,1,2,28,3,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,0,3,0,0,0,3,1,0,0,0,0,3,1,0
2018020300,2018-11-17,50.099999999999994,3.066666666666667,6.833333333333333,13,2,1,27,0,4,22,0,1,24,0,0,3,0,1,7,2,1,2,0,2,8,0,0,39,2,2,45,2,12,28,1,2,32,2,10,21,0,2,22,2,9,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,1,0,5,0,1,2,0,1,5,0,1,2,0,1
2018020324,2018-11-21,58.81666666666667,2,0,22,1,0,34,0,0,16,0,0,30,0,0,6,0,0,8,0,0,2,0,0,0,0,0,54,2,0,42,1,0,43,2,0,36,1,0,35,1,0,26,1,0,2,0,0,3,0,0,1,0,0,3,0,0,0,0,0,2,0,0,2,0,0,1,1,0,3,0,0,2,0,0,3,0,0,2,0,0
2018020340,2018-11-23,58.88333333333333,0,3.066666666666667,30,0,1,36,0,3,28,0,0,25,0,0,9,0,0,6,0,0,0,0,0,2,0,2,59,0,1,61,0,6,46,0,0,46,0,5,37,0,0,33,0,4,2,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,1,2,0,1,6,0,0,3,0,0,4,0,0,3,0,0,4,0,0
2018020349,2018-11-24,45.83333333333333,7.333333333333333,6.833333333333333,24,4,1,22,3,4,26,0,1,46,3,2,7,0,1,9,3,4,12,0,4,4,6,4,51,12,2,54,2,22,37,9,2,37,2,11,26,8,1,23,1,9,2,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,3,1,0,6,1,1,4,1,0,4,0,1,4,1,0,4,0,1
2018020362,2018-11-26,54.6,3.7333333333333334,1.6666666666666667,23,2,0,29,3,1,18,0,1,22,0,1,7,0,0,10,1,0,4,0,0,2,0,0,65,22,2,57,1,6,48,17,2,41,1,5,32,7,1,28,1,2,1,1,0,2,1,1,1,1,0,2,1,1,1,1,0,1,1,1,2,2,0,5,0,0,1,2,0,3,0,1,1,2,0,3,0,1
