gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2022020165,2022-11-03,16.25,1.4333333333333333,3.5166666666666666,5,0,0,5,1,0,6,0,1,6,0,1,0,0,0,3,0,0,3,0,0,18,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,2,8,2,2,19,0,8,3,0,2,8,2,2,15,0,5,3,0,2,7,2,2,11,0,1,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,2,1,0,2,2,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
2022020184,2022-11-05,20.583333333333332,0.21666666666666667,1.2166666666666666,8,0,2,9,0,2,8,1,1,9,1,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,2,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,21,1,0,25,0,1,1,1,0,14,1,0,17,0,1,1,1,0,11,1,0,14,0,1,1,1,0,2,1,0,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2022020203,2022-11-08,16.866666666666667,1.4833333333333334,4.533333333333333,5,0,0,6,0,4,9,0,1,9,1,1,0,0,0,4,0,0,1,1,0,4,2,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,12,0,1,16,2,11,0,0,0,7,0,1,14,2,8,0,0,0,7,0,1,10,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,1,2
2022020209,2022-11-09,14.316666666666666,3.8833333333333333,0.7666666666666667,3,0,0,5,1,0,6,0,1,7,3,1,0,0,0,3,0,0,1,0,0,6,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,12,2,0,13,0,2,1,1,0,9,2,0,11,0,2,1,1,0,8,1,0,6,0,2,0,1,0,2,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2022020229,2022-11-12,16,4.55,1.8166666666666667,4,0,0,5,2,0,12,2,0,13,3,2,0,0,0,3,0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,1,5,0,1,2,0,0,0,0,0,5,1,0,16,7,1,10,1,2,5,0,0,11,5,1,8,1,2,4,0,0,10,4,1,5,1,2,1,0,0,2,1,0,2,0,1,0,0,0,1,1,0,2,0,1,1,0,0,1,1,0,2,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2022020249,2022-11-15,17.133333333333333,2.7,1.5833333333333333,11,1,0,12,1,0,3,0,0,3,1,3,1,0,0,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,18,4,0,18,0,2,2,0,0,8,2,0,12,0,1,0,0,0,4,2,0,11,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2022020263,2022-11-17,20.083333333333332,2.6666666666666665,0.43333333333333335,8,0,0,9,1,0,9,1,1,10,2,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,22,4,0,16,1,1,3,0,0,19,2,0,15,0,0,2,0,0,14,0,0,8,0,0,1,0,0,2,0,0,3,0,0,1,0,0,2,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,2,0,0
2022020280,2022-11-19,18.833333333333332,3.8666666666666667,2.2666666666666666,9,0,0,10,2,0,1,1,1,1,3,1,1,0,0,3,0,1,2,0,1,13,0,1,0,0,0,1,0,2,1,0,0,9,0,1,0,2,0,0,0,0,2,1,0,29,6,0,19,0,3,1,1,0,22,6,0,14,0,2,1,0,0,11,4,0,8,0,1,0,0,0,2,1,0,1,0,0,2,0,0,2,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,6,0,1,0,0,0,1,1,0,5,0,0,0,0,0,1,1,0,5,0,0
2022020301,2022-11-22,13.533333333333333,7.65,0,4,1,0,5,5,0,5,0,0,5,2,0,1,0,0,7,0,0,3,0,0,8,2,0,1,0,0,4,1,0,0,1,0,6,1,0,2,0,0,0,0,0,1,2,0,9,12,0,10,2,0,1,1,0,7,10,0,8,2,0,1,1,0,6,7,0,7,2,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2022020306,2022-11-23,14.916666666666666,1.7666666666666666,1.4666666666666666,7,0,0,7,1,1,11,0,1,12,1,1,0,0,0,4,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,1,0,17,0,3,1,0,0,11,1,0,12,0,1,1,0,0,9,1,0,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2022020321,2022-11-25,18.233333333333334,2.35,1.5833333333333333,6,0,0,6,2,0,6,2,2,6,2,2,0,0,0,1,0,0,1,0,0,10,0,0,2,0,0,4,0,1,1,0,0,3,0,0,0,0,0,0,0,0,2,4,0,16,4,1,7,0,1,2,2,0,12,2,1,5,0,1,1,2,0,6,2,1,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022020354,2022-11-29,12.183333333333334,7.666666666666667,1.1166666666666667,6,1,0,6,5,0,4,1,0,5,3,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,14,9,0,7,1,1,1,1,0,10,4,0,5,1,0,0,1,0,7,3,0,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0
2022020372,2022-12-01,16.55,2.95,2.9166666666666665,10,0,0,12,3,0,8,0,2,9,0,5,0,0,0,2,0,0,0,0,0,8,2,0,1,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,5,3,0,17,1,6,0,0,0,4,2,0,11,1,5,0,0,0,4,1,0,7,1,3,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022020381,2022-12-03,15.833333333333334,3.75,1.2166666666666666,7,0,0,7,1,1,8,0,0,8,2,0,0,0,0,7,0,1,0,0,1,10,1,1,0,0,0,3,0,1,3,0,1,6,1,1,0,0,0,0,0,2,2,2,0,23,8,0,8,1,0,2,2,0,19,6,0,4,1,0,1,1,0,13,3,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,4,2,0,0,0,0,2,0,0,4,2,0,0,0,0
2022020402,2022-12-05,17.083333333333332,4.833333333333333,0.16666666666666666,11,0,0,11,0,0,10,1,0,10,3,0,2,0,0,4,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,17,5,0,13,0,0,3,2,0,15,5,0,8,0,0,2,0,0,8,1,0,7,0,0,1,0,0,3,0,0,3,0,0,1,0,0,3,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2022020411,2022-12-06,16.716666666666665,4.816666666666666,1.25,7,3,1,8,3,1,6,1,0,6,3,0,1,1,0,4,2,0,1,0,0,2,2,0,2,1,0,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,14,4,0,21,0,3,1,0,0,10,3,0,14,0,2,1,0,0,6,2,0,9,0,2,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2022020439,2022-12-10,17.3,3.2,1.1,5,5,0,5,6,0,10,1,2,11,1,2,1,0,0,8,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,1,0,14,9,0,20,0,3,0,1,0,8,6,0,15,0,2,0,1,0,3,5,0,11,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,1,0,2,0,1,0,0,0,1,1,0,2,0,1
