gameId,eventId,strengthState,xCoordNorm,yCoordNorm,isRush,isRebound,isCorsi,isFenwick,isShot,isGoal,xG,goaliePlayerId
2011020818,280,even-strength,33,40,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0.006264428768132429,8471734
2011020818,536,penalty-kill,29,31,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.007642231097141871,8471734
2011020827,382,even-strength,82,-8,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.07846055513265915,8460535
2011020827,466,even-strength,73,-9,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0.1694327290027159,8460535
2011020844,204,even-strength,36,14,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.018946999474975287,8471715
2011020854,430,even-strength,32,26,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.011869338872150668,8470880
2011020868,232,even-strength,75,14,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.05579611528157336,8470320
2011020883,132,even-strength,48,23,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0.034643238131035335,8467950
2011020883,522,even-strength,41,18,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.02699178021138899,8467950
2011020885,324,even-strength,69,8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,8468011
2011020909,147,even-strength,28,21,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.011161506178959807,8462047
2011020928,451,even-strength,71,18,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.07756974730992564,8475215
2011020952,454,even-strength,75,-4,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.07082796043509759,8468524
2011020965,27,even-strength,64,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,8471695
2011020974,387,even-strength,32,-22,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.008979199680818213,8455710
2011020999,272,even-strength,37,26,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.014109955390458744,8455710
2011021018,392,even-strength,82,-5,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.11351417383518451,8460704
2011021037,124,even-strength,30,31,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.006391141100722797,8473607
2011021037,303,even-strength,32,18,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.013512878666955361,8473607
2011021037,464,even-strength,30,25,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.009459576338265918,8473607
2011021037,658,even-strength,31,24,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.009361058826596125,8473607
2011021053,127,even-strength,79,17,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.03542368594569114,8468524
2011021053,239,even-strength,80,-16,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.05470889238104474,8468524
2011021068,331,even-strength,75,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,8469514
2011021088,27,even-strength,51,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,8473503
2011021122,11,even-strength,54,6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,8460806
2011021169,456,even-strength,76,3,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.07193751926670447,8460612
2011021169,709,even-strength,60,23,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.021821051498842243,8460612
2011021181,410,even-strength,-4,20,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.0018838612773926038,8467950
