gameId,eventId,strengthState,xCoordNorm,yCoordNorm,isRush,isRebound,isCorsi,isFenwick,isShot,isGoal,xG,goaliePlayerId,goalieTeamId,shooterTeamId
2013020068,74,even-strength,43,25,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,8475683,29,6
2013020068,88,even-strength,38,23,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.01320109822109192,8475683,29,6
2013020068,99,even-strength,69,20,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.04792635746429663,8475683,29,6
2013020068,706,even-strength,40,23,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.01889418917673725,8475683,29,6
2013020079,93,even-strength,35,20,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.0144396706892129,8475361,17,6
2013020079,203,even-strength,59,21,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,8475361,17,6
2013020079,585,even-strength,42,12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,8475361,17,6
2013020079,656,even-strength,36,29,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.00837553346409105,8475361,17,6
2013020103,322,even-strength,45,32,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.01460263551529188,8460703,13,6
2013020103,403,even-strength,43,24,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,8460703,13,6
2013020103,413,even-strength,81,26,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.03373198683158937,8460703,13,6
2013020103,804,even-strength,35,25,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.01691474598471838,8460703,13,6
2013020204,141,even-strength,37,23,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.01577308249374789,8474690,2,6
2013020204,513,even-strength,56,9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,8474690,2,6
2013020262,47,even-strength,64,-10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,8474765,14,6
2013020262,87,even-strength,37,32,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0.02709924695150872,8474765,14,6
2013020262,288,even-strength,76,-2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,8474765,14,6
2013020277,476,even-strength,38,29,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0.02114837625587978,8475683,29,6
2013020289,153,even-strength,75,-2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,8467950,9,6
2013020309,658,even-strength,75,7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,8470320,12,6
2013020317,84,even-strength,47,-3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,8468685,3,6
2013020317,90,even-strength,40,-20,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,8468685,3,6
2013020317,545,even-strength,77,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,8468685,3,6
2013020317,564,even-strength,48,26,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.02048949201414002,8468685,3,6
