"task","candidate","modelFile","feature","gain","gainShare","rank"
"Term","LightGBM","term3.rds","giveaways_2_pp_p60_avg",0.00336115535523336,0.00336115535523336,56
"Term","LightGBM","term3.rds","y_2_pp_p60_avg",0.00333130574752414,0.00333130574752414,57
"Term","LightGBM","term3.rds","iCorsiF_2_pp_p60_avg",0.0033060310280571,0.0033060310280571,58
"Term","LightGBM","term3.rds","oSOGF_2_sh_p60_avg",0.00330473079583584,0.00330473079583584,59
"Term","LightGBM","term3.rds","dOxGA_2_pp_p60_avg",0.00327237449002448,0.00327237449002448,60
"Term","LightGBM","term3.rds","oSOGF_2_pp_p60_avg",0.00317999235621756,0.00317999235621755,61
"Term","LightGBM","term3.rds","oFenwickA_2_pp_p60_avg",0.00311346228825697,0.00311346228825696,62
"Term","LightGBM","term3.rds","iCorsiF_2_sh_p60_avg",0.00307524477721617,0.00307524477721617,63
"Term","LightGBM","term3.rds","giveaways_2_sh_p60_avg",0.00307294880586383,0.00307294880586382,64
"Term","LightGBM","term3.rds","hits_2_pp_p60_avg",0.00306128346295682,0.00306128346295682,65
"Term","LightGBM","term3.rds","ixGF_2_sh_p60_avg",0.0030226120677713,0.0030226120677713,66
"Term","LightGBM","term3.rds","dY_2_pp_p60_avg",0.00302185494019081,0.00302185494019081,67
"Term","LightGBM","term3.rds","dIxGF_2_sh_p60_avg",0.00300097407811035,0.00300097407811035,68
"Term","LightGBM","term3.rds","dGiveaways_2_ev_p60_avg",0.00297903732445124,0.00297903732445124,69
"Term","LightGBM","term3.rds","dBlocks_2_pp_p60_avg",0.00291874059914738,0.00291874059914738,70
"Term","LightGBM","term3.rds","iGF_2_pp_p60_avg",0.00287806445642231,0.00287806445642231,71
"Term","LightGBM","term3.rds","oFenwickF_2_ev_p60_avg",0.00286110636823373,0.00286110636823373,72
"Term","LightGBM","term3.rds","oGF_2_pp_p60_avg",0.00283349520551466,0.00283349520551465,73
"Term","LightGBM","term3.rds","dBlocks_2_sh_p60_avg",0.00281454502932914,0.00281454502932914,74
"Term","LightGBM","term3.rds","blocks_2_pp_p60_avg",0.00279026606710412,0.00279026606710412,75
"Term","LightGBM","term3.rds","dOSOGF_2_sh_p60_avg",0.00277406001128669,0.00277406001128669,76
"Term","LightGBM","term3.rds","oFenwickF_2_pp_p60_avg",0.00274128211916225,0.00274128211916225,77
"Term","LightGBM","term3.rds","assists_2_sh_p60_avg",0.00266582320395969,0.00266582320395968,78
"Term","LightGBM","term3.rds","dOCorsiA_2_ev_p60_avg",0.002658116808516,0.002658116808516,79
