gameId,xGF_ev,xGF_pp,xGF_sh,xGA_ev,xGA_pp,xGA_sh
2021020005,1.444969273221176,0.48682949149671007,0.11573568118581673,2.874897115585271,0.9054366735096174,3.1623273322989656e-4
2021020017,1.601423661688978,1.0433681521396716,0.09971419277889856,3.0540135375123842,0.3388594556618554,0.05586131086905101
2021020026,0.9058884372916318,0.7866621334220526,0.00193660287198386,1.81875224557022,0.4215557279699527,0
2021020046,1.984514087495998,0.783273429115967,0.5081716697935852,1.0622718231654935,0.34981889226343676,0.12991202406092
2021020058,1.840669190554565,0.5847306475398031,0.03002187040605845,1.792878667150226,0.986259799543709,0.5136755408263671
2021020080,2.1521908465329544,3.033214897147696,0.14642989585682464,2.826686220086155,0.5987021334711209,0
2021020099,1.8385369175759063,0.7761658158061234,0.2195374848486257,1.9525169204426926,0.669163184292208,0.02937448147872071
2021020114,1.1609481555145478,1.5818476731886584,0,1.6211291380583568,0.7031382105242416,0.06311692219580882
2021020120,2.042389531992432,0.20065139002745827,0.1471408350877798,2.4771406456945146,0.4839308436410322,0.373964622355343
2021020133,1.504240659089366,1.0520445000019742,0,1.8179501182402142,0.6335213676634742,0
2021020144,1.9680200367913374,0.6338532758740297,0.1840940649282738,1.7603360526468985,0.5914743138273902,0.82273330674905365
2021020157,0.8403788193170619,0.21072936639681772,0.18093521932427717,2.7155168149038946,0.4978330607307886,0
2021020175,1.9981862379210709,0.7943738491481609,0,1.7309173762073824,0.05790149091593057,0
2021020187,1.9142946437736854,0.5895556371894483,0.2774401557667862,2.775972051161947,0.2279160046947286,0
2021020210,1.7344263545591274,1.3415718939102033,0.5557712356032541,1.4830841976158924,0.29344550185326956,0.10919053724112587
2021020246,2.56510921426722,0,0,2.600247925257132,0.43805909748267874,0
2021020269,1.7928920964635877,0.3059393049293053,0.00164837429428564,2.0455442772956194,0.6162082043322684,0.2713035207595573
2021020278,1.4348462429338273,0.3288412407995539,2.0621318131882629e-4,1.6062699259126654,2.178839470493197,3.9717598712256337e-4
2021020289,1.3714256642280649,0.07588502972440551,0,3.9667659305474987,0,0.00269210816016538
2021020311,1.9225221707972826,0.2334837388498512,0.07431536242185996,1.4775304753196392,0.14189234378214166,0
2021020330,2.155942696745808,0.37239508023941703,0,1.8298951373456698,0.096018644810747,0
2021020356,2.4219041653709765,0.5842283695594174,0,2.962415140772591,0.14380236838289404,0.17914209085582283
2021020371,1.8668367561239678,0.5057670124193054,7.032889485973573e-4,1.412897838500007,1.0499432358895413,0.00180284525947494
2021020377,1.7466804323819347,0.5809692792551989,0,1.898767093102665,0.9176638863109092,0
2021020393,2.142803714601856,0.6942232979432845,0,2.474669927864653,0.5887404004387343,0.05907116126409992
2021020403,3.5049484730109,0.37424957189392516,0,1.3871990911531087,0.34124195914351235,0.00546126456118038
2021020420,2.079708475504733,0.49055203180954615,0,1.6541204026390905,0.4275617601202373,0
2021020436,1.2747607324294514,0.07271160508103428,0.0487586579804064,3.026035619463686,0.594549815883683,0.08603015188239112
2021020451,1.830677603091353,0.5095169967675667,0.0022719174004449277,3.461566078369069,0.37422024982372387,0.3161876427951121
2021020467,1.4965932315027919,0.2597045956826158,0,1.7033580006445956,0.43070064090106686,0.00245332997741313
2021020475,1.7279086144219595,0.3030944540503797,0,1.6033217986826345,2.452239368779582,0
2021020498,1.074183947605639,0.46490088646391414,0,2.805191640330569,0,0
2021020516,2.1241633463270597,0.2586345909866986,0,1.6386010416913006,0.2808275737564612,0
2021020538,1.9683374486045464,0.23185052430078312,0.1354712076526311,2.8800992277376074,0.8014552510723228,0.51404864918118
2021020548,2.5423733766336274,0,0.06372412951545754,3.125903529097786,0.21445432429320727,0.22440910729467972
2021020571,1.4390584907084132,1.2711546834444918,0,1.7668301134457527,1.0945827478090646,0.04563558819879228
2021020579,1.5083672197213203,0.6498227556363205,0.08803704900886207,3.11480541242068,1.082439260624869,0.14021613093453414
2021020591,2.72191371591159,0.5384777785702501,0,2.117160573734247,0.4731230439532843,0
2021020607,1.7923091962169804,1.386930892575059,0.04098501419830212,2.467081621781207,1.0823534546445583,0.0463260204047328
2021020626,1.6425607091110632,0,0,2.1208170270627438,0,0
2021020640,1.9710661969069205,0.23355636332562824,0.00144054459446249,1.3314757359095082,0.36124875766833836,0.422732859680061
2021020655,1.6116828924751028,0.5266312259687427,0.23250868635133848,1.7846274109886333,0.5194636359655166,0
2021020673,2.839025772755081,0.7198802442488386,0.05344896768110877,2.578449233686132,0.6170704528529235,0.3453450925922745
2021020690,1.0654599324051341,1.4372444076008228,0.05824965074791881,3.737046252974147,1.093317674488248,0
2021020699,2.320477876617257,0.4585538067583429,0.00221819456269862,1.8312414230247915,1.8631682150031146,0
2021020717,1.2517984645700981,0.546142516991412,0,2.3854668699173,0.3946328518209291,0.01999557177212778
2021020728,2.5109667280793895,0.22985066292883533,5.991987980488721e-4,2.557030518275552,1.2238559634201711,0
