gameId,gameDate,cA_neither_ev,cA_neither_pp,cA_neither_sh,cA_rush_ev,cA_rush_pp,cA_rush_sh,cA_rebound_ev,cA_rebound_pp,cA_rebound_sh,cA_both_ev,cA_both_pp,cA_both_sh,fA_neither_ev,fA_neither_pp,fA_neither_sh,fA_rush_ev,fA_rush_pp,fA_rush_sh,fA_rebound_ev,fA_rebound_pp,fA_rebound_sh,fA_both_ev,fA_both_pp,fA_both_sh,sA_neither_ev,sA_neither_pp,sA_neither_sh,sA_rush_ev,sA_rush_pp,sA_rush_sh,sA_rebound_ev,sA_rebound_pp,sA_rebound_sh,sA_both_ev,sA_both_pp,sA_both_sh,gA_neither_ev,gA_neither_pp,gA_neither_sh,gA_rush_ev,gA_rush_pp,gA_rush_sh,gA_rebound_ev,gA_rebound_pp,gA_rebound_sh,gA_both_ev,gA_both_pp,gA_both_sh,apA_neither_ev,apA_neither_pp,apA_neither_sh,apA_rush_ev,apA_rush_pp,apA_rush_sh,apA_rebound_ev,apA_rebound_pp,apA_rebound_sh,apA_both_ev,apA_both_pp,apA_both_sh,asA_neither_ev,asA_neither_pp,asA_neither_sh,asA_rush_ev,asA_rush_pp,asA_rush_sh,asA_rebound_ev,asA_rebound_pp,asA_rebound_sh,asA_both_ev,asA_both_pp,asA_both_sh,rgA_neither_ev,rgA_neither_pp,rgA_neither_sh,rgA_rush_ev,rgA_rush_pp,rgA_rush_sh,rgA_rebound_ev,rgA_rebound_pp,rgA_rebound_sh,rgA_both_ev,rgA_both_pp,rgA_both_sh
2021020777,2022-02-02,46,0,5,1,0,0,5,0,0,0,0,0,33,0,3,1,0,0,3,0,0,0,0,0,25,0,1,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
2021020837,2022-02-26,50,5,14,5,0,0,1,0,0,0,0,0,33,3,11,4,0,0,1,0,0,0,0,0,23,1,8,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021020866,2022-03-03,53,0,3,2,0,0,2,0,1,2,0,0,41,0,2,1,0,0,2,0,1,2,0,0,32,0,1,0,0,0,2,0,1,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0
2021020900,2022-03-07,51,3,5,6,1,0,2,0,1,1,0,0,43,3,5,6,1,0,2,0,0,1,0,0,34,3,3,6,1,0,2,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
2021020928,2022-03-11,44,4,0,1,0,0,4,3,0,0,0,0,31,4,0,1,0,0,4,2,0,0,0,0,23,1,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,2,1,0,0,0,0
2021020956,2022-03-15,52,1,0,0,0,0,3,0,0,0,0,0,42,1,0,0,0,0,3,0,0,0,0,0,28,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2021020985,2022-03-19,47,1,6,2,0,0,8,0,0,0,0,0,35,1,5,2,0,0,6,0,0,0,0,0,26,1,4,2,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0
2021021021,2022-03-22,34,0,2,4,0,0,3,0,0,0,0,0,25,0,0,1,0,0,3,0,0,0,0,0,20,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
2021021034,2022-03-26,64,1,9,0,0,0,5,0,1,0,0,0,49,1,7,0,0,0,5,0,1,0,0,0,34,1,5,0,0,0,3,0,1,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
2021021048,2022-03-27,12,0,1,1,0,0,6,0,0,0,0,0,9,0,1,0,0,0,6,0,0,0,0,0,8,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
2021021063,2022-03-29,56,0,7,1,0,1,5,0,0,0,0,0,45,0,5,1,0,1,4,0,0,0,0,0,35,0,4,1,0,1,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2021021077,2022-03-31,43,0,4,2,0,0,4,0,0,0,0,0,36,0,3,1,0,0,3,0,0,0,0,0,27,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2021021086,2022-04-01,40,2,6,0,1,0,5,0,0,0,0,0,28,2,3,0,1,0,5,0,0,0,0,0,19,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
2021021121,2022-04-05,47,2,3,1,0,0,11,0,0,0,0,0,36,2,2,1,0,0,9,0,0,0,0,0,29,2,1,1,0,0,7,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0
2021021147,2022-04-09,35,0,11,2,0,0,3,0,4,0,0,0,32,0,7,1,0,0,3,0,4,0,0,0,19,0,5,1,0,0,3,0,3,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,0
2021021237,2022-04-21,34,0,2,3,0,0,2,0,1,0,0,0,21,0,2,3,0,0,2,0,1,0,0,0,17,0,1,3,0,0,1,0,1,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
2021021262,2022-04-24,46,1,2,5,1,0,1,0,0,0,0,0,39,1,1,4,1,0,0,0,0,0,0,0,26,1,1,3,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021020513,2022-04-28,37,0,12,1,0,0,3,0,1,0,0,0,30,0,10,1,0,0,3,0,1,0,0,0,19,0,4,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
