playerId,gameId,gameDate,cA_ev,cA_pp,cA_sh,fA_ev,fA_pp,fA_sh,sA_ev,sA_pp,sA_sh,gA_ev,gA_pp,gA_sh,apA_ev,apA_pp,apA_sh,asA_ev,asA_pp,asA_sh,rsA_ev,rsA_pp,rsA_sh,rbA_ev,rbA_pp,rbA_sh,rgA_ev,rgA_pp,rgA_sh
8455710,2011020012,2011-10-08,31,2,14,24,2,10,20,2,7,3,0,0,3,0,0,2,0,0,1,0,1,2,0,1,2,0,1
8455710,2011020037,2011-10-13,17,0,1,13,0,0,11,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
8455710,2011020166,2011-11-02,39,0,1,34,0,0,23,0,0,5,0,0,5,0,0,5,0,0,0,0,0,3,0,0,3,0,0
8455710,2011020186,2011-11-05,32,1,5,27,1,3,21,0,2,2,0,0,2,0,0,1,0,0,1,0,0,2,0,0,2,0,0
8455710,2011020204,2011-11-08,27,3,4,22,3,4,20,3,4,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
8455710,2011020222,2011-11-11,21,1,8,18,1,6,14,1,5,2,1,0,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0
8455710,2011020257,2011-11-16,48,1,9,38,0,7,26,0,6,2,0,1,2,0,1,2,0,1,3,0,0,0,0,1,0,0,1
8455710,2011020280,2011-11-19,32,1,12,20,1,8,16,1,6,2,0,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,2
8455710,2011020295,2011-11-21,42,2,13,33,2,9,26,2,8,3,1,0,3,1,0,2,1,0,7,0,0,3,0,0,3,0,0
8455710,2011020301,2011-11-23,34,1,15,29,1,15,25,1,10,1,0,0,1,0,0,1,0,0,3,0,0,3,0,1,3,0,1
8455710,2011020326,2011-11-26,34,5,5,25,4,2,20,4,2,2,1,0,2,0,0,1,0,0,3,0,0,3,0,0,3,0,0
8455710,2011020355,2011-11-30,39,1,4,32,1,1,23,1,1,5,1,0,4,1,0,3,1,0,2,0,0,1,0,1,1,0,1
8455710,2011020367,2011-12-02,6,0,0,5,0,0,4,0,0,3,0,0,2,0,0,2,0,0,2,0,0,1,0,0,1,0,0
