playerId,gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
8465009,2020020006,2021-01-14,18.516666666666666,0,1.75,0,0,0,7,0,2,0,0,0,5,0,1,1,0,0,7,0,0,0,0,0,8,0,0,0,0,1,2,0,1,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,11,0,0,7,0,2,1,0,0,8,0,0,5,0,2,1,0,0,7,0,0,2,0,2,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8465009,2020020017,2021-01-15,15.75,0,4.35,0,0,0,5,0,3,0,0,0,3,0,2,2,0,0,8,0,0,1,0,0,6,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,4,0,0,16,0,0,15,0,6,3,0,0,13,0,0,14,0,6,3,0,0,10,0,0,9,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2
8465009,2020020035,2021-01-17,14.383333333333333,0,4.983333333333333,0,0,0,4,0,3,0,0,0,10,0,3,2,0,1,14,0,1,3,0,0,12,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,14,0,0,11,0,6,4,0,0,11,0,0,9,0,5,3,0,0,8,0,0,7,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
8465009,2020020050,2021-01-19,16.483333333333334,0.15,2.216666666666667,0,0,0,4,0,2,0,0,0,9,0,2,2,0,0,16,0,1,1,0,0,11,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,10,0,0,17,0,4,1,0,0,6,0,0,14,0,4,0,0,0,5,0,0,13,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,2,0,0,4,0,0
8465009,2020020067,2021-01-22,17.166666666666668,0,1.9666666666666666,0,0,0,7,0,0,0,0,0,6,0,0,2,0,0,6,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,11,0,1,20,0,2,2,0,0,9,0,1,18,0,2,1,0,0,6,0,1,12,0,2,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0
8465009,2020020082,2021-01-24,17.383333333333333,0.85,4.383333333333334,0,0,0,8,1,4,0,0,0,11,0,0,2,0,0,7,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,2,0,0,6,0,0,23,3,0,18,0,9,3,0,0,14,3,0,15,0,6,2,0,0,11,3,0,13,0,6,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
8465009,2020020096,2021-01-26,17.716666666666665,1.7,1.2166666666666666,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,3,0,0,1,0,0,5,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,6,0,0,22,2,0,22,1,3,5,0,0,16,0,0,18,1,2,3,0,0,12,0,0,16,0,2,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
8465009,2020020112,2021-01-28,20.016666666666666,1.0833333333333333,1.8166666666666667,0,0,0,7,0,2,0,0,0,10,0,1,2,0,0,8,1,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,3,1,11,1,1,1,0,0,9,2,1,5,0,1,1,0,0,6,1,0,3,0,1,1,0,0,2,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
8465009,2020020127,2021-01-30,18.816666666666666,0,2.0833333333333335,0,0,0,6,0,0,0,0,0,7,0,1,0,0,0,10,0,0,0,0,0,3,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,11,0,0,29,0,5,2,0,0,9,0,0,20,0,3,1,0,0,8,0,0,15,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,0,1,1,0,0,1,0,0,3,0,1
8465009,2020020145,2021-02-01,13.966666666666667,1.9,4.233333333333333,0,0,0,9,1,1,0,0,0,7,2,2,0,0,0,3,0,0,0,0,0,8,1,0,1,0,0,2,0,1,1,0,1,2,0,1,0,0,0,0,0,0,4,0,0,14,2,1,13,0,8,4,0,0,14,1,1,7,0,4,3,0,0,8,0,1,7,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
