playerId,gameId,gameDate,cA_ev,cA_pp,cA_sh,fA_ev,fA_pp,fA_sh,sA_ev,sA_pp,sA_sh,gA_ev,gA_pp,gA_sh,apA_ev,apA_pp,apA_sh,asA_ev,asA_pp,asA_sh,mD_ev,mD_pp,mD_sh,mC_ev,mC_pp,mC_sh,rsA_ev,rsA_pp,rsA_sh,rbA_ev,rbA_pp,rbA_sh,rgA_ev,rgA_pp,rgA_sh
8467950,2020020188,2021-02-07,15,0,2,11,0,1,7,0,1,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0
8467950,2020020392,2021-02-21,53,1,9,40,1,7,21,1,4,2,0,1,2,0,1,1,0,1,0,0,0,0,0,0,4,0,1,3,0,0,3,0,0
8467950,2020020677,2021-04-15,13,1,1,10,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
8467950,2020020856,2021-05-08,51,2,3,39,1,2,27,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,3,0,0
8467950,2020030121,2021-05-15,44,0,9,31,0,7,18,0,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0
8467950,2020030122,2021-05-17,80,1,8,64,1,5,44,1,3,4,0,0,4,0,0,3,0,0,0,0,0,0,0,0,3,0,0,9,0,1,9,0,1
8468011,2020020059,2021-01-20,46,2,13,31,2,9,23,2,7,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,1
8468011,2020020135,2021-01-30,33,1,9,26,1,6,20,0,4,2,0,1,2,0,1,0,0,1,0,0,0,0,0,0,6,0,0,3,0,1,3,0,1
8468011,2020020187,2021-02-06,41,1,1,37,1,0,27,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,0
8468011,2020020210,2021-02-09,45,1,6,34,1,6,25,1,5,5,0,0,5,0,0,4,0,0,0,0,0,0,0,0,1,1,0,3,0,2,3,0,2
8468011,2020020311,2021-02-24,48,1,7,34,1,5,25,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,4,0,1,4,0,1
8468011,2020020386,2021-03-06,50,1,12,32,1,10,26,1,6,3,0,1,3,0,1,3,0,1,0,0,0,0,0,0,3,0,0,3,0,2,3,0,2
8468011,2020020429,2021-03-12,3,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8468011,2020020441,2021-03-13,43,5,7,33,5,7,25,4,4,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,5,0,0,2,0,0,2,0,0
8468011,2020020568,2021-03-16,65,1,9,44,1,6,30,1,4,5,0,2,4,0,2,4,0,2,0,0,0,0,0,0,4,1,0,8,0,0,8,0,0
8468011,2020020476,2021-03-18,34,0,8,30,0,6,22,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0
8468011,2020020461,2021-03-20,21,0,1,18,0,1,13,0,1,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0
8468011,2020020501,2021-03-22,38,0,8,30,0,7,19,0,4,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,5,0,0,5,0,0
8468011,2020020513,2021-03-24,37,0,5,28,0,5,21,0,5,2,0,1,2,0,1,2,0,0,0,0,0,0,0,0,3,0,0,4,0,1,4,0,1
8468011,2020020553,2021-03-29,53,4,19,44,4,17,31,3,14,4,0,1,4,0,1,3,0,1,0,0,0,0,0,0,0,0,0,6,0,2,6,0,2
8468011,2020020810,2021-05-01,49,0,1,35,0,1,24,0,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0
8468011,2020020865,2021-05-08,34,0,10,29,0,8,19,0,6,3,0,1,3,0,1,2,0,1,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0
8469608,2020020199,2021-02-08,45,1,5,28,1,5,23,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0
8469608,2020020220,2021-02-11,63,1,3,50,1,2,35,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,5,0,0
8469608,2020020248,2021-02-15,15,0,5,11,0,3,8,0,3,3,0,1,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8469608,2020020264,2021-02-17,48,1,19,31,1,13,24,1,10,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,5,0,0,2,0,1,2,0,1
8469608,2020020276,2021-02-19,42,0,12,30,0,8,18,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
8469608,2020020307,2021-02-23,50,4,11,36,4,7,27,3,3,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,5,0,1,4,0,0,4,0,0
8469608,2020020320,2021-02-25,49,3,17,36,3,9,25,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0
8469608,2020020335,2021-02-27,38,0,1,33,0,1,28,0,1,3,0,1,3,0,1,3,0,1,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0
8469608,2020020350,2021-03-01,11,4,6,11,4,6,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
8469608,2020020360,2021-03-03,35,0,20,29,0,15,20,0,12,4,0,2,4,0,2,4,0,2,0,0,0,2,0,0,6,0,0,1,0,2,1,0,2
8469608,2020020383,2021-03-06,42,0,10,36,0,8,29,0,7,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0
8469608,2020020410,2021-03-10,42,0,3,27,0,2,21,0,1,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,3,0,0,3,0,0,3,0,0
8469608,2020020426,2021-03-12,53,0,2,37,0,1,24,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0
