playerId,gameId,gameDate,cA_ev,cA_pp,cA_sh,fA_ev,fA_pp,fA_sh,sA_ev,sA_pp,sA_sh,gA_ev,gA_pp,gA_sh,apA_ev,apA_pp,apA_sh,asA_ev,asA_pp,asA_sh,mD_ev,mD_pp,mD_sh,mC_ev,mC_pp,mC_sh,rsA_ev,rsA_pp,rsA_sh,rbA_ev,rbA_pp,rbA_sh,rgA_ev,rgA_pp,rgA_sh
8466141,2015020020,2015-10-10,44,4,8,34,4,8,27,4,8,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
8466141,2015020035,2015-10-12,38,4,17,29,3,13,24,2,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,7,0,0,7,0,0
8466141,2015020055,2015-10-15,32,0,10,25,0,8,21,0,5,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0
8466141,2015020068,2015-10-17,52,0,5,41,0,3,34,0,2,2,0,1,2,0,1,1,0,1,0,0,0,0,0,0,2,0,0,5,0,0,5,0,0
8466141,2015020083,2015-10-20,44,3,12,35,1,9,28,1,6,1,0,2,1,0,2,1,0,2,0,0,0,0,0,0,1,1,0,3,0,1,3,0,1
8466141,2015020097,2015-10-22,38,0,14,27,0,10,20,0,7,1,0,2,1,0,2,1,0,2,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0
8466141,2015020128,2015-10-27,34,0,17,26,0,12,21,0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,1,0,1
8466141,2015020150,2015-10-30,35,1,9,31,1,7,25,1,4,1,0,2,1,0,2,1,0,2,0,0,0,0,0,0,3,0,0,6,0,0,6,0,0
8466141,2015020184,2015-11-04,57,1,15,43,1,10,29,1,9,1,0,1,1,0,1,1,0,1,0,0,0,2,0,0,4,1,0,2,0,3,2,0,3
8466141,2015020201,2015-11-07,56,1,2,47,1,2,32,1,2,3,0,1,3,0,1,2,0,1,2,0,0,0,0,0,2,0,0,5,0,0,5,0,0
