teamId,gameId,gameTypeId,gameDate,mP_ev,mP_pp,mP_sh,FW_ev,FW_pp,FW_sh,FL_ev,FL_pp,FL_sh,HG_ev,HG_pp,HG_sh,HT_ev,HT_pp,HT_sh,TW_ev,TW_pp,TW_sh,GW_ev,GW_pp,GW_sh,MD_ev,MD_pp,MD_sh,MC_ev,MC_pp,MC_sh,CF_neither_ev,CF_neither_pp,CF_neither_sh,CF_rush_ev,CF_rush_pp,CF_rush_sh,CF_rebound_ev,CF_rebound_pp,CF_rebound_sh,CF_both_ev,CF_both_pp,CF_both_sh,CA_neither_ev,CA_neither_pp,CA_neither_sh,CA_rush_ev,CA_rush_pp,CA_rush_sh,CA_rebound_ev,CA_rebound_pp,CA_rebound_sh,CA_both_ev,CA_both_pp,CA_both_sh,FF_neither_ev,FF_neither_pp,FF_neither_sh,FF_rush_ev,FF_rush_pp,FF_rush_sh,FF_rebound_ev,FF_rebound_pp,FF_rebound_sh,FF_both_ev,FF_both_pp,FF_both_sh,FA_neither_ev,FA_neither_pp,FA_neither_sh,FA_rush_ev,FA_rush_pp,FA_rush_sh,FA_rebound_ev,FA_rebound_pp,FA_rebound_sh,FA_both_ev,FA_both_pp,FA_both_sh,SF_neither_ev,SF_neither_pp,SF_neither_sh,SF_rush_ev,SF_rush_pp,SF_rush_sh,SF_rebound_ev,SF_rebound_pp,SF_rebound_sh,SF_both_ev,SF_both_pp,SF_both_sh,SA_neither_ev,SA_neither_pp,SA_neither_sh,SA_rush_ev,SA_rush_pp,SA_rush_sh,SA_rebound_ev,SA_rebound_pp,SA_rebound_sh,SA_both_ev,SA_both_pp,SA_both_sh,GF_neither_ev,GF_neither_pp,GF_neither_sh,GF_rush_ev,GF_rush_pp,GF_rush_sh,GF_rebound_ev,GF_rebound_pp,GF_rebound_sh,GF_both_ev,GF_both_pp,GF_both_sh,GA_neither_ev,GA_neither_pp,GA_neither_sh,GA_rush_ev,GA_rush_pp,GA_rush_sh,GA_rebound_ev,GA_rebound_pp,GA_rebound_sh,GA_both_ev,GA_both_pp,GA_both_sh,APF_neither_ev,APF_neither_pp,APF_neither_sh,APF_rush_ev,APF_rush_pp,APF_rush_sh,APF_rebound_ev,APF_rebound_pp,APF_rebound_sh,APF_both_ev,APF_both_pp,APF_both_sh,APA_neither_ev,APA_neither_pp,APA_neither_sh,APA_rush_ev,APA_rush_pp,APA_rush_sh,APA_rebound_ev,APA_rebound_pp,APA_rebound_sh,APA_both_ev,APA_both_pp,APA_both_sh,ASF_neither_ev,ASF_neither_pp,ASF_neither_sh,ASF_rush_ev,ASF_rush_pp,ASF_rush_sh,ASF_rebound_ev,ASF_rebound_pp,ASF_rebound_sh,ASF_both_ev,ASF_both_pp,ASF_both_sh,ASA_neither_ev,ASA_neither_pp,ASA_neither_sh,ASA_rush_ev,ASA_rush_pp,ASA_rush_sh,ASA_rebound_ev,ASA_rebound_pp,ASA_rebound_sh,ASA_both_ev,ASA_both_pp,ASA_both_sh,RCF_neither_ev,RCF_neither_pp,RCF_neither_sh,RCF_rush_ev,RCF_rush_pp,RCF_rush_sh,RCF_rebound_ev,RCF_rebound_pp,RCF_rebound_sh,RCF_both_ev,RCF_both_pp,RCF_both_sh,RCA_neither_ev,RCA_neither_pp,RCA_neither_sh,RCA_rush_ev,RCA_rush_pp,RCA_rush_sh,RCA_rebound_ev,RCA_rebound_pp,RCA_rebound_sh,RCA_both_ev,RCA_both_pp,RCA_both_sh
1,2018020198,2,2018-11-03,45.36666666666667,7.8,6.833333333333333,25,4,2,15,6,4,19,0,1,18,2,1,3,0,2,4,0,0,2,6,0,8,0,0,46,19,2,2,0,0,1,1,0,0,0,0,43,2,8,2,0,0,0,0,3,0,0,0,35,13,2,0,0,0,0,1,0,0,0,0,34,1,5,2,0,0,0,0,3,0,0,0,25,7,2,0,0,0,0,1,0,0,0,0,24,1,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
1,2018020212,2,2018-11-05,49.68333333333334,4.65,5.666666666666667,26,2,0,30,2,6,42,1,1,47,2,0,6,0,0,5,0,0,10,0,0,6,2,0,46,7,1,5,0,0,6,0,0,0,0,0,51,3,10,4,0,0,0,0,0,0,0,0,35,5,1,3,0,0,6,0,0,0,0,0,34,3,7,2,0,0,0,0,0,0,0,0,26,3,1,3,0,0,6,0,0,0,0,0,28,1,5,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018020218,2,2018-11-06,48.88333333333333,4,7.116666666666666,31,1,3,35,1,2,25,1,1,13,0,1,4,0,0,6,0,2,2,2,0,8,0,0,47,8,1,3,1,1,2,0,0,0,0,0,56,3,8,3,0,0,5,0,1,0,0,0,38,5,1,1,0,1,2,0,0,0,0,0,44,3,6,3,0,0,5,0,1,0,0,0,30,5,0,1,0,1,2,0,0,0,0,0,31,2,3,1,0,0,4,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
1,2018020236,2,2018-11-09,48.233333333333334,4.883333333333334,6.883333333333334,19,3,1,29,3,3,36,1,2,19,3,1,3,1,3,9,0,0,6,0,0,6,2,0,48,10,3,6,0,0,2,0,0,0,0,0,40,0,9,5,0,1,3,0,0,0,0,0,37,6,3,5,0,0,2,0,0,0,0,0,26,0,7,5,0,1,3,0,0,0,0,0,27,5,2,3,0,0,2,0,0,0,0,0,21,0,4,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1,2018020257,2,2018-11-11,54.7,4.65,0.65,24,0,0,33,4,1,22,1,0,19,1,0,6,1,0,9,0,0,4,0,6,4,0,2,52,6,0,5,0,0,7,0,0,1,0,0,44,1,3,2,0,0,1,0,1,1,0,0,34,4,0,2,0,0,5,0,0,1,0,0,34,1,2,2,0,0,1,0,1,1,0,0,26,4,0,2,0,0,3,0,0,1,0,0,22,0,1,2,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,2018020265,2,2018-11-13,51.25,4,4.75,28,2,6,31,3,3,15,0,1,31,1,0,9,0,1,3,0,0,6,0,0,6,2,0,45,1,3,2,0,0,1,1,0,1,0,0,40,2,6,1,0,0,4,1,1,0,0,0,38,1,3,1,0,0,1,1,0,1,0,0,32,1,2,1,0,0,3,1,1,0,0,0,27,1,3,1,0,0,1,1,0,1,0,0,22,1,2,1,0,0,3,1,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0
1,2018020278,2,2018-11-15,48,4,8,19,3,2,20,2,7,30,2,0,25,2,0,7,1,0,6,2,1,16,0,0,16,2,2,38,3,2,1,0,0,2,1,0,0,0,0,49,1,9,1,0,1,6,0,1,0,0,0,26,2,2,0,0,0,2,1,0,0,0,0,39,1,9,0,0,0,4,0,1,0,0,0,21,2,2,0,0,0,1,1,0,0,0,0,20,0,5,0,0,0,3,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0
1,2018020292,2,2018-11-17,60.150000000000006,0,4,22,0,4,32,0,1,14,0,1,21,0,0,11,0,0,5,0,1,2,0,2,6,0,2,66,0,1,4,0,0,2,0,0,0,0,0,45,0,7,1,0,0,2,0,0,0,0,0,51,0,1,4,0,0,1,0,0,0,0,0,35,0,5,0,0,0,2,0,0,0,0,0,35,0,1,3,0,0,1,0,0,0,0,0,25,0,3,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,2018020304,2,2018-11-18,51.46666666666667,4.266666666666667,4.266666666666667,27,3,1,26,4,2,23,1,1,35,2,0,8,0,0,10,2,0,6,0,0,4,2,0,48,6,1,4,0,0,3,0,0,0,0,0,41,4,9,3,0,0,3,1,0,0,0,0,34,6,1,4,0,0,3,0,0,0,0,0,29,3,3,2,0,0,3,1,0,0,0,0,22,6,1,3,0,0,2,0,0,0,0,0,17,1,2,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
1,2018020319,2,2018-11-21,54.083333333333336,1.9166666666666667,4,20,0,1,29,1,1,13,0,0,19,0,0,17,0,1,9,1,0,2,0,0,4,0,0,41,4,1,1,0,1,0,0,0,0,0,0,39,0,3,6,1,0,1,0,0,0,0,0,31,4,1,0,0,1,0,0,0,0,0,0,31,0,2,5,0,0,1,0,0,0,0,0,23,3,1,0,0,1,0,0,0,0,0,0,21,0,2,2,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
