gameId,gameTypeId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,oMD_ev,oMD_pp,oMD_sh,iMC_ev,iMC_pp,iMC_sh,oMC_ev,oMC_pp,oMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2024020153,2,2024-10-29,14.333333333333334,1.2666666666666666,2.216666666666667,4,0,1,5,0,1,2,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,2,0,0,2,0,2,2,0,2,2,0,1,11,1,3,14,1,2,2,0,1,9,1,2,11,1,1,2,0,1,8,1,1,8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
2024020163,2,2024-10-31,15.666666666666666,2.0833333333333335,2.8833333333333333,5,0,3,6,0,3,5,1,0,6,1,0,1,0,0,2,0,0,5,0,0,8,0,0,0,0,0,1,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,26,1,0,12,0,3,1,0,0,15,1,0,8,0,2,1,0,0,5,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,3,0,0,2,0,0
2024020180,2,2024-11-02,15.95,1.5,1.9166666666666667,3,0,2,5,0,2,3,0,1,6,1,1,3,0,0,6,0,0,4,0,0,11,0,0,0,0,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,13,2,0,16,0,2,1,1,0,9,2,0,11,0,1,0,1,0,5,1,0,8,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,3,0,0,4,0,0,0,0,0,3,0,0,4,0,0
2024020198,2,2024-11-05,15.35,1.0166666666666666,2.433333333333333,4,1,0,5,1,0,7,0,1,8,0,2,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,1,0,0,6,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,13,0,0,8,0,3,0,0,0,9,0,0,6,0,3,0,0,0,5,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2024020214,2,2024-11-07,9.233333333333333,2.35,1.3833333333333333,3,1,0,3,1,0,2,0,1,3,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,5,3,1,12,0,3,0,0,0,2,2,1,9,0,2,0,0,0,1,0,1,5,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024020221,2,2024-11-08,14.55,0.55,2.216666666666667,7,0,0,7,0,0,3,0,1,5,0,1,1,0,0,3,1,0,5,0,0,7,0,0,0,0,0,3,0,0,3,0,0,4,0,1,0,0,0,0,0,0,2,0,0,4,2,0,2,0,0,11,0,0,23,0,7,2,0,0,9,0,0,19,0,5,0,0,0,7,0,0,11,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,4,0,0
2024020241,2,2024-11-11,12.633333333333333,0,3.433333333333333,4,0,3,6,0,3,3,0,3,5,0,3,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,6,0,0,14,0,10,1,0,0,5,0,0,11,0,7,1,0,0,4,0,0,9,0,6,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024020268,2,2024-11-15,11.65,0,0.3,6,0,0,7,0,0,8,0,0,8,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,10,0,0,0,0,0,2,0,0,7,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2024020286,2,2024-11-17,10.983333333333333,0,0.55,8,0,0,9,0,0,6,0,1,6,0,1,2,0,0,4,0,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,5,0,1,1,0,0,5,0,0,4,0,1,1,0,0,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024020292,2,2024-11-18,10.833333333333334,0,1.2166666666666666,3,0,1,4,0,1,7,0,0,7,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,1,0,1,1,0,0,3,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,1,5,0,1,11,0,0,2,0,1,5,0,1,6,0,0,2,0,1,5,0,1,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
