gameId,xGA_ev,xGA_pp,xGA_sh
2020020022,0.21642080544121298,1.0396566730501013,0.25490171900958153
2020020085,2.0240055073935572,1.1410401261210827,0.2116014134998897
2020020143,1.6311301731248924,0.3001148112128889,0
2020020239,2.390914002784556,0.2549814054449126,3.6797742249868026e-4
2020020326,1.2442693910320122,0.717610361024699,0
2020020339,1.281002039143981,0.6692016918330475,0.2211041176580683
2020020352,1.8307138056549952,1.2069614961830273,0.569733139637524
2020020379,1.5926163149782864,0.8338771136465806,0
2020020437,1.626660335459235,0.12404262972563546,0
2020020493,2.4543218969257703,0.3899587623871352,0.16899989240874047
2020020550,0.7696168566940285,0.5205166242594791,0
2020020594,2.3966448014863753,1.3651831894630284,0
2020020606,1.363741953326937,0,0
2020020654,1.425608084027349,0.8882812054651491,0.02518695244515811
2020020762,2.0928049060477028,0.05130529298688988,0
2020020790,2.7140339864011818,0.8235379050086835,0
2020020866,2.6083279333467657,0.5915426926573372,0.13465384131653824
