gameId,gameDate,cA_ev,cA_pp,cA_sh,fA_ev,fA_pp,fA_sh,sA_ev,sA_pp,sA_sh,gA_ev,gA_pp,gA_sh,apA_ev,apA_pp,apA_sh,asA_ev,asA_pp,asA_sh,mD_ev,mD_pp,mD_sh,mC_ev,mC_pp,mC_sh,rsA_ev,rsA_pp,rsA_sh,rbA_ev,rbA_pp,rbA_sh,rgA_ev,rgA_pp,rgA_sh
2021020018,2021-10-15,53,0,13,38,0,9,34,0,5,2,0,2,2,0,2,2,0,2,0,0,0,0,0,0,3,0,0,3,0,3,3,0,3
2021020036,2021-10-18,30,2,8,23,2,7,18,1,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,2,3,0,2
2021020070,2021-10-23,47,3,10,38,3,7,23,3,4,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,3,1,1,3,1,1
2021020101,2021-10-27,58,0,17,40,0,9,29,0,8,2,0,1,2,0,1,2,0,1,0,0,0,0,0,0,2,0,1,1,0,2,1,0,2
2021020123,2021-10-30,44,1,11,35,1,8,26,1,8,1,0,2,1,0,2,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2021020137,2021-11-02,51,2,0,39,1,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,4,0,0
2021020153,2021-11-04,56,0,8,46,0,4,34,0,2,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,4,0,0,6,0,3,6,0,3
2021020192,2021-11-10,40,1,10,30,1,8,25,1,7,2,0,1,2,0,1,2,0,1,0,0,0,0,0,0,3,0,0,2,0,2,2,0,2
2021020208,2021-11-12,51,3,21,37,3,17,28,3,9,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,0,2,4,0,2
2021020236,2021-11-16,43,3,9,30,3,7,27,3,4,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,2,0,2,1,1,1,1,1,1
2021020252,2021-11-18,62,0,5,44,0,3,30,0,2,2,0,1,2,0,1,2,0,1,0,0,0,0,0,0,6,0,0,2,0,0,2,0,0
2021020287,2021-11-23,64,0,3,56,0,3,34,0,1,4,0,0,4,0,0,3,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0
2021020308,2021-11-26,58,1,7,42,1,4,33,0,3,6,0,0,6,0,0,5,0,0,0,0,0,0,0,0,5,0,0,3,0,0,3,0,0
2021020349,2021-12-01,37,0,4,29,0,4,25,0,2,2,0,1,2,0,1,2,0,1,0,0,0,0,0,0,6,0,0,4,0,1,4,0,1
2021020378,2021-12-05,24,1,0,17,1,0,14,1,0,4,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0,1,0,5,0,0,5,0,0
2021020398,2021-12-08,46,1,10,33,1,8,23,0,3,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
