gameId,gameDate,cA_ev,cA_pp,cA_sh,fA_ev,fA_pp,fA_sh,sA_ev,sA_pp,sA_sh,gA_ev,gA_pp,gA_sh,apA_ev,apA_pp,apA_sh,asA_ev,asA_pp,asA_sh,mD_ev,mD_pp,mD_sh,mC_ev,mC_pp,mC_sh,rsA_ev,rsA_pp,rsA_sh,rbA_ev,rbA_pp,rbA_sh,rgA_ev,rgA_pp,rgA_sh
2016020762,2017-02-02,45,2,7,38,2,7,24,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,1,5,0,1
2016020780,2017-02-04,31,1,6,24,1,6,16,0,3,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0
2016020798,2017-02-07,50,1,8,37,1,7,27,1,5,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,5,0,1,1,0,0,1,0,0
2016020818,2017-02-11,23,1,2,20,0,2,15,0,1,3,0,1,2,0,1,2,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
2016020831,2017-02-12,30,0,17,18,0,17,13,0,8,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2016020865,2017-02-18,45,1,10,33,1,7,25,1,6,3,0,1,2,0,1,2,0,1,0,0,0,0,0,0,1,0,0,2,0,3,2,0,3
2016020888,2017-02-21,17,1,2,14,1,0,13,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2016020897,2017-02-23,55,0,0,32,0,0,22,0,0,2,0,0,2,0,0,1,0,0,2,0,0,0,0,0,1,0,0,3,0,0,3,0,0
2016020915,2017-02-26,43,0,9,30,0,8,25,0,7,2,0,2,2,0,2,0,0,1,0,0,0,0,0,0,4,0,1,4,0,0,4,0,0
2016020923,2017-02-28,47,1,8,38,0,6,26,0,6,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,2,0,0,5,0,0,5,0,0
2016020941,2017-03-02,43,0,10,25,0,9,20,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,2,1,0,2
2016020981,2017-03-07,82,1,7,59,1,5,37,1,4,2,0,1,2,0,1,2,0,1,0,0,0,0,0,0,3,0,0,10,0,1,10,0,1
2016020993,2017-03-09,50,0,13,39,0,9,25,0,9,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,2,0,2,2,0,2
2016021019,2017-03-13,47,0,4,42,0,4,31,0,3,3,0,1,3,0,1,3,0,1,0,0,0,0,0,0,6,0,0,2,0,2,2,0,2
2016021039,2017-03-16,40,4,0,30,4,0,21,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0
2016021072,2017-03-20,45,0,2,37,0,2,25,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2016021096,2017-03-23,37,1,11,28,1,7,20,1,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,1,3,0,1
2016021114,2017-03-25,45,2,7,29,2,5,22,2,4,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,3,0,0,3,0,1,3,0,1
2016021127,2017-03-28,38,1,11,30,1,10,21,0,9,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0
2016021146,2017-03-30,27,0,7,17,0,6,10,0,6,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,2,0,1,2,0,1
2016021158,2017-04-01,49,0,4,40,0,3,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0
2016021185,2017-04-04,62,2,8,44,2,8,28,1,3,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2016021215,2017-04-08,48,2,2,42,1,2,33,1,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0
2016030151,2017-04-13,60,0,6,37,0,3,26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,2,0,0
2016030152,2017-04-15,44,0,7,31,0,5,27,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,2,0,0
2016030153,2017-04-17,55,1,9,40,0,7,33,0,3,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0
2016030154,2017-04-20,57,0,2,41,0,2,29,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0
2016030231,2017-04-26,58,0,4,40,0,4,29,0,1,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,7,0,0,0,0,1,0,0,1
2016030232,2017-04-28,34,0,11,24,0,10,15,0,5,2,0,1,2,0,1,2,0,1,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0
2016030233,2017-04-30,45,0,3,31,0,2,22,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0
2016030234,2017-05-02,45,0,10,37,0,7,26,0,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,5,0,4,5,0,4
2016030235,2017-05-05,43,1,10,35,1,6,28,1,3,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,6,0,1,6,0,1
2016030236,2017-05-07,49,0,3,35,0,1,23,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,2,0,0,2,0,0
2016030321,2017-05-12,49,1,11,37,1,9,24,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0
2016030322,2017-05-14,44,1,3,32,1,3,23,1,2,3,0,1,3,0,1,3,0,1,0,0,0,0,0,0,8,0,0,3,0,0,3,0,0
2016030323,2017-05-16,30,0,8,24,0,7,16,0,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1
2016030324,2017-05-18,56,0,6,39,0,4,33,0,4,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0
2016030325,2017-05-20,47,1,18,37,0,14,26,0,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,1,3,0,1
2016030326,2017-05-22,62,2,9,43,2,6,36,2,3,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,2,0,5,1,0,5,1,0
2016030411,2017-05-29,26,0,1,12,0,1,10,0,1,3,0,1,3,0,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2016030412,2017-05-31,30,0,7,26,0,3,23,0,2,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0
2016030413,2017-06-03,47,1,3,36,1,2,26,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0
2016030414,2017-06-05,46,1,10,32,1,9,21,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0
2016030415,2017-06-08,15,0,1,11,0,1,8,0,1,2,0,1,2,0,1,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2016030416,2017-06-11,38,2,0,28,2,0,26,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,3,0,0,3,0,0
