gameId,gameDate,cA_ev,cA_pp,cA_sh,fA_ev,fA_pp,fA_sh,sA_ev,sA_pp,sA_sh,gA_ev,gA_pp,gA_sh,apA_ev,apA_pp,apA_sh,asA_ev,asA_pp,asA_sh,rsA_ev,rsA_pp,rsA_sh,rbA_ev,rbA_pp,rbA_sh,rgA_ev,rgA_pp,rgA_sh
2015020006,2015-10-08,42,0,6,31,0,4,24,0,3,0,0,1,0,0,1,0,0,1,3,0,1,2,0,0,2,0,0
2015020019,2015-10-10,64,1,12,49,1,8,37,1,3,3,0,1,2,0,1,1,0,1,6,0,0,1,0,0,1,0,0
2015020046,2015-10-14,49,0,17,38,0,15,26,0,15,2,0,1,2,0,1,1,0,1,0,0,0,3,0,4,3,0,4
2015020051,2015-10-15,45,2,7,36,2,7,30,1,5,2,0,0,2,0,0,2,0,0,2,0,0,1,0,0,1,0,0
2015020066,2015-10-17,40,0,10,28,0,7,19,0,6,1,0,2,1,0,2,1,0,1,2,0,0,2,0,0,2,0,0
2015020109,2015-10-24,38,1,4,28,1,4,21,1,3,3,0,0,2,0,0,1,0,0,2,0,0,2,0,0,2,0,0
2015020134,2015-10-28,56,0,10,43,0,9,30,0,8,3,0,1,3,0,1,3,0,1,7,0,1,2,0,1,2,0,1
2015020158,2015-10-31,41,1,9,33,1,9,21,1,6,3,0,2,3,0,2,3,0,2,5,0,0,3,0,2,3,0,2
2015020175,2015-11-03,57,0,14,39,0,9,30,0,7,0,0,1,0,0,1,0,0,1,9,0,1,1,0,2,1,0,2
2015020188,2015-11-05,70,0,0,55,0,0,40,0,0,2,0,0,1,0,0,1,0,0,5,0,0,5,0,0,5,0,0
2015020223,2015-11-10,61,1,7,49,1,5,33,1,4,6,0,1,5,0,1,4,0,1,0,0,0,3,0,0,3,0,0
2015020246,2015-11-14,49,1,3,36,1,1,32,1,1,0,0,1,0,0,1,0,0,1,4,0,0,2,0,0,2,0,0
2015020264,2015-11-16,56,0,9,44,0,6,32,0,5,4,0,0,4,0,0,2,0,0,5,0,0,4,0,1,3,0,2
2015020283,2015-11-19,41,3,11,29,2,7,19,0,6,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,7,0,0
2015020294,2015-11-21,63,1,17,39,1,12,25,1,10,0,0,0,0,0,0,0,0,0,5,0,3,3,0,2,3,0,2
2015020315,2015-11-24,54,2,9,41,2,7,32,1,4,3,1,0,3,1,0,1,0,0,2,0,0,3,0,0,3,0,0
2015020328,2015-11-25,65,1,17,49,1,12,34,1,8,2,0,1,1,0,1,0,0,1,2,0,0,2,0,1,2,0,1
2015020351,2015-11-28,32,1,3,26,0,3,17,0,2,4,0,0,4,0,0,2,0,0,2,0,0,5,0,0,5,0,0
2015020361,2015-12-01,46,0,12,36,0,9,24,0,8,3,0,0,3,0,0,3,0,0,2,0,0,4,0,1,4,0,1
2015020376,2015-12-03,63,1,4,45,1,4,34,0,4,2,0,1,2,0,1,2,0,1,3,0,0,2,0,0,2,0,0
2015020390,2015-12-05,62,0,4,45,0,3,28,0,3,1,0,1,0,0,1,0,0,1,1,0,0,6,0,1,6,0,1
2015020401,2015-12-06,48,1,7,39,1,6,27,0,3,1,0,2,1,0,2,1,0,2,2,0,0,3,0,0,3,0,0
2015020412,2015-12-08,35,0,11,24,0,10,18,0,9,2,0,0,2,0,0,2,0,0,2,0,0,1,0,1,1,0,1
2015020422,2015-12-10,37,2,7,29,2,5,24,1,4,2,0,1,1,0,1,1,0,1,2,1,1,3,0,0,3,0,0
2015020437,2015-12-12,37,0,10,32,0,5,28,0,3,3,0,0,3,0,0,3,0,0,1,0,1,4,0,1,4,0,1
2015020451,2015-12-14,50,1,9,43,1,7,30,0,6,2,0,1,2,0,1,2,0,1,7,0,0,1,0,0,1,0,0
2015020480,2015-12-18,57,1,9,42,1,6,29,0,4,1,0,1,0,0,1,0,0,1,6,0,0,2,0,0,2,0,0
2015020511,2015-12-22,49,1,18,37,1,16,27,0,13,1,0,0,1,0,0,1,0,0,6,0,0,2,0,1,2,0,1
2015020526,2015-12-27,56,1,8,48,1,6,33,1,5,1,0,0,1,0,0,1,0,0,6,0,0,1,0,1,1,0,1
2015020541,2015-12-29,45,4,14,31,4,11,23,4,10,3,0,4,3,0,4,2,0,4,6,0,1,2,0,1,2,0,1
2015020581,2016-01-03,52,1,1,38,0,1,29,0,0,2,0,0,2,0,0,2,0,0,3,0,0,4,0,0,4,0,0
2015020602,2016-01-07,34,0,1,21,0,0,16,0,0,3,0,0,2,0,0,2,0,0,7,0,0,0,0,0,0,0,0
2015020617,2016-01-09,61,1,2,44,1,0,34,0,0,1,0,0,1,0,0,1,0,0,8,0,0,1,0,0,1,0,0
2015020645,2016-01-13,55,1,9,44,1,7,31,1,6,3,0,1,3,0,1,2,0,1,6,0,0,4,0,0,4,0,0
2015020661,2016-01-16,54,1,11,38,0,8,26,0,7,2,0,1,2,0,1,2,0,1,4,0,0,3,0,1,3,0,1
2015020681,2016-01-18,74,0,12,51,0,10,30,0,5,3,0,0,3,0,0,3,0,0,9,0,0,2,0,3,2,0,3
2015020694,2016-01-21,9,0,6,7,0,6,4,0,3,2,0,2,2,0,2,2,0,2,1,0,1,1,0,1,1,0,1
2015020721,2016-01-24,50,0,14,40,0,10,29,0,6,0,0,0,0,0,0,0,0,0,5,0,0,4,0,1,4,0,1
2015020735,2016-01-26,38,0,6,25,0,3,19,0,3,2,0,1,0,0,1,0,0,0,2,0,0,4,0,1,4,0,1
2015020748,2016-02-02,53,0,16,45,0,13,33,0,11,4,0,2,3,0,2,3,0,2,2,0,0,4,0,2,4,0,2
2015020763,2016-02-04,12,0,3,8,0,2,8,0,2,2,0,1,2,0,1,2,0,1,0,0,0,1,0,0,1,0,0
2015020780,2016-02-06,41,2,11,29,2,7,21,2,4,1,0,0,1,0,0,1,0,0,4,0,0,3,0,0,3,0,0
2015020792,2016-02-08,54,2,3,39,2,1,30,1,1,1,0,0,1,0,0,1,0,0,7,0,0,3,0,0,3,0,0
2015020806,2016-02-10,39,1,1,32,1,1,26,1,1,2,0,0,2,0,0,2,0,0,1,0,0,5,0,0,5,0,0
2015020829,2016-02-13,58,3,7,48,2,4,35,2,2,3,0,0,3,0,0,3,0,0,4,0,0,3,0,1,3,0,1
2015020851,2016-02-16,51,1,9,44,1,9,31,1,7,1,0,0,1,0,0,1,0,0,4,0,1,3,0,1,3,0,1
2015020861,2016-02-18,57,0,4,37,0,3,29,0,3,1,0,1,1,0,1,1,0,1,3,0,0,3,0,0,3,0,0
2015020876,2016-02-20,42,0,8,35,0,7,27,0,4,2,0,0,0,0,0,0,0,0,4,0,0,3,0,1,3,0,1
2015020900,2016-02-23,50,0,12,37,0,10,26,0,6,1,0,0,1,0,0,1,0,0,3,0,1,5,0,1,6,0,0
2015020914,2016-02-25,43,0,5,36,0,4,33,0,2,3,0,1,3,0,1,3,0,1,4,0,0,4,0,0,4,0,0
2015020928,2016-02-27,52,1,5,42,1,5,32,1,5,3,0,1,3,0,1,2,0,1,2,0,0,1,0,0,1,0,0
2015020946,2016-03-01,34,3,6,27,2,6,23,2,6,1,0,2,1,0,2,1,0,2,4,0,0,3,0,1,3,0,1
2015021010,2016-03-10,40,1,3,35,0,2,30,0,1,6,0,0,5,0,0,3,0,0,7,0,0,2,0,0,2,0,0
2015021022,2016-03-12,56,1,9,36,1,7,25,0,4,0,0,0,0,0,0,0,0,0,4,0,0,5,0,1,5,0,1
2015021044,2016-03-15,41,0,4,29,0,4,23,0,2,2,0,0,2,0,0,2,0,0,4,0,0,2,0,0,2,0,0
2015021061,2016-03-18,55,3,4,40,2,4,28,2,4,2,0,1,2,0,1,2,0,1,0,0,0,1,0,1,1,0,1
2015021092,2016-03-22,36,0,6,26,0,5,17,0,4,2,0,1,2,0,1,1,0,1,5,0,0,1,0,0,1,0,0
2015021121,2016-03-26,55,0,10,43,0,10,32,0,7,3,0,1,3,0,1,2,0,1,3,0,0,4,0,1,4,0,1
2015021158,2016-03-31,38,1,8,31,1,6,20,1,4,2,0,0,2,0,0,1,0,0,2,0,0,1,0,0,1,0,0
2015021208,2016-04-07,49,2,5,31,2,4,28,2,4,1,0,0,1,0,0,1,0,0,1,0,0,4,0,1,4,0,1
