gameId,gameDate,cA_ev,cA_pp,cA_sh,fA_ev,fA_pp,fA_sh,sA_ev,sA_pp,sA_sh,gA_ev,gA_pp,gA_sh,apA_ev,apA_pp,apA_sh,asA_ev,asA_pp,asA_sh,rsA_ev,rsA_pp,rsA_sh,rbA_ev,rbA_pp,rbA_sh,rgA_ev,rgA_pp,rgA_sh
2014020014,2014-10-09,52,1,5,48,1,4,35,1,2,5,0,0,4,0,0,3,0,0,2,0,0,8,0,0,8,0,0
2014020029,2014-10-11,31,3,20,22,3,17,19,1,13,2,0,0,2,0,0,2,0,0,0,0,0,2,0,4,2,0,4
2014020043,2014-10-14,50,0,20,39,0,12,29,0,11,3,0,0,2,0,0,2,0,0,6,0,1,2,0,1,2,0,1
2014020103,2014-10-24,36,0,11,30,0,9,23,0,6,3,0,0,3,0,0,2,0,0,1,0,0,3,0,0,3,0,0
2014020117,2014-10-26,70,1,11,41,1,6,24,0,4,2,0,0,2,0,0,2,0,0,5,0,0,3,0,0,3,0,0
2014020133,2014-10-28,69,1,14,54,1,11,40,1,10,2,0,0,2,0,0,2,0,0,3,0,0,9,0,2,9,0,2
2014020146,2014-10-30,63,0,16,44,0,13,30,0,10,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,3,0,0
2014020161,2014-11-01,44,0,12,30,0,10,22,0,7,2,0,0,2,0,0,1,0,0,2,0,0,2,0,0,2,0,0
2014020168,2014-11-02,37,1,11,28,1,11,23,1,9,3,0,0,3,0,0,3,0,0,2,0,1,4,0,1,3,0,2
2014020182,2014-11-04,56,1,14,38,1,8,30,1,6,5,0,0,4,0,0,4,0,0,4,0,0,5,0,0,5,0,0
2014020221,2014-11-11,48,4,16,40,4,12,33,4,9,4,1,1,4,1,0,3,0,0,3,1,1,5,0,1,5,0,1
2014020233,2014-11-13,51,0,9,40,0,7,30,0,3,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,2,0,0
2014020254,2014-11-15,36,0,7,29,0,6,20,0,5,2,0,0,2,0,0,1,0,0,0,0,0,2,0,0,2,0,0
2014020384,2014-12-04,51,0,4,37,0,3,23,0,2,3,0,1,3,0,1,3,0,1,5,0,0,1,0,0,1,0,0
2014020388,2014-12-05,37,0,15,28,0,13,23,0,7,5,0,0,5,0,0,4,0,0,6,0,0,7,0,2,7,0,2
2014020513,2014-12-23,39,1,12,27,1,6,20,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,1
2014020535,2014-12-29,53,0,3,44,0,3,24,0,1,3,0,0,2,0,0,1,0,0,3,0,0,2,0,0,2,0,0
2014020554,2014-12-31,43,1,11,30,1,10,22,1,6,1,0,2,1,0,2,1,0,1,3,0,0,1,0,0,1,0,0
2014020563,2015-01-02,38,1,13,26,0,10,20,0,8,0,0,1,0,0,1,0,0,1,2,0,0,3,0,2,3,0,2
2014020580,2015-01-04,48,2,6,36,2,5,23,1,3,4,0,0,4,0,0,4,0,0,3,0,0,4,0,0,4,0,0
2014020589,2015-01-06,83,0,9,62,0,9,45,0,9,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,4,0,0
2014020604,2015-01-08,57,3,13,38,3,7,30,3,5,2,0,0,1,0,0,1,0,0,1,0,0,4,0,2,4,0,2
2014020615,2015-01-10,64,0,20,42,0,16,31,0,9,3,0,0,3,0,0,2,0,0,7,0,0,8,0,4,8,0,4
2014020628,2015-01-12,63,2,10,49,2,7,30,2,6,1,0,1,1,0,1,1,0,1,3,0,0,4,0,0,4,0,0
2014020649,2015-01-15,55,0,6,38,0,6,26,0,6,1,0,1,1,0,1,1,0,1,1,0,0,4,0,0,4,0,0
2014020665,2015-01-17,44,1,6,34,1,6,24,1,6,1,0,1,1,0,1,0,0,1,2,0,0,3,0,1,3,0,1
2014020679,2015-01-19,48,0,8,42,0,6,26,0,4,2,0,1,2,0,1,2,0,0,3,0,0,2,0,1,2,0,1
2014020694,2015-01-21,48,2,4,34,2,3,20,2,2,2,0,0,2,0,0,2,0,0,2,1,0,2,0,0,2,0,0
2014020704,2015-01-27,75,0,5,56,0,4,38,0,1,3,0,1,2,0,1,2,0,1,4,0,0,4,0,1,4,0,1
2014020724,2015-01-30,55,1,5,34,1,2,21,1,1,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,2,0,0
2014020753,2015-02-03,55,3,9,37,2,6,25,1,6,1,0,1,1,0,1,0,0,1,3,1,0,3,0,0,2,1,0
2014020765,2015-02-05,41,1,5,29,1,3,23,1,3,0,0,1,0,0,1,0,0,1,2,0,0,4,0,1,4,0,1
2014020780,2015-02-07,53,0,13,39,0,11,22,0,7,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,2,0,0
2014020790,2015-02-08,45,3,10,31,3,6,23,2,4,3,0,2,3,0,2,3,0,2,7,1,2,3,0,0,3,0,0
2014020816,2015-02-12,45,1,5,28,1,5,24,1,5,5,0,0,4,0,0,3,0,0,5,0,0,4,0,0,4,0,0
2014020830,2015-02-14,55,0,4,33,0,3,23,0,2,1,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0
2014020842,2015-02-16,19,0,3,10,0,2,4,0,1,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,2,0,0
2014020856,2015-02-18,43,0,8,30,0,5,22,0,3,3,0,0,3,0,0,3,0,0,1,0,0,3,0,0,3,0,0
2014020870,2015-02-20,60,0,3,36,0,1,28,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,0,0,3,0,0
2014020889,2015-02-22,57,0,8,41,0,5,27,0,5,4,0,0,4,0,0,3,0,0,2,0,0,5,0,0,5,0,0
2014020900,2015-02-24,39,3,3,32,3,3,24,3,2,4,0,0,3,0,0,0,0,0,4,0,0,0,2,0,0,2,0
2014020921,2015-02-27,61,0,15,46,0,11,30,0,6,4,0,0,3,0,0,2,0,0,2,0,0,1,0,0,1,0,0
2014020930,2015-02-28,52,0,10,37,0,7,26,0,6,3,0,0,3,0,0,2,0,0,1,0,0,2,0,0,2,0,0
2014020954,2015-03-04,68,1,1,43,1,1,27,1,1,1,0,0,0,0,0,0,0,0,6,0,0,4,0,0,4,0,0
