gameId,gameDate,cA_ev,cA_pp,cA_sh,fA_ev,fA_pp,fA_sh,sA_ev,sA_pp,sA_sh,gA_ev,gA_pp,gA_sh,apA_ev,apA_pp,apA_sh,asA_ev,asA_pp,asA_sh,mD_ev,mD_pp,mD_sh,mC_ev,mC_pp,mC_sh,rsA_ev,rsA_pp,rsA_sh,rbA_ev,rbA_pp,rbA_sh,rgA_ev,rgA_pp,rgA_sh
2022020061,2022-10-20,40,3,20,28,3,17,23,3,17,2,0,1,2,0,1,2,0,1,0,0,0,0,0,0,11,0,1,2,0,4,2,0,4
2022020092,2022-10-24,50,2,13,35,2,9,23,2,7,3,0,1,2,0,1,2,0,1,0,0,0,0,0,0,2,0,0,4,0,2,4,0,2
2022020127,2022-10-29,26,1,3,22,0,2,15,0,2,3,0,1,3,0,1,3,0,1,0,0,0,0,0,0,1,0,0,4,0,1,4,0,1
2022020153,2022-11-01,52,1,5,38,1,5,29,1,2,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,5,0,0,5,0,0,5,0,0
2022020172,2022-11-03,54,2,1,42,2,1,28,2,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,4,0,0
2022020177,2022-11-05,40,1,15,31,1,11,23,1,6,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0
2022020204,2022-11-08,47,1,2,38,1,1,31,1,0,4,0,0,4,0,0,4,0,0,0,0,2,0,0,0,4,0,0,4,0,0,4,0,0
2022020262,2022-11-17,27,3,6,20,2,6,18,2,3,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,4,1,1,2,1,0,2,1,0
2022020339,2022-11-26,37,2,11,30,2,8,27,2,7,3,0,1,3,0,0,3,0,0,0,0,0,0,0,0,5,0,2,4,0,0,4,0,0
2022020350,2022-11-28,42,0,2,34,0,2,23,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,3,0,0
2022020393,2022-12-04,18,0,4,14,0,3,12,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2022020456,2022-12-13,63,0,10,44,0,6,33,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,5,0,1,5,0,1
2022020487,2022-12-17,57,0,13,43,0,10,32,0,6,3,0,2,3,0,2,1,0,2,0,0,0,0,0,0,2,0,0,7,0,1,7,0,1
2022020611,2023-01-04,46,2,3,33,1,3,23,1,3,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0
2022020677,2023-01-14,48,3,17,37,2,12,25,2,9,4,0,2,4,0,2,3,0,2,0,0,0,0,0,0,2,0,0,5,0,2,5,0,2
2022020729,2023-01-19,48,1,16,31,1,12,21,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,4,0,1
2022020837,2023-02-11,58,3,0,42,3,0,28,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0
2022020887,2023-02-18,66,2,4,50,2,3,33,2,1,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,5,0,0,5,0,0
2022021227,2023-04-03,36,0,12,24,0,10,21,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
2022021280,2023-04-10,13,0,2,10,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022021296,2023-04-12,29,1,4,19,1,4,14,1,3,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0
2022030233,2023-05-07,6,2,5,5,2,3,3,2,3,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022030236,2023-05-13,18,1,6,14,0,6,7,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2022030323,2023-05-23,21,0,8,10,0,5,8,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
