gameId,gameDate,cA_ev,cA_pp,cA_sh,fA_ev,fA_pp,fA_sh,sA_ev,sA_pp,sA_sh,gA_ev,gA_pp,gA_sh,apA_ev,apA_pp,apA_sh,asA_ev,asA_pp,asA_sh,rsA_ev,rsA_pp,rsA_sh,rbA_ev,rbA_pp,rbA_sh,rgA_ev,rgA_pp,rgA_sh
2022020018,2022-10-13,39,1,9,30,1,8,22,0,3,2,0,1,2,0,1,1,0,1,1,0,1,1,0,1,1,0,1
2022020055,2022-10-18,27,4,10,21,3,9,14,3,4,2,0,0,2,0,0,2,0,0,2,0,0,1,0,0,1,0,0
2022020068,2022-10-20,19,1,1,16,1,1,10,1,1,2,1,0,2,1,0,2,1,0,1,0,0,1,0,0,1,0,0
2022020085,2022-10-22,47,2,8,33,2,7,23,1,3,2,0,0,2,0,0,1,0,0,3,0,0,9,0,0,9,0,0
2022020104,2022-10-25,52,0,11,39,0,10,25,0,8,0,0,1,0,0,1,0,0,1,1,0,0,10,0,1,10,0,1
2022020137,2022-10-29,39,4,8,30,4,6,20,3,3,2,0,1,2,0,1,1,0,1,3,0,0,3,1,0,3,1,0
2022020169,2022-11-03,46,0,9,35,0,7,24,0,7,2,0,1,2,0,1,2,0,1,4,0,1,3,0,1,3,0,1
2022020187,2022-11-05,46,2,15,37,2,10,27,2,6,3,0,1,3,0,1,3,0,1,5,0,0,6,0,1,6,0,1
2022020193,2022-11-07,56,0,6,37,0,6,28,0,4,3,0,1,2,0,1,2,0,1,5,0,0,3,0,0,3,0,0
2022020197,2022-11-08,38,1,9,23,1,6,14,1,5,2,0,1,2,0,1,2,0,1,1,0,0,2,0,0,2,0,0
2022020236,2022-11-12,47,0,4,31,0,1,23,0,0,2,0,0,2,0,0,1,0,0,6,0,0,5,0,1,5,0,1
2022020246,2022-11-14,44,0,8,32,0,8,23,0,6,4,0,1,4,0,1,4,0,1,3,0,0,4,0,2,4,0,2
2022020260,2022-11-17,37,1,10,28,1,7,19,1,3,2,0,1,2,0,1,0,0,1,4,0,0,3,0,1,3,0,1
2022020275,2022-11-19,50,1,12,39,1,7,28,1,6,3,0,1,2,0,1,2,0,1,2,0,0,0,0,2,0,0,2
2022020292,2022-11-21,38,2,11,23,1,7,20,1,4,2,0,0,1,0,0,1,0,0,4,0,0,3,0,1,3,0,1
2022020319,2022-11-25,47,1,8,30,1,8,21,1,3,2,0,1,2,0,1,2,0,1,1,0,0,7,0,0,7,0,0
2022020372,2022-12-01,32,0,5,27,0,4,17,0,2,1,0,1,1,0,1,1,0,1,5,0,0,0,0,0,0,0,0
2022020424,2022-12-09,35,0,11,30,0,11,19,0,7,2,0,0,1,0,0,1,0,0,2,0,0,2,0,0,2,0,0
