gameId,gameDate,cA_ev,cA_pp,cA_sh,fA_ev,fA_pp,fA_sh,sA_ev,sA_pp,sA_sh,gA_ev,gA_pp,gA_sh,apA_ev,apA_pp,apA_sh,asA_ev,asA_pp,asA_sh,rsA_ev,rsA_pp,rsA_sh,rbA_ev,rbA_pp,rbA_sh,rgA_ev,rgA_pp,rgA_sh
2018020048,2018-10-11,56,2,4,48,2,4,33,1,2,5,0,1,5,0,1,2,0,1,0,1,0,3,0,0,3,0,0
2018020099,2018-10-19,25,1,10,19,1,7,13,0,6,0,0,1,0,0,1,0,0,1,4,0,0,2,0,1,2,0,1
2018020151,2018-10-27,47,0,7,36,0,5,26,0,4,2,0,1,2,0,1,2,0,1,4,0,0,3,0,1,3,0,1
2018020213,2018-11-05,61,1,11,41,0,9,27,0,6,1,0,1,1,0,1,1,0,1,6,0,0,3,0,2,3,0,2
2018020269,2018-11-13,42,0,20,28,0,14,16,0,12,1,0,1,0,0,1,0,0,1,5,0,0,2,0,2,2,0,2
2018020274,2018-11-14,46,2,7,31,1,6,17,0,6,1,0,1,1,0,1,0,0,1,3,1,0,1,0,0,1,0,0
2018020289,2018-11-16,45,1,3,29,1,1,25,0,1,2,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0
2018020311,2018-11-19,29,0,6,23,0,4,18,0,4,3,0,1,3,0,1,2,0,1,6,0,0,1,0,0,1,0,0
2018020347,2018-11-24,41,1,5,31,1,4,26,1,3,3,0,0,3,0,0,3,0,0,6,0,1,1,0,0,1,0,0
2018020436,2018-12-06,59,1,3,42,1,2,28,1,0,2,0,0,2,0,0,1,0,0,6,0,0,6,0,0,6,0,0
2018020500,2018-12-15,42,0,12,33,0,9,23,0,6,1,0,2,1,0,2,1,0,2,7,0,0,3,0,2,2,0,3
2018020553,2018-12-22,63,0,4,48,0,3,34,0,1,0,0,0,0,0,0,0,0,0,4,0,1,7,0,0,7,0,0
2018020589,2018-12-29,64,0,1,44,0,0,33,0,0,2,0,0,2,0,0,2,0,0,3,0,0,5,0,0,5,0,0
2018020632,2019-01-04,46,1,10,30,1,7,22,1,6,1,0,1,1,0,1,1,0,1,5,0,2,1,0,1,1,0,1
2018020661,2019-01-08,50,4,11,35,3,8,31,2,7,3,0,0,3,0,0,2,0,0,9,0,0,4,0,1,4,0,1
2018020692,2019-01-12,22,0,1,18,0,1,10,0,1,0,0,1,0,0,1,0,0,0,3,0,0,1,0,0,1,0,0
2018020709,2019-01-14,53,1,7,40,1,7,30,1,6,3,0,1,2,0,1,2,0,1,8,0,0,3,0,1,3,0,1
2018020716,2019-01-15,47,1,16,35,1,10,24,1,4,6,1,0,5,1,0,4,0,0,7,0,1,2,0,0,2,0,0
2018020751,2019-01-20,26,1,4,20,0,2,15,0,2,2,0,1,2,0,1,1,0,1,3,0,0,0,0,0,0,0,0
2018020827,2019-02-07,60,7,8,39,6,5,28,6,3,3,0,0,3,0,0,2,0,0,9,0,0,5,1,1,5,1,1
2018020861,2019-02-11,63,1,6,45,0,2,31,0,2,3,0,1,3,0,1,3,0,1,7,0,0,4,0,0,4,0,0
2018020914,2019-02-18,44,0,11,33,0,6,23,0,5,2,0,0,2,0,0,2,0,0,3,0,0,2,0,1,2,0,1
2018020956,2019-02-24,47,3,3,36,3,1,27,3,1,4,0,1,3,0,1,3,0,1,3,0,0,2,0,0,2,0,0
2018021061,2019-03-10,40,4,14,33,4,11,24,3,7,1,0,0,1,0,0,1,0,0,1,0,2,3,1,0,3,1,0
2018021122,2019-03-19,35,0,2,27,0,2,19,0,2,1,0,0,1,0,0,0,0,0,2,0,0,2,0,0,2,0,0
2018021221,2019-04-01,33,3,11,29,3,9,23,3,7,3,1,0,2,1,0,2,1,0,6,1,2,1,0,2,1,0,2
2018021265,2019-04-06,38,0,1,27,0,1,22,0,1,2,0,0,2,0,0,2,0,0,3,0,0,4,0,0,4,0,0
