gameId,gameDate,cA_ev,cA_pp,cA_sh,fA_ev,fA_pp,fA_sh,sA_ev,sA_pp,sA_sh,gA_ev,gA_pp,gA_sh,apA_ev,apA_pp,apA_sh,asA_ev,asA_pp,asA_sh,mD_ev,mD_pp,mD_sh,mC_ev,mC_pp,mC_sh,rsA_ev,rsA_pp,rsA_sh,rbA_ev,rbA_pp,rbA_sh,rgA_ev,rgA_pp,rgA_sh
2023020031,2023-10-14,53,1,14,36,0,13,26,0,11,1,0,2,1,0,2,1,0,2,0,0,0,0,0,0,2,0,2,7,0,0,7,0,0
2023020059,2023-10-19,45,2,5,36,2,2,21,1,2,1,0,2,1,0,2,1,0,2,0,0,0,0,0,0,3,0,0,4,1,0,4,1,0
2023020081,2023-10-22,32,3,20,25,2,14,14,1,10,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0
2023020100,2023-10-26,43,3,10,33,2,8,24,0,6,2,0,1,2,0,1,2,0,1,0,0,0,0,0,0,5,0,1,2,0,0,2,0,0
2023020132,2023-10-30,10,0,10,8,0,7,2,0,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
2023020175,2023-11-05,50,1,9,39,1,6,27,1,4,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,5,0,1,5,0,1
2023020187,2023-11-07,54,0,6,39,0,5,30,0,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,0,0,8,0,1,8,0,1
2023020226,2023-11-12,39,3,8,32,2,4,21,2,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,5,1,1,5,1,1
2023020234,2023-11-14,44,1,21,28,1,17,18,0,12,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,3,0,1,6,0,1,5,0,2
2023020253,2023-11-17,56,0,19,34,0,12,27,0,8,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,5,0,1,7,0,4,7,0,4
2023020271,2023-11-19,40,1,14,34,1,9,25,1,6,2,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1
2023020290,2023-11-22,42,0,9,29,0,9,22,0,6,4,0,0,4,0,0,3,0,0,0,0,0,0,0,0,4,0,1,3,0,0,3,0,0
2023020299,2023-11-24,48,0,11,38,0,9,26,0,5,3,0,2,3,0,2,3,0,2,0,0,0,0,0,0,3,0,1,5,0,1,5,0,1
