gameId,gameDate,cA_ev,cA_pp,cA_sh,fA_ev,fA_pp,fA_sh,sA_ev,sA_pp,sA_sh,gA_ev,gA_pp,gA_sh,apA_ev,apA_pp,apA_sh,asA_ev,asA_pp,asA_sh,rsA_ev,rsA_pp,rsA_sh,rbA_ev,rbA_pp,rbA_sh,rgA_ev,rgA_pp,rgA_sh
2022020451,2022-12-12,59,2,10,45,2,8,32,2,4,1,0,2,1,0,2,0,0,2,2,0,0,3,0,2,3,0,2
2022020454,2022-12-13,27,0,0,23,0,0,15,0,0,5,0,0,5,0,0,5,0,0,0,0,0,2,0,0,2,0,0
2022020469,2022-12-15,45,0,9,34,0,4,23,0,2,1,0,1,1,0,1,1,0,1,4,0,0,4,0,0,4,0,0
2022020486,2022-12-17,58,0,24,49,0,20,34,0,15,1,0,2,1,0,2,1,0,2,6,0,0,5,0,3,5,0,3
2022020516,2022-12-20,54,1,19,40,1,16,30,1,10,3,0,1,3,0,1,2,0,1,3,0,0,2,0,2,2,0,2
2022020524,2022-12-21,50,1,26,35,1,23,22,1,18,2,0,1,1,0,1,1,0,1,4,0,0,0,0,4,0,0,4
2022020544,2022-12-23,61,4,16,48,3,14,33,3,9,3,0,0,3,0,0,2,0,0,1,0,0,4,0,1,4,0,1
2022020868,2023-02-15,48,2,15,39,2,13,31,2,11,6,0,1,6,0,1,6,0,1,1,0,1,7,0,0,7,0,0
2022020908,2023-02-21,59,5,16,48,4,15,32,2,10,4,0,2,4,0,2,3,0,2,2,0,0,3,1,1,3,1,1
2022020957,2023-02-27,41,0,9,33,0,7,21,0,5,0,0,2,0,0,2,0,0,2,3,0,0,4,0,0,4,0,0
2022021024,2023-03-08,62,1,0,50,1,0,33,1,0,2,1,0,2,1,0,1,0,0,1,0,0,2,0,0,2,0,0
2022021094,2023-03-17,64,1,14,44,1,13,33,1,8,2,0,2,2,0,2,1,0,2,4,0,0,7,0,2,7,0,2
2022021146,2023-03-23,64,0,2,51,0,1,32,0,1,3,0,0,3,0,0,3,0,0,3,0,0,6,0,0,6,0,0
2022021198,2023-03-30,68,2,5,53,1,4,35,1,2,2,0,1,2,0,1,1,0,1,2,0,0,2,0,0,2,0,0
2022021213,2023-04-01,10,1,1,10,1,0,8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022021224,2023-04-02,75,0,5,60,0,3,39,0,2,4,0,1,4,0,1,4,0,1,4,0,0,5,0,0,5,0,0
2022021242,2023-04-05,47,2,3,38,2,3,27,2,3,2,0,0,2,0,0,0,0,0,4,0,0,3,0,0,3,0,0
2022021274,2023-04-09,54,2,24,42,2,21,34,2,10,2,0,3,2,0,3,2,0,3,1,1,0,1,0,4,1,0,4
2022021294,2023-04-11,53,3,8,40,2,8,29,2,5,1,0,2,1,0,2,1,0,2,4,0,1,1,0,0,1,0,0
