gameId,gameDate,cA_ev,cA_pp,cA_sh,fA_ev,fA_pp,fA_sh,sA_ev,sA_pp,sA_sh,gA_ev,gA_pp,gA_sh,apA_ev,apA_pp,apA_sh,asA_ev,asA_pp,asA_sh,mD_ev,mD_pp,mD_sh,mC_ev,mC_pp,mC_sh,rsA_ev,rsA_pp,rsA_sh,rbA_ev,rbA_pp,rbA_sh,rgA_ev,rgA_pp,rgA_sh
2018020013,2018-10-04,34,2,13,21,1,10,13,1,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,3,3,0,3
2018020026,2018-10-06,52,1,11,39,1,7,30,1,6,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,5,0,0
2018020046,2018-10-11,38,0,20,32,0,16,18,0,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,2,0,2
2018020070,2018-10-13,58,1,18,42,1,15,28,1,12,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,1,9,0,2
2018020079,2018-10-16,57,0,19,36,0,17,29,0,14,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,8,0,0,4,0,1,4,0,1
2018020118,2018-10-22,63,1,12,44,1,9,30,1,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,6,0,1,6,0,1
2018020132,2018-10-24,37,1,12,22,1,10,15,1,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0
2018020156,2018-10-27,28,0,25,26,0,12,18,0,9,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,2,0,3,1,0,4
2018020187,2018-11-01,62,0,10,50,0,8,31,0,6,5,0,1,5,0,1,5,0,1,0,0,0,0,0,0,4,0,0,4,0,1,4,0,1
2018020225,2018-11-07,51,1,9,39,1,4,29,0,4,2,0,1,2,0,1,2,0,1,0,0,0,0,0,0,5,1,0,5,0,1,5,0,1
2018020240,2018-11-09,41,2,8,29,2,6,16,2,5,2,0,2,2,0,2,1,0,2,0,0,0,0,0,0,4,0,0,3,0,1,3,0,1
