seasonId,playerId,mP_ev,mP_pp,mP_sh,Offense_ev,Defense_ev,Offense_pp,Defense_pp,Offense_sh,Defense_sh,xOffense_ev,xDefense_ev,xOffense_pp,xDefense_pp,xOffense_sh,xDefense_sh
20162017,8448208,16.15,3.4,0,1.2989656351056541e-39,-3.833874732482808e-40,4.870975895895765e-41,2.4097092688193755e-40,-1.838994736696243e-40,3.334604031005538e-41,5.050762069724396e-40,-9.960358584475278e-4,0.06772388261946134,-5.350871586061284e-40,-1.7796900031545718e-40,1.3725477387192105e-39
20162017,8462038,12.683333333333334,3.35,0,-1.2129773736159845e-39,9.077846529969047e-40,-5.898369396777059e-39,-4.636402574104216e-40,-3.766615725763391e-41,2.966128001088186e-40,-5.971300626624147e-40,-0.00167782655537164,-0.0325022700559854,2.5599196774915212e-40,-3.6451481992322535e-41,3.085422899227842e-40
20162017,8462042,12.983333333333333,1.3833333333333333,0,-2.151527707422285e-39,-2.121170381245363e-39,-2.7762201078918657e-39,7.568698466688752e-40,-1.3357242321614713e-40,1.0518537953438777e-39,-8.208539260436812e-40,-0.002178366603736995,0.057913670829691725,-1.766752949333229e-39,-9.484375450390024e-41,9.603993999323004e-40
20162017,8464989,15.133333333333333,0,3.8333333333333335,3.5194967546828954e-40,-5.0454603577782514e-40,2.6198745911121394e-40,8.650555276059955e-40,1.1941088389232416e-39,-1.294163363966396e-38,1.126609579867362e-39,8.328817551182099e-7,-0.03658553012693924,5.639817519677933e-40,-5.048777051833813e-40,-4.994575724995707e-39
20162017,8465009,19.966666666666665,0.21666666666666667,2.316666666666667,2.6012045746602988e-39,-1.2278373318743744e-39,-1.3931221162424104e-40,9.16015622719264e-40,3.816715430611184e-39,1.2563565607012784e-38,1.1415832582077927e-39,8.413046325634034e-4,-0.016099965187906618,6.466105322895599e-40,3.4484801592439427e-40,5.273861722696986e-41
20162017,8465058,13.766666666666667,0,2.8833333333333333,-6.836943465520008e-40,2.259052656233328e-40,-6.455690355309578e-40,8.197928344308554e-41,-5.352392598542764e-40,1.3852481416080502e-39,-1.8260683056819991e-40,-7.428028382937541e-5,-0.0036322395461001406,7.067359959564129e-41,-7.554673620531656e-41,1.2774920811677395e-39
20162017,8465978,8.816666666666666,0.16666666666666666,0,-1.3722735158410346e-39,3.0409899367415048e-40,-1.8644233149697148e-39,2.3675870276227025e-40,-3.0702665999920074e-41,2.4177682025676798e-40,-8.602128795302903e-40,-2.833742792710742e-4,-0.013471487781153335,2.291236010945988e-40,-2.971255254836374e-41,2.5150085817235345e-40
20162017,8466138,14,3.1166666666666667,0,1.3430765135592727e-39,3.0290729226802703e-41,6.528316541512881e-39,1.0351254525912034e-39,1.223326327104692e-39,1.5079894459313886e-39,1.3463955030829906e-39,9.831542515135615e-5,0.09811475209859968,-1.512980484376308e-39,1.151382071237822e-39,1.568639373136843e-39
20162017,8466139,14.733333333333333,2.8333333333333335,0,8.053336878931804e-40,4.15437194583299e-40,5.2107034418315e-39,-1.8068635916583904e-39,1.0907034708782316e-39,2.552365607659076e-39,5.424960895687191e-40,-2.707338390592482e-4,0.06581564953991366,-1.1029826943409276e-39,-2.443318815091837e-40,1.9645385802865582e-39
20162017,8466148,12.533333333333331,2.6166666666666667,1.8,2.705450135729325e-40,1.872440673557481e-40,-4.395701379304125e-39,-1.15465694524723e-40,-8.805975997145733e-40,-5.976046728894214e-39,2.8383383142577707e-40,-4.7658132102139985e-4,-0.04519668698690158,8.723186507928921e-41,-6.717145923167448e-40,1.0276266707188135e-39
20162017,8466251,14.466666666666669,0.01666666666666666,0.8666666666666667,1.2773978905139821e-39,-1.277397890513991e-39,-2.3155738764797648e-39,2.940492444734612e-40,-5.080508174268817e-40,9.93984705863886e-40,-9.486390255451985e-41,-0.0011495823579506128,-0.008400681943911567,-2.0239840837284448e-41,-9.92685325131598e-41,1.98406965742371e-42
20162017,8466285,12.25,3.1333333333333333,1.85,8.003104203321563e-40,1.0308459033825242e-39,-4.787030871884661e-39,-1.480594025422861e-39,-3.1905450853525192e-40,-3.1715977834424363e-40,-4.339893768484434e-41,-3.624157945744006e-4,-0.07899375709508619,-2.057189908674752e-40,-2.8015917186598426e-40,1.6842635768174535e-39
20162017,8467370,13.283333333333331,5.466666666666667,1.15,-1.122147833487126e-40,-8.033633785086488e-40,5.727332840110507e-39,4.1236529138861904e-39,-1.841559393279085e-39,-6.897615529462159e-39,2.4816417929464253e-40,1.5166085920390916e-4,-0.035880506168844924,9.546662565362401e-40,-7.250612541966189e-40,-1.2251922484278748e-38
20162017,8467371,11.333333333333334,1.7,0,3.689728821538142e-40,-8.267619630824769e-40,-2.807007546826824e-39,-4.968751020495077e-40,-9.337408731934457e-41,-6.795216977666009e-40,3.4761437666104017e-40,-9.113133954683272e-4,-0.020888408660313242,-7.649612668959507e-41,-9.036291754399287e-41,-1.7477791374832186e-40
20162017,8467400,18.783333333333335,1.2,3.716666666666667,-1.2451591362406889e-39,-1.3489789890217892e-39,-7.831304658143676e-39,4.779811960867555e-40,8.032037615015782e-40,-1.8352275154483927e-38,-1.056900577389707e-39,7.103887539191382e-5,-0.05949209994716208,1.0406570355042596e-39,-4.912654460576406e-40,-1.1766099673794778e-39
20162017,8467407,9.816666666666666,4.716666666666667,1.3333333333333333,-1.7087730175288598e-39,-1.2238330618580811e-40,-3.7551174328506226e-39,1.2180104033838049e-39,-1.3300433444369424e-40,6.930594954395666e-40,-7.728552352035168e-40,3.9821799469421743e-4,-0.05390892306934795,6.166122236928681e-40,6.429276776728241e-40,-2.0574319736039444e-39
20162017,8467493,5.816666666666666,0,0,-1.5578362661916207e-39,-2.733200575230489e-40,-5.034939968233725e-40,-1.350884826052814e-39,-1.9940906783453248e-41,1.5703030593996271e-40,-7.960148609836136e-40,2.649576001756786e-4,-0.0027828791968798876,-3.894745769474734e-41,-1.9297843407700167e-41,1.6334591819441512e-40
20162017,8467496,15.933333333333334,2.6166666666666667,4.033333333333333,5.2507076957086434e-40,1.7638746350725462e-39,-5.266878724008291e-39,3.5434674831866604e-39,4.478141409156189e-40,3.193351950329928e-39,1.068844949973444e-39,1.0898462423169652e-4,-0.0575138424057218,1.0089176996594958e-39,-3.0277691393895343e-40,4.244549218036162e-41
20162017,8467875,17.283333333333335,4.633333333333334,0.38333333333333336,-6.513873944451254e-40,-1.179768929269607e-39,-9.584302204468852e-39,-1.0285676603875898e-39,-4.450303958338926e-40,-7.399493886216996e-40,-1.0411497241088232e-39,-0.0017944329339417454,-0.02615504569349988,-3.54038185924978e-40,-3.4724729285583785e-40,2.066589125748388e-39
20162017,8467876,16.783333333333335,4.633333333333334,0.38333333333333336,-9.134007615420316e-40,-2.5963155255777644e-39,-1.0616215643502899e-38,-8.975274158106105e-40,-5.320740365553152e-40,-5.449964047106854e-41,-1.287395841584695e-39,-0.0018380734603264236,-0.02627982597865645,-4.961232023855241e-40,-4.31483910905323e-40,3.019020136290283e-39
20162017,8467967,10.066666666666666,0,3.566666666666667,-2.8269651199574786e-39,2.328269946949652e-40,-1.32104860552667e-39,-1.2470655018468986e-39,-1.9662691912581474e-39,3.98820337564005e-39,-1.2609182114431434e-39,6.406831078032849e-4,-0.014029152126118298,4.561169738266682e-41,-1.8928499742421758e-39,5.039552952393679e-40
20162017,8468001,10.8,0,0.85,-1.851726522730134e-39,-1.3202616129410417e-40,-3.2153824549611356e-39,4.083138055659474e-40,4.8793133700159903e-39,1.0032287542678259e-38,-1.0664259068230847e-39,-6.801273207572238e-4,-0.01908423525552547,3.951463173957657e-40,2.147341075530147e-39,-1.1372325312833357e-40
20162017,8468083,14.083333333333334,1.3833333333333333,0.35,2.4735084322288247e-39,2.732260533431258e-40,-7.69683936672502e-39,5.059001170049583e-40,-2.81704873607514e-40,2.2183646394693134e-39,8.49104206945943e-40,1.8558708137337936e-4,0.00991718733780136,8.084925270114964e-40,-1.793826067095463e-40,2.1539172620415385e-39
20162017,8468085,12.883333333333333,5.933333333333334,0,1.1270664031331707e-40,-2.5542484052661166e-39,6.237361509243478e-39,-5.916490437007571e-42,-5.406201394625101e-40,2.8424437354582765e-39,-4.981242316291742e-40,-0.003549573178203791,0.030698960225267694,7.671806562132718e-40,-2.5963268775987336e-40,2.5921832739133677e-39
20162017,8468208,14.683333333333334,0,0,-8.028757478895158e-40,4.976830272704193e-40,-7.942862540460888e-39,-1.978167128019511e-39,1.9753184270504424e-39,6.550473104617651e-39,1.790719199875447e-40,-7.023978854337653e-4,-0.026605988965563664,-1.9317639074805576e-39,-4.045476040285177e-40,-1.5166524066217423e-39
20162017,8468309,18.983333333333334,1.8666666666666667,1.2166666666666666,-9.925640516339741e-40,-3.808031911520459e-40,4.867134691704158e-39,5.049180720715942e-40,-8.59674647997762e-40,2.5252839571140294e-39,1.0234096578207413e-39,-0.0010276425544057338,-0.04754636779901286,1.3842747223915385e-39,-2.0994599704142135e-40,-9.814724278619437e-40
20162017,8468483,11.816666666666666,0,0,-7.1896287811740364e-40,2.6117379718874146e-40,2.4622316080474587e-39,2.4881902924199097e-40,-1.3832025816458836e-40,1.0892419634248206e-39,8.27492880400885e-40,2.8505621983471337e-4,-0.020279511615537385,-3.384062246584282e-40,-1.338596439549997e-40,8.742596901543518e-40
20162017,8468486,11.55,1.6666666666666667,0,1.2599683783527334e-39,5.7118794536197955e-40,-1.066532779867918e-38,2.2526894218704283e-39,-1.022367125564349e-40,8.050918860096501e-40,3.7903941488921184e-40,-5.790492169904814e-5,-0.06521823009847005,3.5824464533069988e-40,-9.893973683630404e-41,7.415848173797882e-40
