playerId,mP_2_all,x_2_all,y_2_all,CorsiA_2_all,FenwickA_2_all,SOGA_2_all,GA_2_all,xGA_2_all,mP_3_all,x_3_all,y_3_all,CorsiA_3_all,FenwickA_3_all,SOGA_3_all,GA_3_all,xGA_3_all
8466141,2346.633333333333,57.50147841513897,-0.3601419278533412,1691,1691,1205,122,110.20650631294832,0,NA,NA,0,0,0,0,0
8467950,2785.1833333333334,58.34969325153374,-0.24233128834355827,2282,2282,1676,163,141.7068432287348,0,NA,NA,0,0,0,0,0
8468011,1108.8,59.26076260762608,-0.3370233702337023,813,813,578,51,55.44327217251795,0,NA,NA,0,0,0,0,0
8468685,3088.883333333333,57.87984496124031,-0.6317829457364341,2322,2322,1699,158,158.63498141285322,0,NA,NA,0,0,0,0,0
8469514,71.75,55.90909090909091,3.5681818181818183,44,44,33,6,3.055199259990119,0,NA,NA,0,0,0,0,0
8469608,2400.3166666666666,58.128580946035974,0.30646235842771485,1501,1501,1069,109,101.1211241642344,318.53333333333336,58.558052434456926,-1.2621722846441947,267,267,205,17,17.780492115443245
8470093,511.25,55.10243902439024,-1.7097560975609756,410,410,316,34,24.38329910825741,0,NA,NA,0,0,0,0,0
8470147,1977.5166666666667,58.21847507331378,0.32404692082111436,1364,1364,968,85,90.96891228864573,268.4166666666667,61.32432432432432,-2.172972972972973,185,185,128,9,13.792299309794538
8470320,1882.05,61.80835044490075,-0.055441478439425054,1461,1461,1113,115,106.25627539188038,0,NA,NA,0,0,0,0,0
8470594,3635.133333333333,58.96969696969697,0.5648148148148148,2376,2376,1745,152,159.46769978634444,466.53333333333336,59.01286173633441,0.6463022508038585,311,311,230,21,21.376917201354196
8470645,2212.85,60.891857506361326,0.383587786259542,1572,1572,1176,108,113.43764498609686,0,NA,NA,0,0,0,0,0
8470657,3052.7166666666667,59.56998313659359,-0.6184654300168634,2372,2372,1709,156,163.1338175405398,0,NA,NA,0,0,0,0,0
8470860,2308.116666666667,57.65809284818068,0.08155583437892096,1594,1594,1158,90,103.26643138533169,0,NA,NA,0,0,0,0,0
8470880,1396.7166666666667,57.429417571569594,0.4116485686080948,1013,1013,741,69,65.6474460402187,0,NA,NA,0,0,0,0,0
8471227,3855.266666666667,54.86162570888469,-0.9342155009451796,2645,2645,1877,163,153.36938253462446,0,NA,NA,0,0,0,0,0
8471239,1371.7833333333333,59.003006012024045,-0.36108324974924777,998,998,720,70,67.49436692569904,0,NA,NA,0,0,0,0,0
8471306,2293.7,56.813308687615525,0.9254467036352434,1623,1623,1185,87,104.15665942165141,36.45,56.411764705882355,-2.9411764705882355,17,17,10,2,1.1873471153200144
8471418,2219.5,57.31454005934718,-0.6482799525504152,1686,1686,1232,95,107.93302289947515,11.083333333333334,57.833333333333336,-0.6666666666666666,6,6,5,0,0.3417393035367687
8471469,3219.733333333333,58.65582907570831,0.14537854156990246,2153,2153,1582,130,144.06378646320255,329.6333333333333,63.370370370370374,-1.0164609053497942,243,243,179,17,17.52003138101915
8471679,3880.25,58.05988700564972,-0.23879472693032014,2655,2655,1952,161,166.60489213084534,0,NA,NA,0,0,0,0,0
