playerId,mP_2_all,x_2_all,y_2_all,CorsiA_2_all,FenwickA_2_all,SOGA_2_all,GA_2_all,xGA_2_all,mP_3_all,x_3_all,y_3_all,CorsiA_3_all,FenwickA_3_all,SOGA_3_all,GA_3_all,xGA_3_all
8467950,1490.0333333333333,59.399817850637525,0.9262295081967213,1098,1098,823,76,81.70866091796357,0,NA,NA,0,0,0,0,0
8470594,2654.2833333333333,59.765539803707746,-0.44711014176663033,1834,1834,1367,126,131.31283654870163,76.68333333333334,60.8235294117647,3.5294117647058822,51,51,37,7,4.299963193557311
8470860,1453.9333333333334,61.10695742471444,0.553478712357217,963,963,680,66,68.30023790059646,0,NA,NA,0,0,0,0,0
8470880,1324.7333333333333,60.02534318901795,-1.1288278775079197,947,947,689,75,66.13698228955158,0,NA,NA,0,0,0,0,0
8471306,1089.35,58.28865979381443,-0.27033218785796104,873,873,627,66,60.425854632092225,0,NA,NA,0,0,0,0,0
8471418,60,63.26190476190476,-0.6428571428571429,42,42,28,6,3.2744910542642867,0,NA,NA,0,0,0,0,0
8471734,2234.75,59.393959290873276,1.3532501641497046,1523,1523,1080,127,110.22742209429516,0,NA,NA,0,0,0,0,0
8471774,1475.3333333333333,59.9464609800363,0.5317604355716878,1102,1102,804,74,70.84076931287427,0,NA,NA,0,0,0,0,0
8473503,2538,60.53639240506329,0.3370253164556962,1896,1896,1335,147,136.56540021023284,0,NA,NA,0,0,0,0,0
8473575,1334.7333333333333,57.64771573604061,0.4588832487309645,985,985,689,60,66.0115387505406,0,NA,NA,0,0,0,0,0
8474593,3410.8333333333335,60.01434521055067,-0.1064322073114299,2161,2161,1542,166,162.46591344404348,0,NA,NA,0,0,0,0,0
8474596,2450.4166666666665,60.8803324099723,0.42770083102493073,1805,1805,1335,145,137.54607562581185,0,NA,NA,0,0,0,0,0
8474636,755.45,62.41626794258373,0.20414673046251994,627,627,433,54,48.65412613155354,0,NA,NA,0,0,0,0,0
8474682,209.4,60.679245283018865,-0.5094339622641509,159,159,117,12,12.730358648928732,0,NA,NA,0,0,0,0,0
8474889,2625.65,59.362028301886795,0.9410377358490566,1696,1696,1147,131,117.95545362879272,18.25,63.25,12,4,4,2,0,0.13080844917075915
8475311,3223.7833333333333,59.68658587547012,0.17007939824488091,2393,2393,1675,154,165.70105060038705,0,NA,NA,0,0,0,0,0
8475660,1947,59.5811232449298,-0.24414976599063962,1282,1282,935,95,90.64259298367048,0,NA,NA,0,0,0,0,0
8475683,2834.366666666667,58.989098116947474,-0.13676907829534193,2018,2018,1466,145,141.0409397555288,1164.35,61.7209797657082,-0.9233226837060703,939,939,639,54,69.05635420181959
8475789,2026.3833333333334,60.34425036390102,0.2787481804949054,1374,1374,1027,115,96.1151591850386,118.26666666666667,64.19402985074628,1.2835820895522387,67,67,51,2,5.740374236301817
8475809,1126.7666666666667,58.97181372549019,-0.17769607843137256,816,816,603,51,55.095702107131594,105.35,56.75555555555555,3.8222222222222224,45,45,29,4,2.6336239670453336
8475831,2065.616666666667,60.416791604197904,0.4572713643178411,1334,1334,930,98,95.6530800140041,822.7,59.368,0.5472,625,625,422,41,41.35077604475502
8475852,2165.1666666666665,61.99112950916617,-0.06564163217031342,1691,1691,1248,132,127.08254022652532,0,NA,NA,0,0,0,0,0
8475883,1984.35,60.81739130434783,1.4,1150,1150,849,82,73.97176120307918,590.3,61.64769647696477,0.5474254742547425,369,369,245,18,22.681732181610847
8476234,87.85,59.13559322033898,-2.9152542372881354,59,59,40,2,4.240263018746983,0,NA,NA,0,0,0,0,0
8476316,636.0333333333333,60.67377398720682,-0.20042643923240938,469,469,317,23,31.532839829975504,433.3666666666667,62.94285714285714,1,315,315,216,23,21.13317051309802
8476341,1471.7166666666667,60.270557029177716,0.7038019451812555,1131,1131,817,80,82.85964066136098,0,NA,NA,0,0,0,0,0
8476412,3516.05,61.54939945757458,0.1336691204959318,2581,2581,1826,194,186.09025145381847,0,NA,NA,0,0,0,0,0
8476433,936.35,60.954828660436135,0.559190031152648,642,642,447,50,45.82700472912548,0,NA,NA,0,0,0,0,0
8476434,3004.9166666666665,62.3309243058197,0.4400912894636744,2629,2629,1983,200,193.28420152862674,0,NA,NA,0,0,0,0,0
8476883,3596.4166666666665,59.9641591177629,-0.14021268215833005,2539,2539,1875,159,174.283891364224,387.81666666666666,61.48046875,1.46484375,256,256,184,23,17.876871353907394
8476899,1473.1666666666667,60.060402684563755,-0.4074784276126558,1043,1043,761,74,71.57615029434868,0,NA,NA,0,0,0,0,0
8476903,118.15,61.94949494949495,-1.2121212121212122,99,99,66,9,7.430543668037277,0,NA,NA,0,0,0,0,0
8476914,2171.95,59.140878988561106,0.4105960264900662,1661,1661,1207,104,121.3918836139743,350.25,62.9375,-0.041666666666666664,288,288,203,22,22.74568236850523
8476932,820.05,61.826530612244895,1.3658892128279883,686,686,495,51,44.172087229866825,0,NA,NA,0,0,0,0,0
8476945,3778,59.436194029850746,0.5212686567164179,2680,2680,1964,157,187.20104863532092,314.03333333333336,63.38755980861244,0.06220095693779904,209,209,158,18,14.671819094444988
8476999,2882.2,57.414085914085916,-0.477022977022977,2002,2002,1457,91,122.32508342553713,359.85,57.66538461538462,1.0038461538461538,260,260,192,20,17.101719278578745
8477180,199.28333333333333,62.54961832061068,1.4198473282442747,131,131,103,9,11.960664094072222,0,NA,NA,0,0,0,0,0
8477293,1561.2166666666667,60.453527435610305,-0.015677491601343786,893,893,644,58,62.34300576856974,363.18333333333334,61.57676348547718,-2.070539419087137,241,241,165,15,14.629460286341534
