playerId,iFenwickA_2,iFenwickA_3,iSOGA_2,iSOGA_3,iGA_2,iGA_3,ixGA_2,ixGA_3,iGSaX_2,iGSaX_3,d_2,d_3,a_2,a_3,gamesPlayed_2,minsPlayed_2,gamesPlayed_3,minsPlayed_3,iFenwickA_2_per82,iSOGA_2_per82,iGA_2_per82,ixGA_2_per82,iGSaX_2_per82,iFenwickA_3_per82,iSOGA_3_per82,iGA_3_per82,ixGA_3_per82,iGSaX_3_per82,iFenwickA_2_per60,iSOGA_2_per60,iGA_2_per60,ixGA_2_per60,iGSaX_2_per60,iFenwickA_3_per60,iSOGA_3_per60,iGA_3_per60,ixGA_3_per60,iGSaX_3_per60,iFenwickA_2_pct,iSOGA_2_pct,iGA_2_pct,ixGA_2_pct,iGSaX_2_pct,iFenwickA_3_pct,iSOGA_3_pct,iGA_3_pct,ixGA_3_pct,iGSaX_3_pct
8471734,416,0,278,0,21,0,28.205088913440704,0,7.205088913440704,0,36.58348595223095,NA,33.35376580677932,NA,11,644.55,0,0,3101.0909090909095,2072.3636363636365,156.54545454545456,210.25611735473979,53.71066280928525,0,0,0,0,0,38.724691645333955,25.87851989760298,1.954852222480801,2.6255609879861024,0.6707087655053018,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8474593,775,0,525,0,61,0,55.466605961322784,0,-5.533394038677216,0,35.15275705880734,NA,31.072226701767683,NA,22,1223.7166666666667,0,0,2888.6363636363635,1956.8181818181818,227.36363636363637,206.7391676740213,-20.624468689615078,0,0,0,0,0,37.998992141427074,25.74125274096673,2.9908884137123244,2.7195808052076598,-0.27130760850466445,0,0,0,0,0,49.152542372881356,52.54237288135594,66.10169491525424,49.152542372881356,8.47457627118644,NA,NA,NA,NA,NA
8474596,882,0,592,0,52,0,64.41676872968674,0,12.416768729686737,0,35.05113364128412,NA,33.15658211843264,NA,22,1294.4333333333334,0,0,3287.4545454545455,2206.5454545454545,193.81818181818184,240.098865265196,46.2806834470142,0,0,0,0,0,40.88275435840651,27.440578889089178,2.4103211186362117,2.9858672704513203,0.5755461518151089,0,0,0,0,0,61.016949152542374,62.71186440677966,47.45762711864407,66.10169491525424,86.4406779661017,NA,NA,NA,NA,NA
8475311,876,0,588,0,49,0,61.43230536580086,0,12.432305365800858,0,35.50335722835116,NA,32.521560263926055,NA,26,1527.5333333333333,0,0,2762.769230769231,1854.4615384615386,154.53846153846155,193.74803999983345,39.20957846137193,0,0,0,0,0,34.408414437219044,23.096059005804566,1.9246715838170472,2.413000254406702,0.48832867058965523,0,0,0,0,0,59.32203389830508,59.32203389830508,37.28813559322034,61.016949152542374,88.13559322033898,NA,NA,NA,NA,NA
8475660,784,0,504,0,56,0,54.99981027841568,0,-1.00018972158432,0,34.72153595443627,NA,33.427417613955676,NA,21,1202.3833333333334,0,0,3061.3333333333335,1968,218.66666666666666,214.7611639442898,-3.905502722376869,0,0,0,0,0,39.122298767725205,25.150049207823347,2.7944499119803723,2.744539553418855,-0.04991035856151743,0,0,0,0,0,50.847457627118644,49.152542372881356,62.71186440677966,47.45762711864407,23.728813559322035,NA,NA,NA,NA,NA
8475683,1031,0,661,0,74,0,72.96064892411232,0,-1.03935107588768,0,37.035323765148064,NA,32.317172214178605,NA,29,1702.6,0,0,2915.2413793103447,1869.0344827586207,209.24137931034485,206.30252454404172,-2.9388547663030953,0,0,0,0,0,36.33266768471749,23.293785974392105,2.607776342065077,2.571149380621837,-0.03662696144324022,0,0,0,0,0,77.96610169491525,74.57627118644068,83.05084745762711,77.96610169491525,22.033898305084744,NA,NA,NA,NA,NA
8475717,538,0,366,0,46,0,48.34535512328148,0,2.345355123281479,0,32.44359390798045,NA,33.8642590047443,NA,15,804.1333333333333,0,0,2941.0666666666666,2000.8,251.4666666666667,264.2879413406054,12.82127467393875,0,0,0,0,0,40.142596584314376,27.30890399602056,3.4322666224506717,3.6072641030470347,0.17499748059636305,0,0,0,0,0,11.864406779661017,13.559322033898304,32.20338983050847,38.983050847457626,38.983050847457626,NA,NA,NA,NA,NA
8475809,911,0,604,0,49,0,58.77492243051529,0,9.77492243051529,0,36.946422761272125,NA,34.25940575255336,NA,27,1553.7333333333333,0,0,2766.740740740741,1834.3703703703704,148.8148148148148,178.50161627045384,29.686801455639028,0,0,0,0,0,35.17978203037844,23.32446580279756,1.8922165965845708,2.269691503795751,0.37747490721118,0,0,0,0,0,66.10169491525424,66.10169491525424,37.28813559322034,55.932203389830505,67.79661016949152,NA,NA,NA,NA,NA
8475831,488,0,313,0,26,0,36.059707283973694,0,10.059707283973694,0,32.48204365210534,NA,36.52445830463567,NA,14,758.55,0,0,2858.285714285714,1833.2857142857142,152.28571428571428,211.2068569489888,58.921142663274495,0,0,0,0,0,38.599960450860195,24.75776151868697,2.056555269922879,2.8522608094897133,0.7957055395668337,0,0,0,0,0,1.694915254237288,1.694915254237288,0,3.389830508474576,69.49152542372882,NA,NA,NA,NA,NA
8475852,332,0,223,0,30,0,25.799898624420166,0,-4.200101375579834,0,33.23810845897887,NA,32.1792639141994,NA,10,515.8833333333333,0,0,2722.4,1828.6000000000001,246,211.55916872024537,-34.44083127975464,0,0,0,0,0,38.61338157852228,25.93609666268213,3.489160986011049,3.000666657445566,-0.4884943285654832,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8475883,616,0,401,0,54,0,47.97575327754021,0,-6.024246722459793,0,33.728755868760324,NA,33.98025525451562,NA,17,1015.8666666666667,0,0,2971.2941176470586,1934.235294117647,260.4705882352941,231.41245698578217,-29.058131249511945,0,0,0,0,0,36.3827273920462,23.68421052631579,3.1893949337183356,2.833585637864955,-0.3558092958533806,0,0,0,0,0,27.11864406779661,27.11864406779661,50.847457627118644,37.28813559322034,6.779661016949152,NA,NA,NA,NA,NA
8476341,624,0,403,0,40,0,42.633894205093384,0,2.633894205093384,0,35.2759416769782,NA,34.01374416302612,NA,15,888.85,0,0,3411.2000000000003,2203.0666666666666,218.66666666666666,233.06528832117718,14.398621654510498,0,0,0,0,0,42.121842830623834,27.203690161444563,2.7001181301681947,2.8779137675711346,0.1777956374029398,0,0,0,0,0,30.508474576271187,28.8135593220339,22.033898305084744,18.64406779661017,42.3728813559322,NA,NA,NA,NA,NA
