playerId,playerFullName,gamesPlayed_20242025_2,timeOnIce_20242025_2,iFenwickA_20242025_2,iFenwickAper82_20242025_2,iFenwickAper60_20242025_2,iSOGA_20242025_2,iSOGAper82_20242025_2,iSOGAper60_20242025_2,iGA_20242025_2,iGAper82_20242025_2,iGAper60_20242025_2,ixGA_20242025_2,ixGAper82_20242025_2,ixGAper60_20242025_2,iGSaX_20242025_2,iGSaXper82_20242025_2,iGSaXper60_20242025_2,gamesPlayed_20242025_3,timeOnIce_20242025_3,iFenwickA_20242025_3,iFenwickAper82_20242025_3,iFenwickAper60_20242025_3,iSOGA_20242025_3,iSOGAper82_20242025_3,iSOGAper60_20242025_3,iGA_20242025_3,iGAper82_20242025_3,iGAper60_20242025_3,ixGA_20242025_3,ixGAper82_20242025_3,ixGAper60_20242025_3,iGSaX_20242025_3,iGSaXper82_20242025_3,iGSaXper60_20242025_3
8479406,Filip Gustavsson,58,3423.5833333333335,2664,3766.344827586207,46.687924445634444,1751,2475.551724137931,30.687145534649368,146,206.41379310344826,2.5587225859844702,160.48444520449266,226.89180184083443,2.8125696893419345,14.484445204492658,20.478008737386173,0.2538471033574645,6,354.23333333333335,293,4004.3333333333335,49.628305260186316,1751,23930.333333333332,296.58417239107933,16,218.66666666666666,2.710078102945328,17.22911396389827,235.4645575066097,2.918265280419393,1.2291139638982713,16.797890839943044,0.20818717747406495
8479496,David Rittich,34,1860.4666666666667,1167,2814.529411764706,37.63571863690113,773,1864.2941176470588,24.929229225642313,88,212.23529411764707,2.8379976350019707,75.92290250124643,183.10817662065315,2.448511565238893,-12.077097498753574,-29.12711749699391,-0.3894860697630779,0,0,0,0,0,773,Inf,Inf,0,0,0,0,0,0,0,0,0
8479973,Stuart Skinner,51,2942.45,2059,3310.5490196078435,41.985420313004475,1400,2250.9803921568628,28.547638872368264,138,221.8823529411765,2.813981545990586,149.1477117674076,239.80612480249852,3.041296438697159,11.1477117674076,17.923771861322024,0.2273148927065731,15,881.4833333333333,635,3471.3333333333335,43.22259827185237,1400,7653.333333333333,95.29391744975325,44,240.5333333333333,2.9949516912779592,45.62246899760794,249.40283052025674,3.1053884246514127,1.622468997607939,8.869497186923399,0.11043673337345346
8479979,Jake Oettinger,58,3410.0666666666666,2528,3574.0689655172414,44.48006881585893,1673,2365.2758620689656,29.43637465543196,147,207.82758620689654,2.5864596977576193,171.73577536526136,242.7988548267488,3.0216847730979888,24.73577536526136,34.97126861985227,0.4352250753403692,18,1021.35,793,3612.5555555555557,46.58540167425466,1673,7621.444444444444,98.28168600381846,48,218.66666666666666,2.819797327067117,52.670577560784295,239.94374222135067,3.0941740379371003,4.670577560784295,21.27707555468401,0.27437671086998355
8480045,Ukko-Pekka Luukkonen,55,3172.2166666666667,2298,3426.109090909091,43.46487471957044,1508,2248.2909090909093,28.522641896045354,169,251.96363636363637,3.1965029711085307,156.29571951087564,233.02270908894187,2.9562114306985774,-12.704280489124358,-18.940927274694495,-0.24029154040995354,0,0,0,0,0,1508,Inf,Inf,0,0,0,0,0,0,0,0,0
8480051,Cayden Primeau,11,523.7,460,3429.0909090909095,52.70192858506778,289,2154.3636363636365,33.11055948061867,41,305.6363636363636,4.697345808669085,36.026922674966045,268.5643326679287,4.127583273817,-4.973077325033955,-37.07203096843494,-0.5697625348520857,0,0,0,0,0,289,Inf,Inf,0,0,0,0,0,0,0,0,0
8480191,Matt Villalta,1,60,72,5904,72,49,4018,49,3,246,3,4.894045075168833,401.3116961638443,4.894045075168833,1.8940450751688331,155.31169616384432,1.8940450751688334,0,0,0,0,0,49,Inf,Inf,0,0,0,0,0,0,0,0,0
8480193,Daniil Tarasov,20,1100.4166666666667,916,3755.6,49.94471790988262,612,2509.2000000000003,33.36917834153729,65,266.5,3.544112078758046,66.44961844652425,272.44343563074943,3.62315223638754,1.449618446524255,5.943435630749446,0.07904015762949364,0,0,0,0,0,612,Inf,Inf,0,0,0,0,0,0,0,0,0
8480280,Jeremy Swayman,58,3390.5833333333335,2447,3459.551724137931,43.30228328458722,1631,2305.8965517241377,28.862290166392214,176,248.82758620689654,3.114508319610686,166.4676887418027,235.35087029013485,2.9458238723449246,-9.532311258197296,-13.476715916761696,-0.16868444726576187,0,0,0,0,0,1631,Inf,Inf,0,0,0,0,0,0,0,0,0
8480313,Logan Thompson,43,2535.15,1897,3617.5348837209303,44.89675167149873,1226,2337.953488372093,29.016034554168392,105,200.2325581395349,2.4850600556180105,132.85983447148465,253.36061457352886,3.144425406105784,27.859834471484646,53.12805643399398,0.6593653504877733,10,596.5,479,3927.7999999999997,48.18105616093881,1226,10053.199999999999,123.31936295054484,24,196.79999999999998,2.4140821458507964,30.7419895271305,252.0843141224701,3.092237001890746,6.7419895271304995,55.2843141224701,0.6781548560399496
8480382,Alexandar Georgiev,49,2671.8,2005,3355.3061224489793,45.02582528632382,1372,2296,30.81068942286099,165,276.1224489795918,3.7053671682012124,153.5295229195035,256.92695672243445,3.447777294397114,-11.470477080496494,-19.195492257157397,-0.2575898738040982,0,0,0,0,0,1372,Inf,Inf,0,0,0,0,0,0,0,0,0
8480819,Jakub Skarek,2,76.15,110,4510,86.67104399212081,73,2993,57.518056467498354,5,205,3.939592908732764,6.704177595325746,274.87128140835557,5.282346102686076,1.7041775953257456,69.87128140835557,1.3427531939533124,0,0,0,0,0,73,Inf,Inf,0,0,0,0,0,0,0,0,0
8480843,Lukas Dostal,54,3057.65,2605,3955.740740740741,51.11768842084607,1703,2586.037037037037,33.41782087550897,158,239.92592592592592,3.100420257387209,184.8644324920024,280.72006415452216,3.627578679548066,26.864432492002408,40.79413822859625,0.5271584221608571,0,0,0,0,0,1703,Inf,Inf,0,0,0,0,0,0,0,0,0
8480885,Olivier Rodrigue,2,77.41666666666667,150,6150,116.254036598493,107,4387,82.92787944025834,4,164,3.10010764262648,12.03445915330667,493.4128252855735,9.32702969901055,8.03445915330667,329.4128252855735,6.226922056384072,0,0,0,0,0,107,Inf,Inf,0,0,0,0,0,0,0,0,0
8480947,Kevin Lankinen,51,3019.7833333333333,2162,3476.156862745098,42.95672426829739,1394,2241.333333333333,27.69735135522968,132,212.23529411764707,2.6227047194335134,138.1421672932338,222.11093564794456,2.7447432887328653,6.142167293233797,9.875641530297477,0.12203856929935188,0,0,0,0,0,1394,Inf,Inf,0,0,0,0,0,0,0,0,0
