playerId,iCorsiF_2,iCorsiF_3,iFenwickF_2,iFenwickF_3,iSOGF_2,iSOGF_3,iGF_2,iGF_3,ixGF_2,ixGF_3,iGFaX_2,iGFaX_3,d_2,d_3,a_2,a_3,oCorsiF_2,oCorsiF_3,oFenwickF_2,oFenwickF_3,oSOGF_2,oSOGF_3,oGF_2,oGF_3,oxGF_2,oxGF_3,oGFaX_2,oGFaX_3,oCorsiA_2,oCorsiA_3,oFenwickA_2,oFenwickA_3,oSOGA_2,oSOGA_3,oGA_2,oGA_3,oxGA_2,oxGA_3,oGAaX_2,oGAaX_3,gamesPlayed_2,minsPlayed_2,gamesPlayed_3,minsPlayed_3,iCorsiF_2_per82,iFenwickF_2_per82,iSOGF_2_per82,iGF_2_per82,ixGF_2_per82,iGFaX_2_per82,oCorsiF_2_per82,oFenwickF_2_per82,oSOGF_2_per82,oGF_2_per82,oxGF_2_per82,oGFaX_2_per82,oCorsiA_2_per82,oFenwickA_2_per82,oSOGA_2_per82,oGA_2_per82,oxGA_2_per82,oGAaX_2_per82,iCorsiF_3_per82,iFenwickF_3_per82,iSOGF_3_per82,iGF_3_per82,ixGF_3_per82,iGFaX_3_per82,oCorsiF_3_per82,oFenwickF_3_per82,oSOGF_3_per82,oGF_3_per82,oxGF_3_per82,oGFaX_3_per82,oCorsiA_3_per82,oFenwickA_3_per82,oSOGA_3_per82,oGA_3_per82,oxGA_3_per82,oGAaX_3_per82,iCorsiF_2_per60,iFenwickF_2_per60,iSOGF_2_per60,iGF_2_per60,ixGF_2_per60,iGFaX_2_per60,oCorsiF_2_per60,oFenwickF_2_per60,oSOGF_2_per60,oGF_2_per60,oxGF_2_per60,oGFaX_2_per60,oCorsiA_2_per60,oFenwickA_2_per60,oSOGA_2_per60,oGA_2_per60,oxGA_2_per60,oGAaX_2_per60,iCorsiF_3_per60,iFenwickF_3_per60,iSOGF_3_per60,iGF_3_per60,ixGF_3_per60,iGFaX_3_per60,oCorsiF_3_per60,oFenwickF_3_per60,oSOGF_3_per60,oGF_3_per60,oxGF_3_per60,oGFaX_3_per60,oCorsiA_3_per60,oFenwickA_3_per60,oSOGA_3_per60,oGA_3_per60,oxGA_3_per60,oGAaX_3_per60,iCorsiF_2_pct,iFenwickF_2_pct,iSOGF_2_pct,iGF_2_pct,ixGF_2_pct,iGFaX_2_pct,oCorsiF_2_pct,oFenwickF_2_pct,oSOGF_2_pct,oGF_2_pct,oxGF_2_pct,oGFaX_2_pct,iCorsiF_2_per82_pct,iFenwickF_2_per82_pct,iSOGF_2_per82_pct,iGF_2_per82_pct,ixGF_2_per82_pct,iGFaX_2_per82_pct,oCorsiF_2_per82_pct,oFenwickF_2_per82_pct,oSOGF_2_per82_pct,oGF_2_per82_pct,oxGF_2_per82_pct,oGFaX_2_per82_pct,iCorsiF_2_per60_pct,iFenwickF_2_per60_pct,iSOGF_2_per60_pct,iGF_2_per60_pct,ixGF_2_per60_pct,iGFaX_2_per60_pct,oCorsiF_2_per60_pct,oFenwickF_2_per60_pct,oSOGF_2_per60_pct,oGF_2_per60_pct,oxGF_2_per60_pct,oGFaX_2_per60_pct,iCorsiF_3_pct,iFenwickF_3_pct,iSOGF_3_pct,iGF_3_pct,ixGF_3_pct,iGFaX_3_pct,oCorsiF_3_pct,oFenwickF_3_pct,oSOGF_3_pct,oGF_3_pct,oxGF_3_pct,oGFaX_3_pct,iCorsiF_3_per82_pct,iFenwickF_3_per82_pct,iSOGF_3_per82_pct,iGF_3_per82_pct,ixGF_3_per82_pct,iGFaX_3_per82_pct,oCorsiF_3_per82_pct,oFenwickF_3_per82_pct,oSOGF_3_per82_pct,oGF_3_per82_pct,oxGF_3_per82_pct,oGFaX_3_per82_pct,iCorsiF_3_per60_pct,iFenwickF_3_per60_pct,iSOGF_3_per60_pct,iGF_3_per60_pct,ixGF_3_per60_pct,iGFaX_3_per60_pct,oCorsiF_3_per60_pct,oFenwickF_3_per60_pct,oSOGF_3_per60_pct,oGF_3_per60_pct,oxGF_3_per60_pct,oGFaX_3_per60_pct
8448208,295,0,241,0,181,0,16,0,142.5772619098425,0,-126.57726190984249,0,NA,NA,NA,NA,1611,0,1265,0,936,0,80,0,755.7763966172934,0,-675.7763966172934,0,987,0,811,0,623,0,53,0,482.9433379881084,0,-429.9433379881084,0,82,1393.9833266666667,0,0,295,241,181.00000000000003,16,142.5772619098425,-126.57726190984249,1610.9999999999998,1265,936,80,755.7763966172934,-675.7763966172932,987,811,623,53,482.9433379881084,-429.9433379881084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.697425902736407,10.373151330710082,7.79062402845861,0.6886739472670593,6.136827859373786,-5.448153912106727,69.34085806545204,54.44828395580188,40.28742591512297,3.443369736335297,32.53021964435662,-29.08684990802133,42.48257412203672,34.90716070209908,26.815241821711123,2.2812324503221344,20.786905929912514,-18.505673479590378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.44945567651634,82.11508553654744,85.06998444790047,75.73872472783826,83.51477449455676,15.241057542768274,87.40279937791601,90.82426127527216,93.15707620528771,81.64852255054433,91.1353032659409,8.087091757387247,70.13996889580093,77.29393468118197,80.40435458786936,72.16174183514774,77.91601866251943,21.15085536547434,82.42612752721618,86.31415241057543,88.64696734059098,75.42768273716952,86.4696734059098,12.752721617418352,69.20684292379471,77.29393468118197,78.22706065318819,67.49611197511665,77.91601866251943,21.61741835147745,95.02332814930016,97.97822706065318,99.06687402799378,83.8258164852255,97.97822706065318,1.3996889580093312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8462038,239,0,191,0,144,0,6,0,108.83366254717112,0,-102.83366254717112,0,NA,NA,NA,NA,1060,0,774,0,527,0,41,0,442.6438847500831,0,-401.6438847500831,0,1035,0,811,0,565,0,36,0,468.02950737811625,0,-432.02950737811625,0,74,1113.5499033333333,0,0,264.83783783783787,211.64864864864865,159.56756756756758,6.648648648648649,120.59946390362204,-113.9508152549734,1174.5945945945946,857.6756756756757,583.972972972973,45.432432432432435,490.49727769603805,-445.06484526360555,1146.8918918918919,898.6756756756757,626.081081081081,39.891891891891895,518.6272919595342,-478.73540006764233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.877734493150436,10.291411247664156,7.75896973645884,0.323290405685785,5.864146486190796,-5.540856080505011,57.11463833782202,41.70446233346627,28.395673966068117,2.2091511055195308,23.8504201791977,-21.641269073678174,55.76759498079792,43.69808650186194,30.443179868744757,1.93974243411471,25.21824155219822,-23.27849911808351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.31881804043546,68.42923794712286,71.3841368584759,39.19129082426128,65.94090202177294,30.637636080870916,51.788491446345255,51.16640746500778,47.12286158631415,42.76827371695179,48.83359253499223,50.233281493001556,60.49766718506998,66.87402799377917,70.13996889580093,35.45878693623639,63.29704510108864,31.88180404354588,43.390357698289264,41.368584758942454,35.61430793157076,34.21461897356143,38.25816485225506,60.65318818040435,71.3841368584759,75.73872472783826,77.76049766718506,35.61430793157076,72.62830482115086,20.06220839813375,58.009331259720064,53.96578538102644,39.19129082426128,34.99222395023328,48.52255054432349,49.611197511664074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8462042,263,0,209,0,154,0,14,0,122.41267335414886,0,-108.41267335414886,0,NA,NA,NA,NA,1243,0,923,0,653,0,45,0,545.0836170818657,0,-500.08361708186567,0,990,0,776,0,561,0,57,0,465.17473615240306,0,-408.17473615240306,0,80,1210.1666666666667,0,0,269.575,214.225,157.85,14.35,125.47299018800258,-111.12299018800259,1274.075,946.0749999999999,669.3249999999999,46.125,558.7107075089124,-512.5857075089124,1014.75,795.4,575.025,58.425000000000004,476.80410455621313,-418.3791045562131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.03952623605564,10.362209062112656,7.635311940504063,0.6941192673185511,6.06921393850621,-5.375094671187658,61.62787494835422,45.76229169535876,32.37570582564385,2.2310976449524857,27.025217208300734,-24.79411956334825,49.084148188954686,38.47403938851398,27.814350640407657,2.826057016939815,23.063339073800453,-20.237282056860636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.51788491446345,72.93934681181959,74.4945567651633,70.76205287713842,72.47278382581649,26.749611197511662,63.91912908242613,63.76360808709176,62.83048211508554,47.27838258164852,64.85225505443235,33.748055987558324,62.363919129082426,67.65163297045102,68.89580093312597,67.80715396578539,67.18506998444789,33.43701399688958,53.499222395023324,52.87713841368584,51.16640746500778,35.61430793157076,53.499222395023324,42.61275272161742,74.02799377916018,76.98289269051321,75.89424572317263,68.27371695178849,76.82737169517885,23.32814930015552,77.29393468118197,76.36080870917574,72.93934681181959,36.08087091757387,75.11664074650078,18.662519440124417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8464989,157,34,128,28,95,22,13,2,72.87030870094895,16.282111823558807,-59.870308700948954,-14.282111823558807,NA,NA,NA,NA,781,214,597,166,437,124,44,11,344.69093405269086,95.02560582384467,-300.69093405269086,-84.02560582384467,1098,393,785,277,575,198,63,18,476.54872207529843,156.82030738145113,-413.54872207529843,-138.82030738145113,72,1002.13332,25,358.05,178.80555555555554,145.77777777777777,108.19444444444444,14.805555555555555,82.99118490941409,-68.18562935385853,889.4722222222222,679.9166666666666,497.69444444444446,50.111111111111114,392.5646748933424,-342.45356378223124,1250.5,894.0277777777778,654.8611111111111,71.75,542.7360445857565,-470.98604458575653,111.52000000000001,91.84,72.16,6.5600000000000005,53.40532678127288,-46.84532678127289,701.9200000000001,544.48,406.71999999999997,36.08,311.68398710221055,-275.6039871022105,1289.04,908.5600000000001,649.4399999999999,59.04,514.3706082111597,-455.3306082111597,9.399946905268052,7.663650980091151,5.687865961786401,0.7783395526655076,4.362911036684158,-3.5845714840186504,46.76024543321242,35.74374714933139,26.16418342421745,2.6343800244063336,20.637429801417493,-18.00304977701116,65.73975606359441,46.99973452634026,34.42655713712822,3.7719532167636136,28.53205532026208,-24.760102103498472,5.697528278173439,4.69208211143695,3.686635944700461,0.3351487222454964,2.7284644865620122,-2.3933157643165157,35.86091328026812,27.817343946376205,20.77922077922078,1.8433179723502304,15.923855186232874,-14.080537213882641,65.85672392124006,46.41809803100125,33.17972350230414,3.016338500209468,26.27906282051967,-23.2627243203102,36.85847589424572,42.92379471228615,46.18973561430793,67.34059097978226,40.59097978227061,64.69673405909798,34.83670295489891,35.61430793157076,36.236391912908246,45.56765163297045,35.45878693623639,65.78538102643857,25.660964230171075,35.769828926905134,38.41368584758943,69.20684292379471,33.28149300155521,77.60497667185071,20.684292379471227,22.3950233281493,22.55054432348367,41.21306376360809,21.15085536547434,80.55987558320373,32.03732503888025,42.76827371695179,46.034214618973564,74.4945567651633,38.41368584758943,70.13996889580093,15.085536547433904,18.662519440124417,21.30637636080871,56.298600311041994,17.262830482115085,87.86936236391914,58.9041095890411,65.06849315068493,68.4931506849315,63.013698630136986,67.46575342465754,32.87671232876712,69.52054794520548,72.26027397260275,74.31506849315068,76.71232876712328,73.63013698630137,27.054794520547947,6.164383561643835,10.616438356164384,15.753424657534246,46.917808219178085,11.643835616438356,89.38356164383562,5.47945205479452,7.876712328767123,9.58904109589041,30.47945205479452,8.904109589041095,91.78082191780823,5.821917808219178,14.383561643835616,20.54794520547945,48.97260273972603,15.41095890410959,86.64383561643835,0.684931506849315,2.3972602739726026,6.8493150684931505,37.67123287671233,3.767123287671233,97.26027397260275
8465009,278,24,188,12,135,8,9,0,114.66403838805854,6.923956125974655,-105.66403838805854,-6.923956125974655,NA,NA,NA,NA,1548,136,1181,90,874,58,88,3,693.5500516034663,50.84365972876549,-605.5500516034663,-47.84365972876549,1737,173,1294,129,920,91,86,10,765.889117879793,72.62645898759365,-679.889117879793,-62.62645898759365,75,1749.95,6,172.58333,303.94666666666666,205.54666666666668,147.6,9.84,125.36601530427734,-115.52601530427734,1692.48,1291.2266666666667,955.5733333333334,96.21333333333334,758.2813897531232,-662.0680564197899,1899.1200000000001,1414.7733333333333,1005.8666666666668,94.02666666666667,837.3721022152404,-743.3454355485737,328,164,109.33333333333333,0,94.62740038832028,-94.62740038832028,1858.6666666666667,1230,792.6666666666666,41,694.8633496264616,-653.8633496264617,2364.333333333333,1763,1243.6666666666665,136.66666666666669,992.5616061637799,-855.8949394971132,9.531700905740163,6.445898454241549,4.6287036772479215,0.3085802451498614,3.93145078618447,-3.622870541034608,53.07580216577617,40.49258550244293,29.9665704734421,3.017229063687534,23.77953832749963,-20.762309263812096,59.555987313923254,44.36698191376897,31.543758393096944,2.9486556758764535,26.259805750328628,-23.311150074452172,8.34379542914139,4.171897714570695,2.78126514304713,0,2.407169728145119,-2.407169728145119,47.28150743180121,31.289232859280208,20.16417228709169,1.0429744286426736,17.676212318570567,-16.633237889927894,60.14485871839419,44.84790043163497,31.636891002161104,3.4765814288089123,25.24917985564202,-21.772598426833106,73.09486780715396,67.18506998444789,67.96267496111975,54.74339035769829,69.20684292379471,28.771384136858476,84.75894245723173,86.4696734059098,88.4914463452566,88.64696734059098,84.75894245723173,15.552099533437014,73.56143079315707,63.60808709175739,63.29704510108864,49.922239502332815,66.87402799377917,31.104199066874028,86.31415241057543,87.86936236391914,91.1353032659409,90.97978227060653,86.78071539657853,13.685847589424572,32.65940902021773,26.749611197511662,28.304821150855364,34.52566096423017,28.615863141524105,69.82892690513219,40.59097978227061,47.12286158631415,54.58786936236392,70.76205287713842,47.12286158631415,59.72006220839814,45.54794520547945,25,21.232876712328768,0,29.10958904109589,66.43835616438356,51.02739726027398,47.6027397260274,41.0958904109589,26.027397260273972,48.63013698630137,47.6027397260274,63.35616438356164,35.61643835616438,31.84931506849315,0,39.726027397260275,53.082191780821915,77.3972602739726,69.86301369863014,59.589041095890416,34.24657534246575,72.26027397260275,20.54794520547945,22.26027397260274,10.273972602739725,9.246575342465754,0,10.95890410958904,86.3013698630137,15.753424657534246,9.246575342465754,3.4246575342465753,15.753424657534246,10.616438356164384,86.64383561643835
8465058,26,0,22,0,16,0,1,0,13.697494640946388,0,-12.697494640946388,0,NA,NA,NA,NA,302,0,224,0,165,0,8,0,131.81176459789276,0,-123.81176459789276,0,319,0,245,0,186,0,13,0,147.24629829078913,0,-134.24629829078913,0,22,340.8999733333333,0,0,96.90909090909092,82,59.63636363636364,3.7272727272727275,51.05429820716381,-47.327025479891084,1125.6363636363635,834.9090909090909,615,29.81818181818182,491.2983953194185,-461.4802135012367,1189,913.1818181818182,693.2727272727274,48.45454545454546,548.8271118111231,-500.37256635657764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.576122387884807,3.8721035589794517,2.8160753156214193,0.1760047072263387,2.4108235340141126,-2.2348188267877735,53.15342158235429,39.425054418699865,29.040776692345883,1.4080376578107097,23.19949103703919,-21.791453379228482,56.14550160520204,43.121153270452986,32.736875544099,2.2880611939424034,25.916041620832477,-23.627980426890073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8465978,81,0,62,0,42,0,2,0,36.6411787122488,0,-34.6411787122488,0,NA,NA,NA,NA,265,0,212,0,156,0,6,0,124.6714361011982,0,-118.6714361011982,0,387,0,281,0,213,0,13,0,166.94348961114883,0,-153.94348961114883,0,50,384.48333333333335,0,0,132.84,101.67999999999999,68.88,3.2800000000000002,60.091533088088035,-56.81153308808804,434.59999999999997,347.68,255.84,9.84,204.46115520596504,-194.62115520596504,634.6800000000001,460.84000000000003,349.32,21.32,273.7873229622841,-252.46732296228407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.640339850015172,9.67532186050544,6.554250292600459,0.31210715679049805,5.717987054666248,-5.40587989787575,41.354198274740995,33.0833586197928,24.34435822965885,0.9363214703714942,19.455423727266613,-18.519102256895117,60.392734838961374,43.85105552906498,33.23941219818805,2.0286965191382373,26.05212894360986,-24.02343242447162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.19751166407465,12.28615863141524,11.35303265940902,10.730948678071538,13.063763608087092,86.62519440124416,2.488335925349922,3.1104199066874028,4.043545878693624,1.088646967340591,3.421461897356143,95.95645412130638,8.864696734059098,10.57542768273717,7.931570762052877,15.552099533437014,11.04199066874028,87.09175738724728,0.6220839813374806,0.7776049766718507,0.9331259720062209,0.7776049766718507,0.7776049766718507,99.22239502332815,68.7402799377916,67.65163297045102,60.80870917573873,34.68118195956454,68.42923794712286,22.55054432348367,5.443234836702955,9.331259720062208,11.19751166407465,1.5552099533437014,9.953343701399689,84.13685847589424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8466138,147,10,119,9,82,4,7,0,73.10721863806248,4.77454973757267,-66.10721863806248,-4.77454973757267,NA,NA,NA,NA,1736,96,1253,65,853,39,88,5,769.5414376109838,35.95734865963459,-681.5414376109838,-30.95734865963459,1109,63,792,40,546,27,49,3,457.1924150381237,22.500054080039263,-408.1924150381237,-19.500054080039263,79,1426.7833183333335,4,75.31666666666666,152.58227848101265,123.51898734177216,85.1139240506329,7.265822784810126,75.88344213064713,-68.617619345837,1801.9240506329113,1300.5822784810125,885.3924050632912,91.34177215189872,798.7645301784896,-707.4227580265908,1151.113924050633,822.0759493670886,566.7341772151899,50.860759493670884,474.55415231805245,-423.6933928243816,205,184.5,82,0,97.87826962023973,-97.87826962023973,1968,1332.5,799.5,102.5,737.1256475225091,-634.6256475225091,1291.5,820,553.5,61.5,461.2511086408049,-399.7511086408049,6.181737539728804,5.004263722637603,3.448316178624231,0.29436845427280023,3.0743512780957287,-2.7799828238229285,73.00337665965445,52.69195331483124,35.87089878495694,3.700631996572345,32.36124621263055,-28.660614216058203,46.63637368407649,33.30568796915111,22.960739433278416,2.0605791799096016,19.226146360003,-17.1655671800934,7.9663642398760794,7.169727815888471,3.1865456959504317,0,3.8035802290908634,-3.8035802290908634,76.47709670281036,51.781367559194514,31.068820535516707,3.9831821199380397,28.644933652286905,-24.661751532348866,50.1880947112193,31.865456959504318,21.509183447665414,2.3899092719628237,17.924362621850264,-15.53445334988744,33.748055987558324,38.72472783825817,35.925349922239505,46.81181959564541,40.74650077760498,59.25349922239502,92.6905132192846,90.04665629860031,86.31415241057543,88.64696734059098,92.2239502332815,7.4650077760497675,15.241057542768274,20.37325038880249,18.973561430793158,39.502332814930014,24.72783825816485,77.13841368584758,91.75738724727839,88.33592534992223,83.98133748055989,86.93623639191291,90.82426127527216,8.553654743390357,4.199066874027993,9.642301710730948,9.953343701399689,33.12597200622084,11.975116640746501,88.80248833592535,98.9113530326594,96.42301710730948,91.44634525660965,90.82426127527216,97.66718506998446,1.8662519440124419,6.506849315068493,12.32876712328767,4.794520547945205,0,14.726027397260275,80.47945205479452,31.84931506849315,28.767123287671232,17.465753424657535,44.86301369863014,28.767123287671232,77.05479452054794,28.08219178082192,44.86301369863014,17.465753424657535,0,44.178082191780824,48.28767123287671,83.9041095890411,78.42465753424658,59.93150684931506,91.0958904109589,78.76712328767124,25,18.835616438356166,36.986301369863014,15.753424657534246,0,32.534246575342465,57.534246575342465,96.23287671232876,88.6986301369863,56.5068493150685,93.15068493150685,86.3013698630137,19.52054794520548
8466139,326,24,274,16,190,12,27,3,163.49981808662415,8.936880230903625,-136.49981808662415,-5.9368802309036255,NA,NA,NA,NA,1640,142,1185,94,823,62,82,7,716.3333696685731,52.58383858203888,-634.3333696685731,-45.58383858203888,1172,94,837,62,600,33,47,5,482.6449454817921,34.79358150437474,-435.6449454817921,-29.793581504374743,82,1406.9333133333334,6,114.75,326,274,190,27,163.49981808662415,-136.49981808662415,1640,1185,823,82,716.3333696685731,-634.3333696685731,1172,837,600,46.99999999999999,482.6449454817921,-435.6449454817921,328,218.66666666666666,164,41,122.13736315568288,-81.13736315568289,1940.6666666666667,1284.6666666666665,847.3333333333334,95.66666666666667,718.6457939545313,-622.9791272878647,1284.6666666666665,847.3333333333334,451,68.33333333333334,475.51228055978817,-407.1789472264548,13.902577908016175,11.684988793854085,8.102729455592248,1.1514405015841616,6.972604168391914,-5.821163666807753,69.93934898511203,50.53544423619376,35.097612326065374,3.496967449255602,30.54871312861684,-27.051745679361233,49.98104695765324,35.694655549109015,25.58756670187026,2.0043593916465037,20.582849559726483,-18.57849016807998,12.549019607843137,8.366013071895425,6.2745098039215685,1.5686274509803921,4.672878552106471,-3.1042511011260787,74.24836601307189,49.150326797385624,32.41830065359478,3.6601307189542482,27.494817559236015,-23.834686840281766,49.150326797385624,32.41830065359478,17.254901960784313,2.6143790849673203,18.192722355228625,-15.578343270261302,84.9144634525661,90.35769828926905,88.64696734059098,94.09020217729393,90.35769828926905,11.81959564541213,89.26905132192846,86.93623639191291,83.8258164852255,83.20373250388803,88.02488335925351,11.81959564541213,79.16018662519441,86.78071539657853,83.51477449455676,92.37947122861586,87.09175738724728,16.329704510108865,83.98133748055989,80.40435458786936,76.049766718507,78.0715396578538,82.27060653188181,17.262830482115085,80.55987558320373,86.93623639191291,82.11508553654744,92.6905132192846,88.4914463452566,15.552099533437014,95.64541213063764,92.53499222395023,88.80248833592535,84.9144634525661,94.09020217729393,5.598755832037325,45.54794520547945,41.78082191780822,42.465753424657535,80.13698630136986,43.83561643835616,73.28767123287672,53.082191780821915,50.34246575342466,45.54794520547945,58.56164383561644,51.369863013698634,51.02739726027398,63.35616438356164,58.9041095890411,58.9041095890411,97.94520547945206,60.61643835616438,64.72602739726028,81.5068493150685,74.65753424657534,66.78082191780823,85.27397260273972,76.36986301369863,29.10958904109589,58.56164383561644,52.3972602739726,57.87671232876712,96.91780821917808,52.73972602739726,72.94520547945206,93.83561643835617,79.1095890410959,63.6986301369863,90.06849315068493,79.7945205479452,25.684931506849317
8466148,303,22,226,17,167,15,26,0,134.39044051617384,8.812861174345016,-108.39044051617384,-8.812861174345016,NA,NA,NA,NA,1082,67,772,43,573,33,57,0,461.8866306748241,24.306106880307198,-404.8866306748241,-24.306106880307198,1153,74,844,54,633,42,54,5,496.8710311744362,31.552066173404455,-442.8710311744362,-26.552066173404455,73,1230.5999333333334,4,76.05,340.35616438356163,253.86301369863014,187.5890410958904,29.205479452054792,150.95912496337334,-121.75364551131857,1215.3972602739725,867.1780821917808,643.6438356164383,64.02739726027397,518.8315577443229,-454.804160484049,1295.150684931507,948.054794520548,711.041095890411,60.65753424657534,558.1291035110105,-497.47156926443523,451,348.5,307.5,0,180.66365407407284,-180.66365407407284,1373.5,881.5,676.5,0,498.27519104629755,-498.27519104629755,1517,1107,861,102.5,646.8173565547913,-544.3173565547913,14.773282126511843,11.019015711523684,8.142370016922369,1.2676743738921052,6.552435289939419,-5.284760916047314,52.75475663658684,37.64017756325789,27.937592932314473,2.7791322812250003,22.520070974993914,-19.74093869376891,56.216482811446056,41.15066044480526,30.862995333603948,2.6328621611605265,24.225795128814546,-21.59293296765402,17.357001972386588,13.412228796844182,11.834319526627219,0,6.952947672067074,-6.952947672067074,52.85996055226825,33.9250493096647,26.035502958579883,0,19.176415684660512,-19.176415684660512,58.38264299802761,42.60355029585799,33.13609467455622,3.944773175542406,24.893148854756966,-20.94837567921456,79.16018662519441,78.22706065318819,79.62674961119751,92.84603421461898,79.31570762052877,26.905132192846033,53.18818040435459,50.69984447900466,52.56609642301711,60.65318818040435,52.255054432348366,49.14463452566096,82.27060653188181,81.80404354587868,83.20373250388803,94.867807153965785,81.80404354587868,25.505443234836704,47.27838258164852,42.76827371695179,46.18973561430793,59.56454121306376,45.25660964230171,58.320373250388805,85.8475894245723,82.42612752721618,82.89269051321928,95.80093312597201,83.98133748055989,26.749611197511662,38.56920684292379,29.704510108864696,35.45878693623639,61.74183514774495,33.592534992223946,71.69517884914464,43.15068493150685,45.20547945205479,52.73972602739726,0,42.465753424657535,53.76712328767124,10.95890410958904,7.191780821917808,9.246575342465754,0,9.246575342465754,88.35616438356165,89.04109589041096,91.78082191780823,96.23287671232876,0,87.67123287671232,6.8493150684931505,45.20547945205479,36.64383561643836,42.12328767123288,0,37.67123287671233,54.109589041095894,91.78082191780823,91.78082191780823,96.57534246575342,0,86.3013698630137,7.534246575342466,30.82191780821918,16.78082191780822,24.65753424657534,0,18.493150684931507,68.83561643835617
