playerId,gP_2,mP_2,x_2_std,x_2_all,y_2_std,y_2_all,iCorsiF_2_std,iCorsiF_2_all,iFenwickF_2_std,iFenwickF_2_all,iSOGF_2_std,iSOGF_2_all,iGF_2_std,iGF_2_all,ixGF_2_std,ixGF_2_all,oCorsiF_2_std,oCorsiF_2_all,oFenwickF_2_std,oFenwickF_2_all,oSOGF_2_std,oSOGF_2_all,oGF_2_std,oGF_2_all,oxGF_2_std,oxGF_2_all,oCorsiA_2_std,oCorsiA_2_all,oFenwickA_2_std,oFenwickA_2_all,oSOGA_2_std,oSOGA_2_all,oGA_2_std,oGA_2_all,oxGA_2_std,oxGA_2_all,gP_3,mP_3,x_3_std,x_3_all,y_3_std,y_3_all,iCorsiF_3_std,iCorsiF_3_all,iFenwickF_3_std,iFenwickF_3_all,iSOGF_3_std,iSOGF_3_all,iGF_3_std,iGF_3_all,ixGF_3_std,ixGF_3_all,oCorsiF_3_std,oCorsiF_3_all,oFenwickF_3_std,oFenwickF_3_all,oSOGF_3_std,oSOGF_3_all,oGF_3_std,oGF_3_all,oxGF_3_std,oxGF_3_all,oCorsiA_3_std,oCorsiA_3_all,oFenwickA_3_std,oFenwickA_3_all,oSOGA_3_std,oSOGA_3_all,oGA_3_std,oGA_3_all,oxGA_3_std,oxGA_3_all
8473419,76,1339.3165866666668,67.33018867924528,63.91240875912409,1.5141509433962264,1.0802919708029197,212,274,157,217,121,167,18,28,12.8807784039136,20.564761167963184,1182,1527,867,1133,626,812,57,81,52.47679333388025,74.83051116369371,821,1019,613,766,452,560,35,47,36.20552877831418,48.88456189483852,7,126.51665833333333,68.67857142857143,67.24242424242425,4.178571428571429,4.151515151515151,28,33,18,22,14,17,1,1,1.22808126732667,1.4634532827942222,115,148,79,99,58,73,2,3,4.092288052294849,5.539771366832092,78,89,58,66,46,52,2,4,2.5396494163255428,3.2354716667391865
8473422,82,1200.8833033333333,68.32420091324201,66.35510204081632,2.4337899543378994,1.853061224489796,219,245,172,194,139,153,10,15,12.06865871566357,16.595444082287553,1026,1226,737,875,560,651,45,63,40.919766205196275,54.32300416921553,886,952,665,717,481,521,48,53,39.9490531005591,44.099738928214606,7,106.16666666666667,66.78947368421052,67.82608695652173,1.894736842105263,1.0869565217391304,19,23,17,20,14,17,1,1,0.9869333463422911,1.278570606430573,122,149,84,99,59,71,2,5,4.673239287246344,5.824524831429948,81,89,63,69,46,52,3,3,4.244404132110693,4.904041474383653
8473426,51,947.3499899999999,50.08571428571429,44.377049180327866,-3.657142857142857,-2.7868852459016393,105,122,55,68,43,51,0,1,1.581734636683549,1.7936239473482436,688,744,486,530,355,387,19,22,29.612820632878005,33.022197348571076,744,894,546,661,395,484,39,47,34.83348536050917,44.3963014194689,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473432,77,1131.399885,66.23255813953489,65.76328502415458,-6.77906976744186,-6.009661835748792,172,207,146,174,113,137,9,12,10.813163819837927,14.666792166093437,661,810,502,617,378,470,23,33,29.20420344351754,40.74427412694567,793,1055,571,769,426,578,32,58,32.28540893608816,51.80202824480732,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473446,73,1521.3999350000001,50.032085561497325,48.09415584415584,-13.614973262032086,-9.405844155844155,187,308,134,208,100,155,3,4,4.308336134868358,7.133112830544755,1195,1589,889,1182,649,882,48,71,50.749134937234956,75.20007569309179,1068,1324,816,1011,600,731,47,68,46.906083777450654,68.05348670685194,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473449,79,1348.2999783333332,66.25641025641026,65.5304659498208,-2.1965811965811968,-2.4193548387096775,234,279,187,215,133,152,20,24,16.34453639330291,19.445787778409734,1075,1312,782,947,582,705,47,60,55.52645500298374,72.0653096811022,1136,1236,826,901,570,622,52,66,52.132303155859816,62.505887049415136,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473453,72,953.04996,65.04430379746836,65.94021739130434,-5.8544303797468356,-5.130434782608695,158,184,132,155,86,103,2,3,7.929225617351513,10.503181421396429,674,731,505,549,358,389,15,16,27.41208942834602,31.89610339715714,605,805,477,624,327,431,18,28,27.9109979621662,38.635593139571945,20,298.06666666666666,67.3921568627451,66.32307692307693,-11.117647058823529,-9.353846153846154,51,65,41,54,28,37,1,3,2.448230024087765,4.880006628172174,190,232,147,180,92,112,6,11,8.791173647890847,13.21698599605607,196,247,153,192,107,139,3,6,8.254811638235894,11.663481701129323
8473456,5,60.733333333333334,63.8,64.81818181818181,-7.1,-6,10,11,9,9,3,3,0,0,0.685349480003719,0.685349480003719,39,45,32,37,14,17,0,1,2.366401487644547,2.781833568715809,78,81,54,55,37,38,0,1,2.1716379636733913,2.2208836333831274,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473459,9,97.83333,20.714285714285715,20.714285714285715,14.428571428571429,14.428571428571429,14,14,11,11,8,8,0,0,0.14303139652443378,0.14303139652443378,73,75,62,63,47,48,4,5,4.2809635888968645,4.497581141392668,99,101,77,78,43,44,2,2,3.8082523190258333,4.003666736342911,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473465,78,1048.84988,66.4035874439462,66.46303501945525,3.286995515695067,3.4396887159533076,223,257,187,217,138,159,13,20,14.177484653590492,17.49459481776968,854,1007,647,763,488,572,40,51,39.8249188047097,50.92689811360238,881,943,624,672,455,495,42,49,35.61300857119002,40.146009106375026,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
