playerId,number,teamId,seasonId_start,seasonId_end,first,last,resign,cap,age,term,aav
8477454,5,17,20212022,20222023,FALSE,FALSE,TRUE,81500000,25,2,2100000
8477454,6,22,20232024,20232024,FALSE,FALSE,FALSE,83500000,28,1,775000
8477454,7,25,20252026,20252026,FALSE,TRUE,FALSE,95500000,30,1,775000
8477455,1,8,20142015,20162017,TRUE,FALSE,FALSE,69000000,18,3,925000
8477455,2,8,20172018,20172018,FALSE,FALSE,TRUE,75000000,21,1,725000
8477455,3,8,20182019,20192020,FALSE,FALSE,TRUE,79500000,22,2,900000
8477455,4,19,20202021,20202021,FALSE,TRUE,TRUE,81500000,24,1,700000
8477456,1,21,20162017,20182019,TRUE,FALSE,FALSE,73000000,20,3,1000000
8477456,2,21,20192020,20222023,FALSE,FALSE,TRUE,81500000,23,4,3500000
8477456,3,17,20232024,20272028,FALSE,TRUE,FALSE,83500000,28,5,5100000
8477458,1,26,20142015,20162017,TRUE,FALSE,FALSE,69000000,18,3,925000
8477458,2,12,20182019,20192020,FALSE,TRUE,TRUE,79500000,22,2,675000
8477460,1,53,20142015,20162017,TRUE,FALSE,FALSE,69000000,18,3,925000
8477460,2,53,20182019,20182019,FALSE,FALSE,TRUE,79500000,22,1,787500
8477460,3,18,20192020,20192020,FALSE,FALSE,FALSE,81500000,23,1,750000
8477460,4,8,20202021,20202021,FALSE,FALSE,FALSE,81500000,24,1,700000
8477460,5,8,20212022,20212022,FALSE,FALSE,FALSE,81500000,25,1,750000
8477460,6,53,20222023,20222023,FALSE,TRUE,FALSE,82500000,26,1,750000
8477461,1,25,20142015,20162017,TRUE,FALSE,FALSE,69000000,18,3,925000
8477461,2,25,20182019,20182019,FALSE,FALSE,TRUE,79500000,22,1,735000
8477461,3,7,20192020,20192020,FALSE,FALSE,TRUE,81500000,23,1,700000
8477461,4,14,20212022,20212022,FALSE,TRUE,FALSE,81500000,25,1,750000
8477462,1,4,20142015,20162017,TRUE,FALSE,FALSE,69000000,18,3,925000
8477462,2,4,20182019,20192020,FALSE,FALSE,TRUE,79500000,22,2,1150000
8477462,3,4,20202021,20212022,FALSE,FALSE,TRUE,81500000,24,2,1600000
8477462,4,17,20222023,20222023,FALSE,FALSE,FALSE,82500000,26,1,800000
8477462,5,24,20232024,20232024,FALSE,FALSE,FALSE,83500000,28,1,775000
8477462,6,54,20242025,20242025,FALSE,TRUE,FALSE,88000000,29,1,775000
8477463,1,1,20152016,20172018,TRUE,FALSE,FALSE,71400000,19,3,925000
8477463,2,1,20182019,20202021,FALSE,FALSE,TRUE,79500000,22,3,1416667
8477463,3,19,20202021,20202021,FALSE,FALSE,FALSE,81500000,24,1,700000
8477463,4,19,20212022,20222023,FALSE,FALSE,TRUE,81500000,25,2,750000
8477463,5,26,20232024,20232024,FALSE,FALSE,FALSE,83500000,28,1,800000
8477463,6,14,20242025,20242025,FALSE,FALSE,FALSE,88000000,29,1,775000
8477463,7,14,20252026,20262027,FALSE,TRUE,TRUE,95500000,30,2,775000
8477466,1,24,20142015,20162017,TRUE,TRUE,FALSE,69000000,19,3,925000
8477467,1,30,20142015,20162017,TRUE,FALSE,FALSE,69000000,19,3,925000
8477467,2,30,20172018,20182019,FALSE,FALSE,TRUE,75000000,22,2,725000
8477467,3,8,20192020,20192020,FALSE,FALSE,FALSE,81500000,24,1,700000
8477467,4,8,20202021,20202021,FALSE,FALSE,TRUE,81500000,25,1,750000
8477467,5,55,20212022,20212022,FALSE,FALSE,FALSE,81500000,26,1,750000
8477467,6,55,20222023,20222023,FALSE,FALSE,FALSE,82500000,27,1,750000
8477467,7,55,20232024,20242025,FALSE,TRUE,TRUE,83500000,28,2,775000
8477468,1,19,20142015,20162017,TRUE,TRUE,FALSE,69000000,18,3,925000
8477469,1,17,20132014,20152016,TRUE,TRUE,FALSE,64300000,17,3,925000
8477471,1,29,20152016,20172018,TRUE,FALSE,FALSE,71400000,19,3,770833
8477471,2,25,20182019,20182019,FALSE,FALSE,TRUE,79500000,22,1,650000
8477471,3,25,20192020,20192020,FALSE,FALSE,TRUE,81500000,23,1,700000
8477471,4,9,20212022,20212022,FALSE,FALSE,FALSE,81500000,25,1,750000
8477471,5,9,20222023,20232024,FALSE,TRUE,TRUE,82500000,26,2,762500
8477472,1,16,20162017,20182019,TRUE,FALSE,FALSE,73000000,20,3,925000
8477472,2,16,20192020,20202021,FALSE,FALSE,TRUE,81500000,23,2,850000
8477472,3,10,20212022,20212022,FALSE,FALSE,FALSE,81500000,25,1,750000
8477472,4,10,20222023,20222023,FALSE,TRUE,TRUE,82500000,26,1,750000
8477473,1,7,20142015,20162017,TRUE,FALSE,FALSE,69000000,18,3,894167
8477473,2,7,20182019,20182019,FALSE,FALSE,TRUE,79500000,22,1,715000
8477473,3,23,20192020,20192020,FALSE,FALSE,FALSE,81500000,23,1,700000
8477473,4,23,20202021,20202021,FALSE,FALSE,TRUE,81500000,24,1,750000
8477473,5,23,20212022,20212022,FALSE,FALSE,TRUE,81500000,25,1,750000
8477473,6,22,20222023,20222023,FALSE,FALSE,FALSE,82500000,27,1,750000
8477473,7,28,20232024,20232024,FALSE,FALSE,FALSE,83500000,28,1,775000
8477473,8,28,20242025,20242025,FALSE,TRUE,TRUE,88000000,28,1,775000
8477474,1,15,20142015,20162017,TRUE,FALSE,FALSE,69000000,18,3,925000
8477474,2,15,20182019,20192020,FALSE,FALSE,TRUE,79500000,22,2,1000000
8477474,3,16,20202021,20212022,FALSE,FALSE,FALSE,81500000,24,2,725000
