playerId,cap,age,pTerm_1_resign,xAAV_1_resign,pTerm_2_resign,xAAV_2_resign,pTerm_3_resign,xAAV_3_resign,pTerm_4_resign,xAAV_4_resign,pTerm_5_resign,xAAV_5_resign,pTerm_6_resign,xAAV_6_resign,pTerm_7_resign,xAAV_7_resign,pTerm_8_resign,xAAV_8_resign,pTerm_1_nosign,xAAV_1_nosign,pTerm_2_nosign,xAAV_2_nosign,pTerm_3_nosign,xAAV_3_nosign,pTerm_4_nosign,xAAV_4_nosign,pTerm_5_nosign,xAAV_5_nosign,pTerm_6_nosign,xAAV_6_nosign,pTerm_7_nosign,xAAV_7_nosign
8481587,104000000,25,0.7596640431527512,929230.4888367653,0.231370478993487,1024633.6236596107,0.006392491612748112,1328906.573355198,8.952637446737002e-4,2419177.070260048,2.73844270486437e-4,2569521.6804742813,2.640393732857897e-4,2727658.4804058075,0.0010467413266369,2705662.5187397003,9.309752593091296e-5,2207332.7600955963,0.8146365649382473,922024.4809985161,0.1777178241071673,1017427.6158213615,0.005474376532049672,1321700.5655169487,7.838365680932427e-4,2411971.256136894,2.3976080171583456e-4,2562315.672636032,2.3117625105354502e-4,2720452.4725675583,9.164608016730047e-4,2698456.3171863556
8481591,104000000,25,0.624391336242468,915358.7445616722,0.36710307438229844,982052.7210831642,0.006115965023689122,1436577.4914622307,0.0012602153161731969,2210013.195872307,2.777479085735002e-4,2541696.0567235947,2.817977660354742e-4,2707185.8942508698,3.1193793070982695e-4,2698531.672358513,2.5792543005246184e-4,2196573.629975319,0.7035611477912826,908152.736723423,0.2892834738739483,974846.713244915,0.005265576615891404,1429371.4836239815,0.0011172108062020268,2202807.1880340576,2.4623011708872197e-4,2534490.0488853455,2.4982041190741577e-4,2699979.8864126205,2.765403836794996e-4,2691325.470805168
8481594,104000000,25,0.7727080191480113,862693.7121152878,0.21843026303104143,930699.1398334503,0.006317818100125848,1303380.0572156906,0.0014648943197441968,2335908.442735672,3.49648855507453e-4,2489327.698945999,2.0591052197966716e-4,2669114.4853830338,3.9405727308254e-4,2639127.5823116302,1.2938875050732602e-4,2142253.205180168,0.817537985291141,855487.7042770386,0.17469126172281346,923493.1319952011,0.005576331380367546,1296174.0493774414,0.001331365143834391,2328702.6286125183,3.177773935839268e-4,2482121.69110775,1.8714120740146332e-4,2661908.4775447845,3.581378608582061e-4,2631921.3807582855
8481599,104000000,25,0.5171389808798402,908632.9564452171,0.45734317370335964,1019424.818456173,0.02065020817829714,1509024.8063206673,0.0023680270457403707,2340740.278363228,7.397787358988682e-4,2509245.0976371765,7.844731232125818e-4,2698685.482144356,6.873658342438207e-4,2731746.4500665665,2.8799249940737195e-4,2190353.05082798,0.6325636225322679,904727.466404438,0.3461737520640827,1015519.3284153938,0.0173327052115696,1505119.3162798882,0.0020320696981146204,2336834.7883224487,6.348246550788965e-4,2505339.6075963974,6.73178148675757e-4,2694779.9921035767,5.898476902105817e-4,2727841.153740883
8481600,104000000,25,0.4107991252501052,904811.1513257027,0.5345465401742662,1042582.1021199226,0.04097244847286208,1512814.1641616821,0.009965822724969285,2358009.2042684555,7.603471888512787e-4,2527230.1882505417,0.001978246437085651,2711909.2494249344,5.825445090578264e-4,2690376.0731220245,3.9492524280256914e-4,2189162.865281105,0.5205968815315776,900905.6612849236,0.4308204690233134,1038676.6120791435,0.03648589704986539,1508908.674120903,0.009073112443801754,2354103.7142276764,6.922374329910105e-4,2523324.6982097626,0.0018010407028671695,2708003.7593841553,5.303618155837943e-4,2686470.776796341
8481604,104000000,25,0.07611672204843119,5866971.611976624,0.14339572228332115,6185246.288776398,0.19579006154517795,6688824.951648712,0.0855893031369551,6946672.9164123535,0.2656351274308013,7260150.43258667,0.11711686310265815,7323823.034763336,0.05734783683422014,7876472.055912018,0.05900836361843512,8491464.793682098,0.11618505515015105,5851852.536201477,0.13968856079865444,6173870.950937271,0.20202184074318114,6677968.382835388,0.08809221883071452,6931553.840637207,0.2734031814386305,7245031.356811523,0.12054174943681209,7308703.95898819,0.060067393601856214,7861352.980136871
8481606,104000000,25,0.14812539381801304,1850842.7441120148,0.3476959083304568,2088933.5125684738,0.24253901180006823,2731328.2191753387,0.07464825105321281,3246845.930814743,0.09240196856611758,3464272.528886795,0.06783596063563038,3655078.798532486,0.018116096141074515,3710782.7365398407,0.008637409655426483,3138620.4063892365,0.22076391114804764,1834066.4356946945,0.30548991251387264,2075900.748372078,0.23147740472137907,2714552.2981882095,0.07143571150696491,3230071.559548378,0.08842538540466884,3447496.4141845703,0.06491659275862106,3638302.29640007,0.017491081946446004,3694006.234407425
8481609,104000000,25,0.459248398421507,969886.7350816727,0.49517775174961925,1081542.9538488388,0.03289891111561854,1538068.2200193405,0.010041132751374238,2455483.3471775055,7.347272651823451e-4,2575324.0287303925,0.0010448237533355617,2768421.7542409897,5.640459478456133e-4,2753799.3639707565,2.902089955173936e-4,2251605.5703163147,0.5770710742862251,965981.2450408936,0.3839013461503407,1077637.4638080597,0.028181385424709316,1534162.7299785614,0.00879373855354578,2451577.8571367264,6.434532475721909e-4,2571418.5386896133,9.150269345965844e-4,2764516.2642002106,4.939754030104226e-4,2749893.680214882
8481624,104000000,31,0.12679061399968614,3745706.468820572,0.3090018492341123,4150624.8712539673,0.15229749923873143,4485387.802124023,0.17514403246505045,4934136.9569301605,0.13742441005447908,5398109.406232834,0.0874132448045022,5482218.950986862,0.006089107591046861,5760807.991027832,0.005839242612391707,5603129.327297211,0.19079157040932745,3703674.167394638,0.2779492570066138,4112336.3077640533,0.1431123965214966,4443355.50069809,0.1673907642959026,4895877.063274384,0.13134091243744248,5356077.492237091,0.08354363920637876,5440186.649560928,0.005871460122838173,5718775.689601898
8481641,104000000,30,0.31945503754204685,1295652.9557704926,0.5099697860583458,1594423.1376051903,0.09894790623388794,2070687.4877214432,0.0338209388175073,2779481.7239046097,0.017381171980450402,2921001.449227333,0.016276677437366036,3077489.1525506973,0.0012731692172321689,3036395.788192749,0.002875312713163646,2569120.302796364,0.4002247950350157,1295652.9557704926,0.4372520688211702,1594423.1376051903,0.09598560635837548,2070687.4877214432,0.03272619699151544,2779481.7239046097,0.016818565009235658,2921001.449227333,0.015749821584102763,3077489.1525506973,0.0012429462005847792,3036395.788192749
