playerId,iCorsiF_2,iCorsiF_3,iFenwickF_2,iFenwickF_3,iSOGF_2,iSOGF_3,iGF_2,iGF_3,ixGF_2,ixGF_3,iGFaX_2,iGFaX_3,gamesPlayed_2,minsPlayed_2,gamesPlayed_3,minsPlayed_3,iCorsiF_2_per82,iFenwickF_2_per82,iSOGF_2_per82,iGF_2_per82,ixGF_2_per82,iGFaX_2_per82,iCorsiF_3_per82,iFenwickF_3_per82,iSOGF_3_per82,iGF_3_per82,ixGF_3_per82,iGFaX_3_per82,iCorsiF_2_per60,iFenwickF_2_per60,iSOGF_2_per60,iGF_2_per60,ixGF_2_per60,iGFaX_2_per60,iCorsiF_3_per60,iFenwickF_3_per60,iSOGF_3_per60,iGF_3_per60,ixGF_3_per60,iGFaX_3_per60,iCorsiF_2_pct,iFenwickF_2_pct,iSOGF_2_pct,iGF_2_pct,ixGF_2_pct,iGFaX_2_pct,iCorsiF_2_per82_pct,iFenwickF_2_per82_pct,iSOGF_2_per82_pct,iGF_2_per82_pct,ixGF_2_per82_pct,iGFaX_2_per82_pct,iCorsiF_2_per60_pct,iFenwickF_2_per60_pct,iSOGF_2_per60_pct,iGF_2_per60_pct,ixGF_2_per60_pct,iGFaX_2_per60_pct,iCorsiF_3_pct,iFenwickF_3_pct,iSOGF_3_pct,iGF_3_pct,ixGF_3_pct,iGFaX_3_pct,iCorsiF_3_per82_pct,iFenwickF_3_per82_pct,iSOGF_3_per82_pct,iGF_3_per82_pct,ixGF_3_per82_pct,iGFaX_3_per82_pct,iCorsiF_3_per60_pct,iFenwickF_3_per60_pct,iSOGF_3_per60_pct,iGF_3_per60_pct,ixGF_3_per60_pct,iGFaX_3_per60_pct
8476480,168,30,137,24,94,14,11,3,15.975735068321228,1.8876567482948303,-4.975735068321228,1.1123432517051697,78,1177.09995,13,212.433325,176.6153846153846,144.02564102564102,98.82051282051282,11.564102564102564,16.795003533363342,-5.230900969260778,189.23076923076923,151.3846153846154,88.3076923076923,18.923076923076923,11.906757950782776,7.0163189722941475,8.563418934815179,6.983264250414758,4.791436784956112,0.5607000493033748,0.8143268582241242,-0.2536268089207494,8.473246841097083,6.778597472877666,3.9541818591786386,0.8473246841097083,0.5331527193188255,0.31417196479088294,35.650887573964496,44.52662721893491,48.81656804733728,57.692307692307686,70.71005917159763,6.656804733727811,21.301775147928996,35.650887573964496,39.79289940828402,53.99408284023669,67.60355029585799,11.094674556213018,16.420118343195266,33.43195266272189,36.53846153846153,51.62721893491125,65.8284023668639,13.757396449704142,50.171821305841924,57.0446735395189,53.95189003436426,73.19587628865979,67.35395189003437,84.19243986254295,28.52233676975945,35.051546391752574,34.36426116838488,70.10309278350515,55.32646048109966,77.66323024054984,23.367697594501717,37.11340206185567,34.36426116838488,69.41580756013745,52.92096219931272,79.72508591065292
8476483,415,0,327,0,209,0,37,0,32.82066908478737,0,4.179330915212631,0,81,1563.0999299999999,0,0,420.12345679012344,331.03703703703707,211.58024691358025,37.45679012345679,33.22586253027857,4.23092759317822,0,0,0,0,0,0,15.929883638341666,12.55198060177765,8.022519711839537,1.4202546858280523,1.259829974585977,0.16042471124207516,0,0,0,0,0,0,91.86390532544378,94.5266272189349,93.34319526627219,97.18934911242604,97.0414201183432,88.75739644970415,89.64497041420118,92.3076923076923,90.68047337278107,96.59763313609467,95.26627218934911,86.53846153846155,86.3905325443787,89.64497041420118,85.35502958579882,95.85798816568047,95.26627218934911,83.4319526627219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8476525,187,16,107,7,68,5,4,0,2.455792546272278,0.18141567707061768,1.5442074537277222,-0.18141567707061768,60,871.0833,4,61.36666666666667,255.56666666666666,146.23333333333335,92.93333333333334,5.466666666666667,3.35624981323878,2.110416853427887,328,143.5,102.5,0,3.7190213799476624,-3.7190213799476624,12.880513264345673,7.370133258208486,4.683823005216608,0.2755190003068593,0.16915437682749362,0.10636462347936566,15.643671917436176,6.844106463878327,4.888647474198804,0,0.17737545829826823,-0.17737545829826823,42.60355029585799,30.76923076923077,29.585798816568047,22.337278106508876,12.721893491124261,73.81656804733728,54.142011834319526,37.573964497041416,34.9112426035503,27.218934911242602,11.390532544378699,75,65.8284023668639,38.16568047337278,34.61538461538461,30.325443786982248,16.56804733727811,76.62721893491124,21.649484536082475,10.996563573883162,15.807560137457044,0,6.872852233676976,47.42268041237113,63.230240549828174,31.27147766323024,42.2680412371134,0,18.900343642611684,35.738831615120276,80.41237113402062,38.48797250859107,49.828178694158076,0,21.993127147766323,34.02061855670103
8476539,381,0,277,0,206,0,21,0,23.654181499034166,0,-2.6541814990341663,0,78,1402.1998899999999,0,0,400.53846153846155,291.2051282051282,216.56410256410257,22.076923076923077,24.86721644770259,-2.790293370779508,0,0,0,0,0,0,16.302953782145856,11.852803668384256,8.814720417643166,0.8985880037403228,1.0121601777775422,-0.11357217403721948,0,0,0,0,0,0,87.86982248520711,86.68639053254438,93.19526627218934,80.1775147928994,86.3905325443787,21.745562130177515,86.83431952662723,86.09467455621301,91.27218934911244,79.88165680473372,85.94674556213018,26.923076923076923,88.16568047337277,84.31952662721893,91.27218934911244,73.81656804733728,83.4319526627219,30.17751479289941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8476624,141,0,110,0,73,0,5,0,8.482675086706877,0,-3.4826750867068768,0,77,1061.3332216666665,0,0,150.15584415584416,117.14285714285714,77.74025974025975,5.324675324675324,9.033498144285245,-3.7088228196099204,0,0,0,0,0,0,7.971106366306732,6.218593619104543,4.126884856314833,0.2826633463229338,0.47954826515574966,-0.19688491883281586,0,0,0,0,0,0,27.810650887573964,32.69230769230769,33.57988165680473,31.360946745562128,46.44970414201183,15.976331360946746,11.538461538461538,17.011834319526628,19.526627218934912,26.627218934911244,38.46153846153847,20.118343195266274,12.1301775147929,24.2603550295858,26.77514792899408,31.21301775147929,38.31360946745562,18.19526627218935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8476822,97,6,74,2,51,1,4,1,5.726827085018158,0.16308987140655518,-1.726827085018158,0.8369101285934448,77,830.4333216666668,5,48.61666666666667,103.2987012987013,78.8051948051948,54.311688311688314,4.25974025974026,6.098698973655701,-1.8389587139154409,98.39999999999999,32.800000000000004,16.400000000000002,16.400000000000002,2.674673891067505,13.725326108932494,7.00838929285659,5.346606264653482,3.6848232364503724,0.2890057440353233,0.4137714806668286,-0.12476573663150531,7.4048680150839905,2.46828933836133,1.234144669180665,1.234144669180665,0.20127649539376025,1.0328681737869048,13.313609467455622,17.159763313609467,18.786982248520708,22.337278106508876,34.171597633136095,31.952662721893493,2.2189349112426036,3.4023668639053253,5.769230769230769,20.857988165680474,25.88757396449704,36.68639053254438,6.508875739644971,15.088757396449704,19.82248520710059,31.952662721893493,35.650887573964496,27.810650887573964,1.3745704467353952,0,0,35.738831615120276,5.154639175257731,78.69415807560138,3.436426116838488,0,0.6872852233676976,62.54295532646048,8.59106529209622,93.47079037800687,15.120274914089347,2.7491408934707904,3.0927835051546393,85.91065292096219,25.773195876288657,98.28178694158075
8476826,154,9,127,7,75,2,7,0,11.600905865430832,0.3046453595161438,-4.600905865430832,-0.3046453595161438,57,914.6999950000001,5,72.55,221.5438596491228,182.7017543859649,107.89473684210527,10.070175438596491,16.689022473075934,-6.618847034479442,147.6,114.8,32.800000000000004,0,4.996183896064758,-4.996183896064758,10.101672734785572,8.330600242323168,4.919645812395571,0.45916694249025325,0.7609646394781601,-0.3017976969879068,7.443142660234321,5.789110957960028,1.6540317022742936,0,0.25194654129522576,-0.25194654129522576,31.21301775147929,40.38461538461539,35.05917159763314,42.15976331360947,57.692307692307686,8.579881656804734,42.30769230769231,54.73372781065089,47.485207100591715,47.781065088757394,67.15976331360946,6.06508875739645,35.650887573964496,50.7396449704142,39.201183431952664,45.41420118343195,60.650887573964496,9.023668639053255,7.216494845360824,10.996563573883162,1.3745704467353952,0,15.807560137457044,37.45704467353952,14.0893470790378,19.93127147766323,5.498281786941581,0,24.398625429553263,30.240549828178693,16.151202749140893,25.085910652920962,6.872852233676976,0,30.240549828178693,28.52233676975945
8476853,303,54,198,31,126,18,7,4,6.689613699913025,0.9560094475746155,0.3103863000869751,3.0439905524253845,82,1753.8665666666668,13,282.1,303,198,126,7.000000000000001,6.689613699913025,0.3103863000869751,340.61538461538464,195.53846153846155,113.53846153846153,25.230769230769234,6.030213438547575,19.200555792221657,10.365668828816453,6.773605373285998,4.310476146636544,0.23947089703536356,0.2288525419340328,0.010618355101330782,11.485288904643742,6.593406593406592,3.828429634881247,0.8507621410847216,0.20333416112895045,0.6474279799557712,76.92307692307693,68.49112426035504,65.97633136094674,42.15976331360947,38.75739644970414,60.35502958579882,68.63905325443787,60.20710059171598,57.24852071005917,35.05917159763314,29.289940828402365,58.72781065088757,39.201183431952664,30.17751479289941,30.029585798816566,26.77514792899408,24.85207100591716,58.13609467455622,79.72508591065292,70.44673539518901,64.60481099656357,83.8487972508591,42.955326460481096,98.96907216494846,67.69759450171821,52.57731958762887,48.45360824742268,79.72508591065292,30.240549828178693,96.90721649484536,51.546391752577314,34.36426116838488,32.98969072164948,70.44673539518901,26.11683848797251,94.15807560137456
8476854,81,0,47,0,35,0,3,0,1.48215651512146,0,1.51784348487854,0,17,354.5499883333334,0,0,390.70588235294116,226.70588235294116,168.8235294117647,14.470588235294118,7.149225543527042,7.321362691767075,0,0,0,0,0,0,13.707517021353917,7.95374444448931,5.923001182066508,0.5076858156057006,0.2508232797449138,0.25686253586078683,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8476856,199,0,109,0,57,0,1,0,3.0239190459251404,0,-2.0239190459251404,0,63,963.9,0,0,259.015873015873,141.87301587301587,74.19047619047619,1.3015873015873014,3.9358946312041505,-2.634307329616849,0,0,0,0,0,0,12.387177093059446,6.784936196700903,3.5480859010270773,0.06224712107065049,0.1882302549595481,-0.12598313388889765,0,0,0,0,0,0,47.928994082840234,31.952662721893493,23.076923076923077,3.2544378698224854,17.159763313609467,28.106508875739642,55.47337278106509,33.57988165680473,17.75147928994083,5.769230769230769,14.940828402366865,28.550295857988168,60.502958579881664,30.473372781065088,17.011834319526628,5.9171597633136095,19.97041420118343,27.514792899408285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
