playerId,gP_2,mP_2,d_2,a_2,FenwickA_2_std,FenwickA_2_all,SOGA_2_std,SOGA_2_all,GA_2_std,GA_2_all,xGA_2_std,xGA_2_all,gP_3,mP_3,d_3,a_3,FenwickA_3_std,FenwickA_3_all,SOGA_3_std,SOGA_3_all,GA_3_std,GA_3_all,xGA_3_std,xGA_3_all
8467950,31,1867.25,35.678033443798334,29.89398535102493,1029,1299,752,945,77,97,67.66369042120468,89.97403264860557,0,0,NA,NA,0,0,0,0,0,0,0,0
8469608,28,1579.9666666666667,34.728894522926716,31.251477113984425,869,1152,652,874,49,74,55.85682999950685,82.74734773192766,16,872.25,34.68481503503433,33.941531674822016,568,768,410,560,38,49,31.334960532382052,48.313800511904766
8470594,56,3284.866666666667,34.339078972896445,32.09126955659755,1847,2343,1363,1732,110,159,107.26306997757844,153.02318650720485,5,296.46666666666664,35.21879753833386,30.8066227615309,145,211,107,159,9,15,8.00124617136166,14.633006520379846
8470860,17,796.65,33.93255184634436,28.996648885912155,440,547,329,400,27,39,29.1152961494872,39.130610930243044,0,0,NA,NA,0,0,0,0,0,0,0,0
8470880,19,1063.4166666666667,35.432566642310384,28.993950744030485,542,693,376,489,29,43,32.085542246624264,47.55490583625661,0,0,NA,NA,0,0,0,0,0,0,0,0
8471239,1,60,31.33108482220343,29.578874622334126,38,51,23,30,2,3,2.7440083605639884,4.083641852044801,0,0,NA,NA,0,0,0,0,0,0,0,0
8471306,31,1507.7333333333333,33.01476891672291,30.79150456786181,967,1175,686,842,68,92,59.705112686622435,79.93019704008431,0,0,NA,NA,0,0,0,0,0,0,0,0
8471418,9,462.46666666666664,35.389772508301164,29.95074195914304,234,313,174,232,16,28,14.62855824192214,21.60359006070294,0,0,NA,NA,0,0,0,0,0,0,0,0
8471679,5,297.5,32.33001292573435,33.03663567465046,161,200,121,148,15,18,10.464273343075504,14.286422502951488,0,0,NA,NA,0,0,0,0,0,0,0,0
8471695,4,196.35,37.162700032016836,26.91948326575669,93,124,69,90,11,14,5.461308227830417,7.866233361563352,0,0,NA,NA,0,0,0,0,0,0,0,0
8471734,46,2685.866666666667,33.022181908210634,32.64829209490061,1376,1762,994,1286,75,116,92.54235032854078,132.16886950850295,7,384.75,32.1430390370993,33.796572156814136,269,325,184,229,12,22,16.319694978006524,22.021320733516507
8471774,1,46.11666666666667,34.52603074969609,24.467516323323792,32,40,21,28,6,6,2.0988168303230053,2.8129651844433226,0,0,NA,NA,0,0,0,0,0,0,0,0
8473503,48,2672.6833333333334,35.38412255158007,27.095531137632246,1641,2052,1147,1450,101,129,97.31929792376297,137.6965364266938,0,0,NA,NA,0,0,0,0,0,0,0,0
8473541,10,510.1,37.22210519773263,28.860607760650485,270,362,193,264,15,26,15.80480272250172,24.387554787545007,0,0,NA,NA,0,0,0,0,0,0,0,0
8473575,31,1792.2833333333333,33.823850913763955,28.911586010482928,1089,1310,803,979,73,87,73.06188449699734,92.55914523469927,0,0,NA,NA,0,0,0,0,0,0,0,0
8474593,63,3695.8333333333335,36.23482002091632,29.734793724575617,1904,2390,1386,1754,100,137,118.09743029596143,158.61521601652092,12,712.45,35.36360879788837,30.14037756516311,375,492,268,354,27,35,22.626657330509662,32.81935966451118
8474596,35,1947.6666666666667,34.353823808857825,31.113742753838668,1195,1502,885,1123,70,107,77.18617873118016,105.37126786172877,0,0,NA,NA,0,0,0,0,0,0,0,0
8474636,2,78.71666666666667,31.81770527812695,28.52239711608798,42,52,35,42,5,6,3.4593336279017417,4.592935949862798,0,0,NA,NA,0,0,0,0,0,0,0,0
8474651,24,1318.4666666666667,36.607566436532245,29.364019449156846,756,967,561,700,43,61,43.670711814339825,62.5382973113684,0,0,NA,NA,0,0,0,0,0,0,0,0
8474667,6,298.3666666666667,30.988332431057028,31.96249682977487,189,246,121,157,16,21,13.530504253814492,19.668954957596995,0,0,NA,NA,0,0,0,0,0,0,0,0
8474682,29,1671.4333333333334,35.58761475464412,28.51544512717354,949,1186,721,900,66,91,59.47098689083555,81.97188255422593,0,0,NA,NA,0,0,0,0,0,0,0,0
8474889,35,1997.1333333333334,36.072374307727465,29.790811781375556,1266,1559,910,1141,84,114,80.0849520412386,107.94940965685545,0,0,NA,NA,0,0,0,0,0,0,0,0
8475156,45,2628.633333333333,33.679508064260325,30.757015910466308,1499,1913,1099,1397,99,136,95.77296217968238,135.2882706436088,3,89.48333333333333,35.039643317190794,34.4351562934029,70,79,51,58,5,6,4.7445626109978765,5.409245619571265
8475215,44,2546.65,34.30556738754359,31.12102896202229,1370,1716,1035,1289,90,120,91.13996953252142,125.20846461490243,0,0,NA,NA,0,0,0,0,0,0,0,0
8475234,6,305.8833333333333,34.73846805871802,30.627482773244356,208,260,169,209,18,21,13.596111120331035,17.933950932538554,0,0,NA,NA,0,0,0,0,0,0,0,0
8475311,57,3258.75,36.101014285742565,30.03045857989586,1807,2361,1349,1755,97,138,104.05503738312504,152.51234724065006,16,886.8833333333333,38.27697187986021,31.550663801759605,414,515,309,386,31,38,22.15729188466936,30.48320015300397
8475622,3,115.96666666666667,38.9687868146165,24.19751449743202,60,77,45,58,10,15,3.725264809291036,5.0609906935976205,0,0,NA,NA,0,0,0,0,0,0,0,0
8475660,49,2864.383333333333,37.790696838721665,29.46533908148264,1524,1995,1133,1488,89,132,85.09856515740957,125.2684591401588,1,57.88333333333333,36.791626360126394,34.361707913620094,20,33,14,26,2,4,1.2077076437990113,2.404676176817723
8475683,54,3082.1666666666665,34.845634913941765,29.971972147532817,1591,2045,1202,1566,98,137,104.12079760582272,144.49466309170606,10,600.3,33.79828493806271,30.96045201825153,297,406,217,303,16,27,19.8852930826747,29.287864200796292
8475717,3,125.63333333333334,38.102765236428155,29.2401404823394,67,91,53,72,4,9,3.565529561124835,6.070798431506245,0,0,NA,NA,0,0,0,0,0,0,0,0
8475789,49,2795.4,36.17830692573109,29.89967274319566,1571,1916,1161,1431,96,123,90.59781003372947,119.76675303731837,7,400.25,34.64640345859192,29.141620172858275,186,264,142,203,12,21,11.990106644750718,19.89834793247555
8475809,37,2103.133333333333,35.12930413829697,31.240739735403476,1335,1650,974,1218,81,110,81.71462448936255,110.85840921919123,0,0,NA,NA,0,0,0,0,0,0,0,0
8475831,55,3111.4166666666665,36.296403152179614,31.097460524777386,1653,2059,1187,1479,125,164,97.66419537513414,131.68088627374382,0,0,NA,NA,0,0,0,0,0,0,0,0
8475839,2,118.75,34.86379697863439,29.313674734131947,78,99,66,83,3,4,5.064707488221125,7.0644361165438765,6,312.01666666666665,36.67315531634897,31.15979236047899,204,256,149,187,14,19,10.537970435977007,15.890065099417395
8475852,20,1042.1166666666666,36.408118297832324,30.982627441241952,543,686,410,520,45,58,33.43342424413792,44.70550779903691,0,0,NA,NA,0,0,0,0,0,0,0,0
8475883,52,3070.883333333333,34.44260298513398,32.255390818271955,1549,1991,1115,1431,83,111,97.02816228036616,138.02868743492417,0,0,NA,NA,0,0,0,0,0,0,0,0
8475920,2,120,38.19387622247267,30.775454480115094,78,107,56,77,2,4,2.848916314809272,5.4400750460513585,0,0,NA,NA,0,0,0,0,0,0,0,0
8476234,1,60,34.3917781631225,28.051236696118547,38,42,27,31,1,2,2.1927015548973294,2.632485489341621,0,0,NA,NA,0,0,0,0,0,0,0,0
8476316,24,1281.4333333333334,33.58981552622221,30.906681975764524,655,841,457,588,40,62,44.626478952714606,61.703209933540464,0,0,NA,NA,0,0,0,0,0,0,0,0
8476341,46,2571.45,35.206809984464215,30.696496295458473,1521,1955,1129,1457,88,121,93.02143120618179,132.94648554973756,0,0,NA,NA,0,0,0,0,0,0,0,0
8476343,2,97.21666666666667,33.468347904566215,34.18875271072468,45,63,33,47,3,3,2.53635291770524,4.3956421341153415,0,0,NA,NA,0,0,0,0,0,0,0,0
8476412,37,2144.95,34.20656831801162,30.252600688363263,1307,1578,935,1135,85,112,80.38497729478516,105.7684569995259,6,314.78333333333336,37.2810265296138,31.066217336416095,223,265,148,176,6,9,10.587632395165091,13.955056882357118
8476433,1,60,35.18070282620217,26.00922330396353,27,31,20,23,3,3,1.9917394923948728,2.5087247180115115,0,0,NA,NA,0,0,0,0,0,0,0,0
8476434,56,3235.5833333333335,34.036879522208764,31.21548629508914,1957,2490,1391,1789,129,172,117.9227534338462,169.08654021671438,0,0,NA,NA,0,0,0,0,0,0,0,0
8476509,2,98.13333333333334,29.129478549366926,27.22087567573154,57,68,50,58,9,10,4.8417695078611045,5.968142471074851,0,0,NA,NA,0,0,0,0,0,0,0,0
8476876,4,210.46666666666667,32.37011400520353,32.00103612318553,141,169,111,132,12,17,9.141367837868303,12.278714123429836,0,0,NA,NA,0,0,0,0,0,0,0,0
8476883,63,3760.75,33.63560821524667,29.55072878809368,2016,2570,1466,1869,109,156,131.3449980067402,182.67386424090017,23,1402.7,34.88505107011228,30.059570346603792,786,1052,556,752,36,59,45.856473289444416,70.95893251091614
8476899,20,1181.5166666666667,34.1506327890969,29.874930536750497,701,884,497,640,42,60,45.84125836538929,62.865216989132996,0,0,NA,NA,0,0,0,0,0,0,0,0
