playerId,playerFullName,gamesPlayed_20242025_2,timeOnIce_20242025_2,iCorsiF_20242025_2,iCorsiFper82_20242025_2,iCorsiFper60_20242025_2,iFenwickF_20242025_2,iFenwickFper82_20242025_2,iFenwickFper60_20242025_2,iSOGF_20242025_2,iSOGFper82_20242025_2,iSOGFper60_20242025_2,iGF_20242025_2,iGFper82_20242025_2,iGFper60_20242025_2,ixGF_20242025_2,ixGFper82_20242025_2,ixGFper60_20242025_2,iGFaX_20242025_2,iGFaXper82_20242025_2,iGFaXper60_20242025_2,gamesPlayed_20242025_3,timeOnIce_20242025_3,iCorsiF_20242025_3,iCorsiFper82_20242025_3,iCorsiFper60_20242025_3,iFenwickF_20242025_3,iFenwickFper82_20242025_3,iFenwickFper60_20242025_3,iSOGF_20242025_3,iSOGFper82_20242025_3,iSOGFper60_20242025_3,iGF_20242025_3,iGFper82_20242025_3,iGFper60_20242025_3,ixGF_20242025_3,ixGFper82_20242025_3,ixGFper60_20242025_3,iGFaX_20242025_3,iGFaXper82_20242025_3,iGFaXper60_20242025_3
8482787,Nikita Chibrikov,4,45.61666666666667,24,492,31.567409572524664,21,430.5,27.621483375959077,14,287,18.414322250639387,2,41,2.630617464377055,1.692871520994231,34.70386618038174,2.2266486940369865,0.3071284790057689,6.296133819618262,0.4039687703400687,0,0,0,0,0,0,0,0,14,Inf,Inf,0,0,0,0,0,0,0,0,0
8482802,Carter Mazur,1,1.1666666666666667,10,820,514.2857142857142,8,656,411.4285714285714,6,492,308.57142857142856,0,0,0,0.6864698734134436,56.29052961990237,35.30416491840567,-0.6864698734134436,-56.29052961990237,-35.30416491840567,0,0,0,0,0,0,0,0,6,Inf,Inf,0,0,0,0,0,0,0,0,0
8482803,Olen Zellweger,62,1175.4166666666667,305,403.38709677419354,15.568947181850406,202,267.16129032258067,10.311237149946827,131,173.25806451612902,6.686990428925912,7,9.258064516129032,0.3573200992555831,7.9515764695825055,10.516601137189765,0.4058940133356543,-0.9515764695825055,-1.2585366210607332,-0.048573914080071175,0,0,0,0,0,0,0,0,131,Inf,Inf,0,0,0,0,0,0,0,0,0
8482807,Ethan Del Mastro,24,439.4166666666667,52,177.66666666666666,7.10032239711739,26,88.83333333333333,3.550161198558695,20,68.33333333333334,2.7308932296605346,2,6.833333333333333,0.2730893229660535,0.942813248373568,3.2212785986096906,0.12873611584088163,1.057186751626432,3.6120547347236425,0.1443532071251718,0,0,0,0,0,0,0,0,20,Inf,Inf,0,0,0,0,0,0,0,0,0
8482809,Jackson Blake,80,1107.6666666666667,254,260.34999999999997,13.758651820643996,211,216.275,11.429431236834185,147,150.67499999999998,7.9626843213963285,17,17.425,0.9208546494131808,23.29617662122473,23.87858103675535,1.2619054444238493,-6.296176621224731,-6.45358103675535,-0.34105079501066854,15,253.68333333333334,50,273.33333333333337,11.825767032389463,39,213.20000000000002,9.22409828526378,147,803.6,34.76775507522502,3,16.400000000000002,0.7095460219433677,3.786324926186353,20.698576263152063,0.8955239297201808,-0.786324926186353,-4.298576263152063,-0.185977907776813
8482858,Ryker Evans,73,1422.0833333333333,192,215.6712328767123,8.100791092880165,119,133.67123287671234,5.020802812774685,67,75.26027397260275,2.826838558452974,5,5.616438356164383,0.21095810137708762,3.682300327462144,4.136282559615012,0.1553622171563284,1.3176996725378558,1.4801557965493721,0.05559588422075923,0,0,0,0,0,0,0,0,67,Inf,Inf,0,0,0,0,0,0,0,0,0
8482859,Zack Ostapchuk,56,527.4833333333333,60,87.85714285714286,6.824860185155929,50,73.21428571428572,5.6873834876299405,30,43.92857142857143,3.4124300925779645,1,1.4642857142857142,0.11374766975259881,4.2401962738949805,6.208858829631936,0.48231244544920626,-3.2401962738949805,-4.744573115346221,-0.36856477569660745,0,0,0,0,0,0,0,0,30,Inf,Inf,0,0,0,0,0,0,0,0,0
8482866,Ville Ottavainen,1,14.4,14,1148,58.333333333333336,9,738,37.5,6,492,24.999999999999996,0,0,0,0.2107849190942943,17.284363365732133,0.8782704962262263,-0.2107849190942943,-17.284363365732133,-0.8782704962262263,0,0,0,0,0,0,0,0,6,Inf,Inf,0,0,0,0,0,0,0,0,0
8482874,Jacob Melanson,1,9.883333333333333,9,738,54.637436762225974,8,656,48.566610455311974,6,492,36.42495784148398,0,0,0,0.6092296560527757,49.956831796327606,3.6985274229173566,-0.6092296560527757,-49.956831796327606,-3.6985274229173566,0,0,0,0,0,0,0,0,6,Inf,Inf,0,0,0,0,0,0,0,0,0
8482896,Tyson Kozak,21,220.28333333333333,35,136.66666666666669,9.533176969055004,27,105.42857142857143,7.354165090413861,11,42.952380952380956,2.9961413331315727,3,11.714285714285714,0.817129454490429,2.5956536838784814,10.135409622763593,0.7069950262512319,0.4043463161215186,1.5788760915221203,0.11013442823919702,0,0,0,0,0,0,0,0,11,Inf,Inf,0,0,0,0,0,0,0,0,0
8482929,Emil Lilleberg,76,1161.4166666666667,178,192.05263157894737,9.195666212240797,108,116.52631578947368,5.579392982707899,53,57.18421052631579,2.7380354452177653,1,1.0789473684210527,0.051661046136184254,2.9925401507643983,3.228793320561588,0.15459775479302337,-1.9925401507643983,-2.149845952140535,-0.10293670865683911,5,59.833333333333336,7,114.8,7.0194986072423395,6,98.39999999999999,6.016713091922005,53,869.1999999999999,53.147632311977716,0,0,0,0.07267315639182925,1.1918397648259997,0.07287558858233574,-0.07267315639182925,-1.1918397648259997,-0.07287558858233574
8482964,Arber Xhekaj,70,1023.6833333333333,184,215.54285714285714,10.784585076765275,115,134.71428571428572,6.740365672978298,76,89.02857142857142,4.454502531707397,1,1.1714285714285715,0.058611875417202586,3.0063733849674463,3.521751679533294,0.1762091822973056,-2.0063733849674463,-2.350323108104723,-0.117597306880103,3,32.916666666666664,7,191.33333333333334,12.759493670886076,5,136.66666666666669,9.113924050632912,76,2077.333333333333,138.53164556962028,0,0,0,0.05064786551520228,1.3843749907488623,0.09232015992644467,-0.05064786551520228,-1.3843749907488623,-0.09232015992644467
8483017,Frederic Brunet,1,14.383333333333333,7,574,29.200463499420625,5,410,20.85747392815759,3,246,12.514484356894554,0,0,0,0.08361476100981236,6.856410402804613,0.3487985395542578,-0.08361476100981236,-6.856410402804613,-0.3487985395542578,0,0,0,0,0,0,0,0,3,Inf,Inf,0,0,0,0,0,0,0,0,0
