playerId,FenwickA_2,FenwickA_3,SOGA_2,SOGA_3,GA_2,GA_3,xGA_2,xGA_3,GSaX_2,GSaX_3,d_2,d_3,a_2,a_3,CorsiA_2,CorsiA_3,gamesPlayed_2,minsPlayed_2,gamesPlayed_3,minsPlayed_3,FenwickA_2_per82,SOGA_2_per82,GA_2_per82,xGA_2_per82,GSaX_2_per82,CorsiA_2_per82,FenwickA_3_per82,SOGA_3_per82,GA_3_per82,xGA_3_per82,GSaX_3_per82,CorsiA_3_per82,FenwickA_2_per60,SOGA_2_per60,GA_2_per60,xGA_2_per60,GSaX_2_per60,CorsiA_2_per60,FenwickA_3_per60,SOGA_3_per60,GA_3_per60,xGA_3_per60,GSaX_3_per60,CorsiA_3_per60,FenwickA_2_pct,SOGA_2_pct,GA_2_pct,xGA_2_pct,GSaX_2_pct,CorsiA_2_pct,FenwickA_2_per82_pct,SOGA_2_per82_pct,GA_2_per82_pct,xGA_2_per82_pct,GSaX_2_per82_pct,CorsiA_2_per82_pct,FenwickA_2_per60_pct,SOGA_2_per60_pct,GA_2_per60_pct,xGA_2_per60_pct,GSaX_2_per60_pct,CorsiA_2_per60_pct,FenwickA_3_pct,SOGA_3_pct,GA_3_pct,xGA_3_pct,GSaX_3_pct,CorsiA_3_pct,FenwickA_3_per82_pct,SOGA_3_per82_pct,GA_3_per82_pct,xGA_3_per82_pct,GSaX_3_per82_pct,CorsiA_3_per82_pct,FenwickA_3_per60_pct,SOGA_3_per60_pct,GA_3_per60_pct,xGA_3_per60_pct,GSaX_3_per60_pct,CorsiA_3_per60_pct
8455710,1935,874,1472,629,136,52,848.3224221765995,342.79589664936066,712.3224221765995,290.79589664936066,NA,NA,NA,NA,2510,1166,59,3392.483333333333,24,1470.9,2689.3220338983047,2045.8305084745764,189.01694915254237,1179.0243833640875,990.007434211545,3488.4745762711864,2986.1666666666665,2149.083333333333,177.66666666666666,1171.2193135519824,993.5526468853155,3983.8333333333335,34.222717871372495,26.03402620499241,2.4053176385047337,15.003565332356132,12.5982476938514,44.39225935769766,35.651641851927394,25.657760554762387,2.1211503161329794,13.983108164363069,11.86195784823009,47.56271670405874,52.27272727272727,52.27272727272727,63.63636363636363,56.81818181818182,56.81818181818182,45.45454545454545,0,4.545454545454546,34.090909090909086,20.454545454545457,18.181818181818183,0,0,0,31.818181818181817,11.363636363636363,13.636363636363635,0,100,100,100,100,92.85714285714286,92.85714285714286,21.428571428571427,21.428571428571427,42.857142857142854,14.285714285714285,21.428571428571427,14.285714285714285,21.428571428571427,21.428571428571427,42.857142857142854,21.428571428571427,28.57142857142857,21.428571428571427
8459140,1568,0,1114,0,100,0,618.1639290750027,0,518.1639290750027,0,NA,NA,NA,NA,2137,0,40,2260.5,0,0,3214.4,2283.7000000000003,205,1267.2360546037555,1062.2360546037555,4380.8499999999995,0,0,0,0,0,0,41.61911081619111,29.568679495686794,2.6542800265428004,16.407801700729998,13.753521674187198,56.72196416721964,0,0,0,0,0,0,31.818181818181817,29.545454545454547,31.818181818181817,31.818181818181817,34.090909090909086,31.818181818181817,56.81818181818182,47.72727272727273,70.45454545454545,52.27272727272727,43.18181818181818,63.63636363636363,61.36363636363637,45.45454545454545,65.9090909090909,56.81818181818182,50,61.36363636363637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8460535,2036,181,1502,135,125,11,861.2300966903567,84.38943207263947,736.2300966903567,73.38943207263947,NA,NA,NA,NA,2683,236,53,3049.45,5,268.4,3150.0377358490564,2323.8490566037735,193.39622641509436,1332.4692062001745,1139.0729797850802,4151.056603773585,2968.4,2214,180.4,1383.9866859912872,1203.5866859912874,3870.4,40.059682893636555,29.55287018970634,2.459459902605388,16.94528711781515,14.485827215209762,52.78984734952205,40.461997019374074,30.17883755588674,2.459016393442623,18.86499971817574,16.405983324733114,52.75707898658719,59.09090909090909,56.81818181818182,52.27272727272727,59.09090909090909,61.36363636363637,54.54545454545454,47.72727272727273,61.36363636363637,45.45454545454545,77.27272727272727,84.0909090909091,36.36363636363637,36.36363636363637,43.18181818181818,43.18181818181818,72.72727272727273,77.27272727272727,31.818181818181817,7.142857142857142,7.142857142857142,0,7.142857142857142,14.285714285714285,7.142857142857142,14.285714285714285,42.857142857142854,50,64.28571428571429,71.42857142857143,7.142857142857142,64.28571428571429,85.71428571428571,71.42857142857143,92.85714285714286,92.85714285714286,57.14285714285714
8460612,165,0,110,0,16,0,57.40745869278908,0,41.40745869278908,0,NA,NA,NA,NA,217,0,5,260.6166666666667,0,0,2706,1804,262.40000000000003,941.482322561741,679.0823225617409,3558.7999999999997,0,0,0,0,0,0,37.986826117541725,25.324550745027818,3.6835710174585916,13.21652818916932,9.532957171710729,49.958431924282145,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8460703,2197,260,1659,207,132,16,902.7060862854123,118.72366036474705,770.7060862854123,102.72366036474705,NA,NA,NA,NA,2899,352,59,3351.516666666667,7,448.05,3053.457627118644,2305.728813559322,183.45762711864404,1254.6084589051493,1071.1508317865053,4029.1186440677966,3045.714285714286,2424.857142857143,187.42857142857142,1390.7628785584654,1203.3343071298941,4123.428571428572,39.33144695685038,29.699986573242956,2.3631092391007056,16.160553732526488,13.797444493425782,51.89889154661322,34.817542684968195,27.72012052226314,2.142618011382658,15.898715817174025,13.756097805791368,47.137596250418476,65.9090909090909,68.18181818181817,59.09090909090909,68.18181818181817,68.18181818181817,65.9090909090909,31.818181818181817,52.27272727272727,22.727272727272727,45.45454545454545,52.27272727272727,20.454545454545457,20.454545454545457,54.54545454545454,27.27272727272727,47.72727272727273,52.27272727272727,20.454545454545457,35.714285714285715,42.857142857142854,28.57142857142857,42.857142857142854,42.857142857142854,35.714285714285715,35.714285714285715,57.14285714285714,64.28571428571429,71.42857142857143,64.28571428571429,35.714285714285715,14.285714285714285,42.857142857142854,50,50,57.14285714285714,14.285714285714285
8460704,965,18,718,14,59,1,380.6176460236311,8.732374966144562,321.6176460236311,7.732374966144562,NA,NA,NA,NA,1326,22,27,1591.1666666666667,1,36.333333333333336,2930.740740740741,2180.5925925925926,179.1851851851852,1155.9498879236203,976.7647027384352,4027.1111111111113,1476,1148,82,716.0547472238541,634.0547472238541,1804,36.388394259976955,27.074473656646063,2.224782654236933,14.352398928302838,12.127616274065904,50.001047449460565,29.724770642201833,23.11926605504587,1.6513761467889907,14.420435723908449,12.769059577119458,36.330275229357795,0,0,2.272727272727273,0,0,0,13.636363636363635,29.545454545454547,18.181818181818183,4.545454545454546,11.363636363636363,18.181818181818183,4.545454545454546,9.090909090909092,15.909090909090908,2.272727272727273,0,4.545454545454546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8460705,1691,0,1172,0,101,0,637.2690612971783,0,536.2690612971783,0,NA,NA,NA,NA,2338,0,42,2377.766666666667,0,0,3301.4761904761904,2288.190476190476,197.19047619047618,1244.1919768183004,1047.0015006278243,4564.666666666666,0,0,0,0,0,0,42.670292851835754,29.573969971822297,2.5486100402338328,16.080696316360182,13.532086276126348,58.99653736699704,0,0,0,0,0,0,38.63636363636363,36.36363636363637,34.090909090909086,36.36363636363637,38.63636363636363,40.909090909090914,70.45454545454545,50,54.54545454545454,40.909090909090914,40.909090909090914,88.63636363636364,75,47.72727272727273,52.27272727272727,40.909090909090914,40.909090909090914,86.36363636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8460712,1804,0,1299,0,108,0,714.052991822362,0,606.052991822362,0,NA,NA,NA,NA,2546,0,48,2583.15,0,0,3081.8333333333335,2219.125,184.5,1219.840527696535,1035.340527696535,4349.416666666666,0,0,0,0,0,0,41.90232855234888,30.172463852273385,2.5085651239765405,16.585633629228546,14.077068505252004,59.13710005226177,0,0,0,0,0,0,45.45454545454545,43.18181818181818,38.63636363636363,43.18181818181818,43.18181818181818,50,36.36363636363637,38.63636363636363,25,36.36363636363637,36.36363636363637,59.09090909090909,63.63636363636363,70.45454545454545,47.72727272727273,61.36363636363637,61.36363636363637,90.9090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8460806,1561,0,1126,0,128,0,615.4687788486481,0,487.46877884864807,0,NA,NA,NA,NA,2078,0,40,2098.516666666667,0,0,3200.0499999999997,2308.2999999999997,262.40000000000003,1261.7109966397286,999.3109966397286,4259.9000000000005,0,0,0,0,0,0,44.631525442574514,32.19416889707809,3.659727903042625,17.597252057843498,13.937524154800874,59.41339517595762,0,0,0,0,0,0,29.545454545454547,31.818181818181817,56.81818181818182,29.545454545454547,29.545454545454547,29.545454545454547,54.54545454545454,54.54545454545454,100,50,22.727272727272727,50,95.45454545454545,93.18181818181817,100,88.63636363636364,59.09090909090909,93.18181818181817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8462044,1207,0,850,0,69,0,483.6282298490405,0,414.6282298490405,0,NA,NA,NA,NA,1628,0,32,1819.5666666666666,0,0,3092.9375,2178.125,176.8125,1239.2973389881663,1062.4848389881663,4171.75,0,0,0,0,0,0,39.8006851448147,28.028651510432887,2.275267004964552,15.947584841230933,13.67231783626638,53.683111363511465,0,0,0,0,0,0,13.636363636363635,13.636363636363635,11.363636363636363,13.636363636363635,13.636363636363635,15.909090909090908,40.909090909090914,27.27272727272727,15.909090909090908,38.63636363636363,45.45454545454545,40.909090909090914,25,20.454545454545457,18.181818181818183,31.818181818181817,45.45454545454545,36.36363636363637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
