playerId,mP_2_ev,mP_2_pp,mP_2_sh,mP_2_all,x_2_ev,x_2_pp,x_2_sh,x_2_all,y_2_ev,y_2_pp,y_2_sh,y_2_all,iCorsiF_2_ev,iCorsiF_2_pp,iCorsiF_2_sh,iCorsiF_2_all,iFenwickF_2_ev,iFenwickF_2_pp,iFenwickF_2_sh,iFenwickF_2_all,iSOGF_2_ev,iSOGF_2_pp,iSOGF_2_sh,iSOGF_2_all,iGF_2_ev,iGF_2_pp,iGF_2_sh,iGF_2_all,ixGF_2_ev,ixGF_2_pp,ixGF_2_sh,ixGF_2_all,oCorsiF_2_ev,oCorsiF_2_pp,oCorsiF_2_sh,oCorsiF_2_all,oFenwickF_2_ev,oFenwickF_2_pp,oFenwickF_2_sh,oFenwickF_2_all,oSOGF_2_ev,oSOGF_2_pp,oSOGF_2_sh,oSOGF_2_all,oGF_2_ev,oGF_2_pp,oGF_2_sh,oGF_2_all,oxGF_2_ev,oxGF_2_pp,oxGF_2_sh,oxGF_2_all,oCorsiA_2_ev,oCorsiA_2_pp,oCorsiA_2_sh,oCorsiA_2_all,oFenwickA_2_ev,oFenwickA_2_pp,oFenwickA_2_sh,oFenwickA_2_all,oSOGA_2_ev,oSOGA_2_pp,oSOGA_2_sh,oSOGA_2_all,oGA_2_ev,oGA_2_pp,oGA_2_sh,oGA_2_all,oxGA_2_ev,oxGA_2_pp,oxGA_2_sh,oxGA_2_all,mP_3_ev,mP_3_pp,mP_3_sh,mP_3_all,x_3_ev,x_3_pp,x_3_sh,x_3_all,y_3_ev,y_3_pp,y_3_sh,y_3_all,iCorsiF_3_ev,iCorsiF_3_pp,iCorsiF_3_sh,iCorsiF_3_all,iFenwickF_3_ev,iFenwickF_3_pp,iFenwickF_3_sh,iFenwickF_3_all,iSOGF_3_ev,iSOGF_3_pp,iSOGF_3_sh,iSOGF_3_all,iGF_3_ev,iGF_3_pp,iGF_3_sh,iGF_3_all,ixGF_3_ev,ixGF_3_pp,ixGF_3_sh,ixGF_3_all,oCorsiF_3_ev,oCorsiF_3_pp,oCorsiF_3_sh,oCorsiF_3_all,oFenwickF_3_ev,oFenwickF_3_pp,oFenwickF_3_sh,oFenwickF_3_all,oSOGF_3_ev,oSOGF_3_pp,oSOGF_3_sh,oSOGF_3_all,oGF_3_ev,oGF_3_pp,oGF_3_sh,oGF_3_all,oxGF_3_ev,oxGF_3_pp,oxGF_3_sh,oxGF_3_all,oCorsiA_3_ev,oCorsiA_3_pp,oCorsiA_3_sh,oCorsiA_3_all,oFenwickA_3_ev,oFenwickA_3_pp,oFenwickA_3_sh,oFenwickA_3_all,oSOGA_3_ev,oSOGA_3_pp,oSOGA_3_sh,oSOGA_3_all,oGA_3_ev,oGA_3_pp,oGA_3_sh,oGA_3_all,oxGA_3_ev,oxGA_3_pp,oxGA_3_sh,oxGA_3_all
8477511,43579,6524,1,50104,67.16891891891892,69.9090909090909,NA,67.66850828729282,2.304054054054054,-4.96969696969697,NA,0.9779005524861878,148,33,0,181,110,25,0,135,73,21,0,94,12,4,0,16,9.04537124068687,2.8260146692491332,0,11.871385909936004,467,123,0,590,339,93,0,432,220,72,0,292,29,12,0,41,25.159753750193534,9.527568012438339,0,34.68732176263187,360,14,2,376,262,14,1,277,159,13,0,172,19,2,0,21,21.015684040388432,1.2313559302429262,0.13335789468377665,22.38039786531513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8477527,31226,129,0,31355,72.01666666666667,62,NA,71.85245901639344,3.7666666666666666,-8,NA,3.5737704918032787,60,1,0,61,47,1,0,48,27,0,0,27,2,0,0,2,3.4547523069649584,0.07550628800190853,0,3.530258594966867,263,2,0,265,188,2,0,190,104,1,0,105,14,0,0,14,10.457640095363562,0.22475062686348674,0,10.682390722227048,241,0,0,241,163,0,0,163,110,0,0,110,13,0,0,13,10.110787687264322,0,0,10.110787687264322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8477541,8183,0,415,8598,48.8,NA,NA,48.8,13.2,NA,NA,13.2,15,0,0,15,10,0,0,10,5,0,0,5,1,0,0,1,0.18192250434016677,0,0,0.18192250434016677,53,0,0,53,40,0,0,40,25,0,0,25,2,0,0,2,2.0109115434026794,0,0,2.0109115434026794,41,0,2,43,34,0,2,36,21,0,2,23,3,0,0,3,1.8103702808015882,0,0.20024024309655217,2.0106105238981407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8477573,24587,120,2504,27211,69.48275862068965,NA,42,69.01694915254237,5.793103448275862,NA,32,6.237288135593221,58,0,1,59,49,0,1,50,33,0,1,34,4,0,0,4,4.137693620912034,0,0.021155204409199276,4.1588488253212335,158,1,3,162,124,1,2,127,78,0,2,80,10,0,0,10,8.578221932369003,0.07675243989904737,0.06908183543741231,8.724056207705463,118,0,21,139,87,0,18,105,54,0,10,64,7,0,4,11,4.5727597662250545,0,2.198337116836478,6.771096883061532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8477810,42853,112,2981,45946,53.27906976744186,NA,NA,53.27906976744186,19.88372093023256,NA,NA,19.88372093023256,86,0,0,86,54,0,0,54,28,0,0,28,0,0,0,0,1.568998624827091,0,0,1.568998624827091,434,0,12,446,288,0,7,295,187,0,7,194,9,0,2,11,15.54210319422721,0,0.592809336559007,16.134912530786217,329,0,51,380,233,0,40,273,158,0,29,187,14,0,7,21,15.349100259722492,0,3.9009905900410318,19.25009084976352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8477839,29188,2236,939,32363,66.61764705882354,64.8,-67,65.27433628318585,-1.3431372549019607,-12.6,38,-1.991150442477876,102,10,1,113,76,7,1,84,48,6,1,55,1,0,0,1,5.074513536759143,0.5547551745804303,7.316619058958064e-4,5.630000373245469,332,47,1,380,232,35,1,268,139,29,1,169,4,2,0,6,12.769259550469851,3.0186953652315482,7.316619058958064e-4,15.78868657760729,311,7,16,334,227,7,11,245,143,4,9,156,8,0,0,8,13.503061484533681,0.4769158748647952,1.055869190023945,15.035846549422423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8477845,37088,208,4698,41994,57.54716981132076,NA,15.333333333333334,55.285714285714285,-12.641509433962264,NA,-0.6666666666666666,-12,53,0,3,56,32,0,3,35,17,0,3,20,1,0,0,1,1.0536874984181537,0,0.16670962774143805,1.2203971261595918,303,5,15,323,220,4,12,236,136,2,11,149,14,0,1,15,15.978335256630952,0.5181774062544777,0.7627152832154793,17.259227946100907,331,2,80,413,231,1,58,290,151,0,38,189,14,0,2,16,13.568352535001688,0.007082657306240591,5.950907432631003,19.52634262493892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8477903,25617,26,3359,29002,63.810810810810814,NA,6,60.84615384615385,-3.675675675675676,NA,-19.5,-4.487179487179487,37,0,2,39,30,0,2,32,17,0,2,19,1,0,0,1,1.692117810808321,0,0.05657790612961232,1.7486957169379334,150,0,9,159,103,0,9,112,60,0,7,67,5,0,0,5,5.126199759060728,0,0.4903342732823082,5.616534032343038,187,0,59,246,127,0,43,170,78,0,30,108,7,0,2,9,7.232934201021707,0,4.964629678201606,12.197563879223322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8477919,35685,947,5345,41977,64.24096385542168,74.33333333333333,67.5,64.6590909090909,-5.325301204819277,14.666666666666666,5.5,-4.3977272727272725,83,3,2,88,62,3,1,66,36,2,1,39,3,1,0,4,3.68752184367511,0.3096670296753882,0.16138661388408396,4.158575487234583,290,11,4,305,204,8,3,215,130,6,3,139,15,1,0,16,12.740756666827043,0.8606773591097402,0.32075560459027563,13.922189630527058,379,1,129,509,257,1,103,361,152,1,67,220,8,0,10,18,16.193562308272078,0.03167917555674541,11.669939806108228,27.895181289937035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8477932,57127,6978,9851,73956,53.86923076923077,54.470588235294116,59,54.08383233532934,-14.923076923076923,3.0294117647058822,-7.333333333333333,-11.131736526946108,130,34,3,167,82,22,3,107,54,14,1,69,2,1,0,3,3.005928147250946,1.100202818026182,0.2636642156866483,4.3697951809637745,557,114,27,698,405,82,24,511,279,50,17,346,30,6,0,36,29.400020175426153,7.7536133818359,2.069451797722125,39.223085354984164,488,17,144,649,366,14,107,487,236,11,66,313,34,0,10,44,27.54791947361663,1.0048425437470823,12.18593243044568,40.738694447809365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
