bucket,shots,goals,goalRate,shotShare
Standard 5v5,248753,15008,0.060332940708252764,0.7762106399643025
Special Teams,67465,6272,0.09296672348625214,0.21051826842366392
Empty-Net Context,2254,1333,0.5913930789707187,0.00703339771773421
Penalty Shot,1999,616,0.30815407703851927,0.006237693894299328
