season,dataset,datasetLabel,model,engine,label,rows,goals,total_xg,goal_rate,xg_rate,log_loss,brier,roc_auc,pr_auc,calibration_ratio,calibration_error
20252026,sd,Standard 5v5,xgboost,xgboost,XGBoost,70585,4300,4505.009443983436,0.06091945880852872,0.06382389238483355,0.19263416987952717,0.05216380719146264,0.8037783356226047,0.2177682996236151,1.0476766148798689,0.04767661487986885
20252026,sd,Standard 5v5,lightgbm,lightgbm,LightGBM,70585,4300,4501.025585739747,0.06091945880852872,0.06376745180618838,0.1929225608063971,0.05219831344889775,0.8024478827333112,0.21790507949639695,1.0467501362185458,0.04675013621854584
20252026,sd,Standard 5v5,sd1,xgboost,Hybrid V3,70585,4300,4505.009443983436,0.06091945880852872,0.06382389238483355,0.19263416987952717,0.05216380719146264,0.8037783356226047,0.2177682996236151,1.0476766148798689,0.04767661487986885
20252026,ev,Non-Standard Even Strength,xgboost,xgboost,XGBoost,2146,223,254.5264409184456,0.10391425908667289,0.1186050516861349,0.3066313949840135,0.08734544156906705,0.7141016582367363,0.23859110421840676,1.1413741745221777,0.1413741745221775
20252026,ev,Non-Standard Even Strength,lightgbm,lightgbm,LightGBM,2146,223,258.5717194477811,0.10391425908667289,0.12049008361965566,0.298641615159012,0.08533117949060147,0.73649636568422,0.27764807077727816,1.1595144369855654,0.15951443698556544
20252026,ev,Non-Standard Even Strength,ev2,lightgbm,Hybrid V3,2146,223,258.5717194477811,0.10391425908667289,0.12049008361965566,0.298641615159012,0.08533117949060147,0.73649636568422,0.27764807077727816,1.1595144369855654,0.15951443698556544
20252026,pp,Power Play,xgboost,xgboost,XGBoost,15334,1454,1582.0306614935398,0.09482196426242336,0.10317142699188343,0.2941324731942944,0.08181224829591158,0.6822831233722686,0.2073082447188611,1.088054100064333,0.08805410006433267
20252026,pp,Power Play,lightgbm,lightgbm,LightGBM,15334,1454,1570.7447935280568,0.09482196426242336,0.1024354241246938,0.2948072502643233,0.0820518342174398,0.6809276506427671,0.20211041368225596,1.0802921551087048,0.0802921551087048
20252026,pp,Power Play,pp1,xgboost,Hybrid V3,15334,1454,1582.0306614935398,0.09482196426242336,0.10317142699188343,0.2941324731942944,0.08181224829591158,0.6822831233722686,0.2073082447188611,1.088054100064333,0.08805410006433267
20252026,sh,Shorthanded,xgboost,xgboost,XGBoost,1991,136,155.86879831552503,0.0683073832245103,0.07828668925942998,0.2026467696917189,0.05741127406797041,0.8312985571587158,0.21313965256264825,1.1460941052612137,0.1460941052612137
20252026,sh,Shorthanded,lightgbm,lightgbm,LightGBM,1991,136,161.03793690708352,0.0683073832245103,0.08088294169115168,0.19516280328759347,0.05670526354834958,0.84721737751705,0.23980378181256456,1.1841024772579671,0.1841024772579671
20252026,sh,Shorthanded,sh2,lightgbm,Hybrid V3,1991,136,161.03793690708352,0.0683073832245103,0.08088294169115168,0.19516280328759347,0.05670526354834958,0.84721737751705,0.23980378181256456,1.1841024772579671,0.1841024772579671
20252026,en,Empty Net,xgboost,xgboost,XGBoost,772,407,433.77185256034136,0.5272020725388601,0.5618806380315302,0.5624225680404827,0.19253207401430736,0.7739827000100957,0.8098153515563125,1.0657785075192665,0.06577850751926628
20252026,en,Empty Net,lightgbm,lightgbm,LightGBM,772,407,432.1963292420697,0.5272020725388601,0.5598398047177068,0.5529019970484108,0.18949039268641185,0.7813806334354283,0.8104706323053031,1.061907442855208,0.06190744285520799
20252026,en,Empty Net,en2,lightgbm,Hybrid V3,772,407,432.1963292420697,0.5272020725388601,0.5598398047177068,0.5529019970484108,0.18949039268641185,0.7813806334354283,0.8104706323053031,1.061907442855208,0.06190744285520799
20252026,ps,Penalty Shot,xgboost,xgboost,XGBoost,668,215,211.81356489658356,0.3218562874251497,0.31708617499488556,0.6269860230514598,0.2177226526675804,0.5406643051491357,0.34454900022591983,0.9851793716120164,0.01482062838798348
20252026,ps,Penalty Shot,lightgbm,lightgbm,LightGBM,668,215,222.0629403113048,0.3218562874251497,0.33242955136422875,0.633594728239235,0.22057259348810457,0.5484265106011585,0.3531001637991781,1.0328508851688596,0.03285088516885959
20252026,ps,Penalty Shot,ps1,xgboost,Hybrid V3,668,215,211.81356489658356,0.3218562874251497,0.31708617499488556,0.6269860230514598,0.2177226526675804,0.5406643051491357,0.34454900022591983,0.9851793716120164,0.01482062838798348
