dataset,datasetLabel,model,engine,engineLabel,rank,feature,gain,cover,frequency
pp,Power Play,pp1,xgboost,XGBoost,1,distance,0.22053001465499864,0.08310004556107656,0.08073322932917316
pp,Power Play,pp1,xgboost,XGBoost,2,dSecondsElapsedInSequence,0.12734538999054756,0.0754189136016072,0.06825273010920437
pp,Power Play,pp1,xgboost,XGBoost,3,xCoordNorm,0.1068635263562708,0.04751312377800827,0.044851794071762874
pp,Power Play,pp1,xgboost,XGBoost,4,yCoordNorm,0.07162652916284258,0.06624579562358465,0.06279251170046801
pp,Power Play,pp1,xgboost,XGBoost,5,angle,0.04847000274073875,0.061281776662241695,0.05655226209048362
pp,Power Play,pp1,xgboost,XGBoost,6,dDistance,0.03621770052281393,0.01709528331566157,0.016770670826833072
pp,Power Play,pp1,xgboost,XGBoost,7,isRebound_yes,0.03095994606892612,0.035132842010030044,0.029641185647425898
pp,Power Play,pp1,xgboost,XGBoost,8,minSecondsElapsedInShiftFor,0.02620083695565042,0.027047111092562397,0.02613104524180967
pp,Power Play,pp1,xgboost,XGBoost,9,shotType_snap,0.023436110243816873,0.03566928776269151,0.029641185647425898
pp,Power Play,pp1,xgboost,XGBoost,10,dXCoordNorm,0.022104368836531788,0.011018918764108505,0.013260530421216849
pp,Power Play,pp1,xgboost,XGBoost,11,dXCoordNormPerSecond,0.02112949261168612,0.01955936851420356,0.02262090483619345
pp,Power Play,pp1,xgboost,XGBoost,12,dDistancePerSecond,0.01863063503959858,0.023978839824907987,0.02379095163806552
pp,Power Play,pp1,xgboost,XGBoost,13,shooterPositionCode_D,0.016570436064730187,0.008695402184275287,0.0078003120124804995
pp,Power Play,pp1,xgboost,XGBoost,14,skaterCountAgainst,0.01465190959105163,0.01789467109295892,0.014430577223088924
pp,Power Play,pp1,xgboost,XGBoost,15,shotType_slap,0.0133402060100427,0.03159791948094033,0.02691107644305772
pp,Power Play,pp1,xgboost,XGBoost,16,dYCoordNorm,0.013216359597367444,0.022731511838673276,0.023010920436817472
pp,Power Play,pp1,xgboost,XGBoost,17,dAnglePerSecond,0.011832803838159617,0.02287798123514543,0.0234009360374415
pp,Power Play,pp1,xgboost,XGBoost,18,dAngle,0.011182202710375637,0.019883582194634604,0.02262090483619345
pp,Power Play,pp1,xgboost,XGBoost,19,secondsElapsedInSequence,0.011006708882238389,0.020958985548546312,0.0202808112324493
pp,Power Play,pp1,xgboost,XGBoost,20,secondsElapsedInPeriod,0.01062513642223505,0.02079591744025416,0.02574102964118565
sh,Shorthanded,sh2,lightgbm,LightGBM,1,distance,0.21185434018991078,0.08363482096759499,0.07932875667429443
sh,Shorthanded,sh2,lightgbm,LightGBM,2,xCoordNorm,0.09023967016375559,0.032366342591186564,0.030892448512585814
sh,Shorthanded,sh2,lightgbm,LightGBM,3,minSecondsElapsedInShiftFor,0.0626140312573102,0.04673631727002156,0.043478260869565216
sh,Shorthanded,sh2,lightgbm,LightGBM,4,yCoordNorm,0.056513488617915865,0.054230760470130895,0.04652936689549962
sh,Shorthanded,sh2,lightgbm,LightGBM,5,zoneCode_O,0.03244733831092492,0.011158561932456646,0.009534706331045004
sh,Shorthanded,sh2,lightgbm,LightGBM,6,dSecondsElapsedInSequence,0.03219330744867738,0.045346998663710635,0.04233409610983982
sh,Shorthanded,sh2,lightgbm,LightGBM,7,angle,0.03178004112598494,0.032049234860448875,0.03279938977879481
sh,Shorthanded,sh2,lightgbm,LightGBM,8,dDistancePerSecond,0.02967489042550515,0.011434741055972303,0.011823035850495805
sh,Shorthanded,sh2,lightgbm,LightGBM,9,dYCoordNormPerSecond,0.025013613206463177,0.04405294287362954,0.04309687261632342
sh,Shorthanded,sh2,lightgbm,LightGBM,10,avgSecondsElapsedInShiftFor,0.02486779191099995,0.0273013977890485,0.029748283752860413
sh,Shorthanded,sh2,lightgbm,LightGBM,11,dDistance,0.022294721265243168,0.010150887759285692,0.013348588863463006
sh,Shorthanded,sh2,lightgbm,LightGBM,12,maxSecondsElapsedSinceLastShiftAgainst,0.022100049561209277,0.03343214724997722,0.03470633104500381
sh,Shorthanded,sh2,lightgbm,LightGBM,13,shotType_snap,0.021300997905962137,0.023887596045798282,0.02135774218154081
sh,Shorthanded,sh2,lightgbm,LightGBM,14,shooterSecondsElapsedInShift,0.0195690660002846,0.031652879855437785,0.030129672006102212
sh,Shorthanded,sh2,lightgbm,LightGBM,15,minSecondsElapsedInShiftAgainst,0.016448869335276298,0.023504053474352356,0.02479023646071701
sh,Shorthanded,sh2,lightgbm,LightGBM,16,dAnglePerSecond,0.01517421613434828,0.016267163915631547,0.02135774218154081
sh,Shorthanded,sh2,lightgbm,LightGBM,17,dXCoordNormPerSecond,0.014943907702472043,0.013663274060801166,0.013348588863463006
sh,Shorthanded,sh2,lightgbm,LightGBM,18,avgSecondsElapsedInShiftAgainst,0.01455421305880402,0.02558868386886142,0.02631578947368421
sh,Shorthanded,sh2,lightgbm,LightGBM,19,shotType_tip.in,0.014152266728768306,0.02586569342788593,0.020594965675057208
sh,Shorthanded,sh2,lightgbm,LightGBM,20,dXCoordNorm,0.013569516637053742,0.019274408160476205,0.02021357742181541
en,Empty Net,en2,lightgbm,LightGBM,1,distance,0.4128343023523126,0.23441233317693908,0.19405864197530864
en,Empty Net,en2,lightgbm,LightGBM,2,angle,0.09786226125512038,0.071663059469733,0.09876543209876543
en,Empty Net,en2,lightgbm,LightGBM,3,minSecondsElapsedInShiftFor,0.09597788750988331,0.10259114065680526,0.10686728395061729
en,Empty Net,en2,lightgbm,LightGBM,4,dDistancePerSecond,0.0368491165254417,0.03638355205016964,0.03973765432098766
en,Empty Net,en2,lightgbm,LightGBM,5,dAnglePerSecond,0.03631978464314363,0.04784904830412306,0.05709876543209876
en,Empty Net,en2,lightgbm,LightGBM,6,xCoordNorm,0.0335187329220876,0.02076703609234762,0.019290123456790122
en,Empty Net,en2,lightgbm,LightGBM,7,yCoordNorm,0.03010174358264316,0.034031850168265515,0.045910493827160496
en,Empty Net,en2,lightgbm,LightGBM,8,dXCoordNormPerSecond,0.02893556937933692,0.026769103101200595,0.029320987654320986
en,Empty Net,en2,lightgbm,LightGBM,9,dSecondsElapsedInSequence,0.028063952798638773,0.044014916901830826,0.04243827160493827
en,Empty Net,en2,lightgbm,LightGBM,10,dDistance,0.021143209123075747,0.03183352801223854,0.027391975308641976
en,Empty Net,en2,lightgbm,LightGBM,11,minSecondsElapsedInShiftAgainst,0.020547736146372335,0.038356145553018924,0.034722222222222224
en,Empty Net,en2,lightgbm,LightGBM,12,avgSecondsElapsedInShiftFor,0.018191635619039307,0.033321021957537694,0.03279320987654321
en,Empty Net,en2,lightgbm,LightGBM,13,minSecondsElapsedSinceLastShiftAgainst,0.016940081365850245,0.03270714130939259,0.032407407407407406
en,Empty Net,en2,lightgbm,LightGBM,14,typeDescKeyPrev_blocked.shot.for,0.014068526611744991,0.026514796621739188,0.02507716049382716
en,Empty Net,en2,lightgbm,LightGBM,15,avgSecondsElapsedInShiftAgainst,0.01287802334004568,0.022733479936376352,0.023148148148148147
en,Empty Net,en2,lightgbm,LightGBM,16,maxSecondsElapsedInShiftAgainst,0.012272384774927482,0.025931302523060317,0.023919753086419752
en,Empty Net,en2,lightgbm,LightGBM,17,maxSecondsElapsedSinceLastShiftFor,0.009756086125262015,0.02287745430170443,0.021219135802469136
en,Empty Net,en2,lightgbm,LightGBM,18,corsiFor,0.008023758445640874,0.0163743709712952,0.016975308641975308
en,Empty Net,en2,lightgbm,LightGBM,19,dXCoordNorm,0.007047793840618865,0.01118695288384633,0.010802469135802469
en,Empty Net,en2,lightgbm,LightGBM,20,secondsElapsedInPeriod,0.005399071798946433,0.011394232560562382,0.011574074074074073
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,1,yCoordNorm,0.14900166492236014,0.12091403760708054,0.1206896551724138
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,2,goalieWeight,0.1251220265773995,0.1062359997430596,0.10689655172413794
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,3,goalsFor,0.07736315266076373,0.07572109665468198,0.07586206896551724
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,4,angle,0.0741656934975936,0.06213536709367553,0.06206896551724138
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,5,corsiAgainst,0.06817918728273678,0.0726127669842909,0.07241379310344828
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,6,shooterWeight,0.060226874970423956,0.06548302436731114,0.06551724137931035
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,7,shooterHandCode_R,0.05378300389486629,0.05919381976478451,0.05862068965517241
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,8,fenwickAgainst,0.05098370191943048,0.05507575254223706,0.05517241379310345
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,9,corsiDifferential,0.046342703301076364,0.05509653371515073,0.05517241379310345
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,10,goalieAge,0.04383998067027823,0.04793446529547428,0.04827586206896552
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,11,shotsFor,0.041485830047974535,0.04461139543946816,0.04482758620689655
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,12,shooterAge,0.03450764072164188,0.04127478760611561,0.041379310344827586
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,13,shotsAgainst,0.03400882180259752,0.038019760144621266,0.03793103448275862
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,14,shotDifferential,0.031823289057256635,0.037902949977405564,0.03793103448275862
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,15,fenwickDifferential,0.030418814662007142,0.031221238453559157,0.03103448275862069
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,16,fenwickFor,0.026357367313891246,0.027814521439010656,0.027586206896551724
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,17,isHome_yes,0.022159958314998562,0.024115862936846616,0.02413793103448276
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,18,corsiFor,0.01206946083655689,0.013994875688829183,0.013793103448275862
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,19,xCoordNorm,0.00589793903478977,0.0067730886744136205,0.006896551724137931
so,Shootout / Penalty Shot,so1,xgboost,XGBoost,20,distance,0.00573043223952504,0.0069463882133157144,0.006896551724137931
