gameId,ixGF_ev,ixGF_pp,ixGF_sh,oxGF_ev,oxGF_pp,oxGF_sh,oxGA_ev,oxGA_pp,oxGA_sh
2010020257,0.09748475268346202,0,0,0.3764925987504637,0,0,0.39385849145402047,0,0
2010020286,0.07837053391057688,0,0,0.5479019468844089,0,0,0.6786142662283078,0,0
2010020294,0.01541129826868798,0,0,0.8522364562527662,0,0,0.48143595178711385,0,0
2010020308,0.02865382088114228,0,0,0.5048544688073898,0,0,0.6203799036349559,0.7942728910869398,0
2010020322,0,0,0,0.30977126771851116,0.07145450346785083,0,1.006502531241406,0.5559775125169812,0
2010020368,0.00940196876536385,0,0,0.6734104429430594,0,0,0.37431319283457853,0,0
2010020443,0.0112210341161806,0,0,0.056350826176853136,0,0.01280409123011512,1.0988608568577147,0.04998833829694839,0
2010020560,0,0,0,0.061908849839077434,0,0,0.13743467002073304,0.3924147779798859,0
2010020583,0.00524053300425411,0,0,0.10374299939656605,0,0,0.2601342002084218,0,0
2010020602,0,0,0,0.16144364131132447,0,0,1.092361347827937,0,0
2010020613,0.02515375926305933,0,0,0.1586801606380539,0,0,0.6177298292805408,0,0
2010020626,0.08433137843008871,0.07115114774173925,0,0.4746628614577815,0.19991350099805721,0,0.717238686940936,0.07968201528502593,0
2010020634,0,0,0,1.0034969469927495,0,0,0.7543968501332697,0,0
2010020678,0.07719643118588324,0,0,0.4743702721463492,0,0,0.2570860115069963,0,0
2010020699,0,0,0,0.16154720783090795,0,0,0.08917074944139866,0.10048915730364096,0
2010020708,0,0,0,0.36606718465237204,0.05997130786606906,0,0.6377979499444788,0.05423389319486403,0
2010020724,0.05663433031450077,0,0,0.4448248432843072,0,0,0.8124588441798876,0.07967256893258737,0
2010020736,0,0,0,0.1404927324199301,0,0,1.1520891617915918,0.04491636426408329,0
2010020743,0.17442745026582482,0,0,1.1748934581217179,0,0,1.0045299354820616,0.19272055207110889,0
2010020756,0.03493367342969294,0,0,0.8033961436398676,0,0,1.1223227905947035,0.1375129349247727,0
2010020765,0.05157097898293119,0,0,0.18105056593972374,0,0,0.6446903990337036,0.6662316931348328,0
2010021146,0.02595942827981085,0,0,0.4914658800297542,0,0.24616893856037697,0.4757464261418114,0.04196459469604594,0
2010021151,0.01132360817748161,0,0,0.9326587687322148,0,0,0.4370346534407994,0.24816893895581332,0
2010021170,0.0951289573984272,0,0,0.7656456465346739,0.04583629788711141,0,0.5128052630084227,0.2853291228824064,0.7263036977421535
2010021193,0.04596446344531562,0,0,0.6250174515767193,0,2.3783639362086968e-4,0.7072998931525502,0.35990793307266117,0
2010021205,0,0.03393547963234929,0,1.7741835839393068,0.03393547963234929,0,0.63759469763530785,0.5208417633180575,0.07999610475317767
2010021218,0.0767929064008569,0.10888026231625161,0,0.8257166484751246,0.17448902258749194,0.12887687889847088,1.2438081805388146,0.3949044907143898,0
