gameId,ixGF_ev,ixGF_pp,ixGF_sh,oxGF_ev,oxGF_pp,oxGF_sh,oxGA_ev,oxGA_pp,oxGA_sh
2020020071,0.01596125638538695,0,0,0.05886106989014186,0,0,0,0,0
2020020088,0.18762307443353152,0,0,0.24882375395857217,0,0,0.03060153257390964,0,0
2020020134,0,0.06013265158419453,0,0.08648940116081416,0.37528394164222967,0,0.08472593440892509,0,0
2020020142,0.02009171603135068,0,0,0.3612191918991725,0.05886762489596515,0,0.47300614810258323,0,0
2020020158,0.02912677651116853,0.04675791303490775,0,0.20217320492486535,0.3037795565639204,0.5845456306148649,0.4815258163226169,0,0
2020020378,0.14340470325345583,0,0,0.5896845646501486,0,0,0.36039735634845516,0,0
2020020387,0,0,0,0.20215981342507522,0,0,0.8388826533579256,0,0
2020020475,0.01042452186161927,0.02696162027450976,0,0.13253763247631176,0.06433859489226212,0,0.3469046992907082,0,0
2020020492,0.00884613823360516,0.03827792283379822,0,0.22526608213895905,0.8891762466376556,0,0.6547553605755804,0,0.03602169221107786
2020020501,0.06726798576180198,0.07594528725957897,0,0.3316884158369479,0.3827671841798741,0,0.37279319696265034,0,2.9916333752724175e-4
2020020513,0,0,0,0.4019006870053671,0.5692433259844065,0,0.35757137156703717,0,0.02737428222418659
2020020803,0.04876128248632114,0,0,0.5863817471430135,0,0,0.3589290599849116,0,0.4097960707500432
